# iterator, reward, timestamp 
1,-253.91968389,1568104136.4972484
2,-912.046032905,1568104138.499883
3,-2030.0693512,1568104141.604987
4,-1658.5931642,1568104144.7094662
5,-2031.68666363,1568104150.8172019
6,-2031.97515011,1568104152.8202088
7,-1657.98126985,1568104160.9311807
8,-1658.30653107,1568104162.9339752
9,-2030.59232235,1568104166.0393155
10,-1658.24116704,1568104169.144034
11,-1179.91440439,1568104172.2505596
12,-625.073075294,1568104175.3560028
13,-1240.05870828,1568104179.4631064
14,-536.13832975,1568104183.5696151
15,-1168.50737983,1568104187.6771696
16,-1156.91578388,1568104191.785448
17,-1243.10684634,1568104195.8915565
18,-811.71295147,1568104198.998373
19,-840.37530182,1568104202.1039746
20,-379.561428666,1568104204.1061814
21,-368.327916949,1568104207.210224
22,-295.093234152,1568104211.31515
23,-552.35892739,1568104214.4203067
24,-694.954658318,1568104217.5249956
25,-898.913968023,1568104219.5279958
26,-947.81757707,1568104223.635027
27,-1172.03496592,1568104227.7417498
28,-1001.74758141,1568104229.7455032
29,-1249.82262321,1568104232.8500528
30,-1501.45857157,1568104234.8523886
31,-681.988114561,1568104239.9600456
32,-1143.77200603,1568104243.0656521
33,-1145.77889442,1568104245.067875
34,-1240.62565836,1568104249.1744382
35,-864.951823268,1568104253.2797832
36,-465.630265832,1568104256.3848643
37,-546.505124398,1568104258.3868468
38,-418.561378276,1568104261.4920666
39,-286.225626425,1568104264.5981781
40,-388.142933325,1568104266.6009095
41,-627.156087439,1568104268.6038196
42,-1062.292099,1568104272.7117443
43,-1243.70474817,1568104275.8178787
44,-672.828203179,1568104279.9240582
45,-533.947073451,1568104283.0300605
46,-278.174859085,1568104286.1346064
47,-1144.48895231,1568104288.1374755
48,-1211.12556295,1568104292.243804
49,-1008.10807531,1568104296.350906
50,-1008.1050773,1568104298.353556
51,-1173.05865365,1568104301.4584808
52,-1471.78696059,1568104304.5640745
53,-1199.90719157,1568104308.671153
54,-582.990549617,1568104310.6738462
55,-743.409157267,1568104312.6755989
56,-547.628434978,1568104316.7820318
57,-241.188764758,1568104320.8881574
58,-480.816438212,1568104322.8899922
59,-717.983678973,1568104324.8912907
60,-538.084795364,1568104328.9989233
61,-532.261662982,1568104332.1045249
62,-355.570322809,1568104335.2102458
63,-253.631717872,1568104338.3155782
64,-315.29326146,1568104341.4206967
65,-266.278855667,1568104344.5252326
66,-276.21564832,1568104347.6296866
67,-291.462368312,1568104350.7338629
68,-435.178968132,1568104354.8411388
69,-618.235071355,1568104357.946402
70,-181.12040366,1568104361.0531113
71,-246.89702557,1568104364.15811
72,-349.636632466,1568104367.2644079
73,-255.309753886,1568104370.3706274
74,-307.411570992,1568104373.475904
75,-269.365931939,1568104376.5817628
76,-267.045257456,1568104379.6866229
77,-295.696112014,1568104382.7914732
78,-431.255282981,1568104386.8981676
79,-614.207350494,1568104390.0042372
80,-177.323308267,1568104393.1106741
81,-251.01356382,1568104396.2171075
82,-344.831123333,1568104399.3231568
83,-256.669862102,1568104402.428172
84,-302.683860909,1568104405.5341015
85,-272.100965222,1568104408.6396327
86,-269.001004922,1568104411.7452862
87,-296.160285481,1568104414.8515196
88,-424.778488335,1568104418.9595218
89,-609.536380112,1568104422.065242
90,-170.105205141,1568104425.1705081
91,-249.95292916,1568104428.2764406
92,-339.682229292,1568104431.3819022
93,-256.60893276,1568104434.4866767
94,-297.76202881,1568104437.5920117
95,-273.801448464,1568104440.6973724
96,-262.380564543,1568104443.803354
97,-256.202221469,1568104447.9094896
98,-419.655412007,1568104452.0144012
99,-605.72241846,1568104455.1188245
100,-169.853412328,1568104458.2254863
101,-252.430209683,1568104461.3304338
102,-334.297983999,1568104464.4353848
103,-259.31903053,1568104467.539857
104,-291.792398618,1568104470.646232
105,-278.786378872,1568104473.7511554
106,-259.167781021,1568104476.8569677
107,-251.909921767,1568104480.9631696
108,-418.444698589,1568104485.0700862
109,-602.631016671,1568104488.1745656
110,-165.296116756,1568104491.2797697
111,-250.888212112,1568104494.3849492
112,-327.938265786,1568104497.490619
113,-297.037491856,1568104501.5985057
114,-314.284951026,1568104504.704086
115,-279.190476946,1568104507.8106108
116,-257.252573455,1568104510.916482
117,-251.481969394,1568104515.0214741
118,-413.252797166,1568104519.1272023
119,-630.325953495,1568104522.2320385
120,-159.972924513,1568104525.3376691
121,-253.175259633,1568104528.4427698
122,-326.283022589,1568104531.5476196
123,-298.210411815,1568104535.6545007
124,-309.2702151,1568104538.7590723
125,-282.420064021,1568104541.865847
126,-254.860420225,1568104544.9719024
127,-248.361946241,1568104549.0783312
128,-405.183037857,1568104553.1842775
129,-627.564031035,1568104556.2909107
130,-154.04843713,1568104559.3966868
131,-251.088328514,1568104562.5025728
132,-320.700007462,1568104565.6072667
133,-294.668115453,1568104569.7150123
134,-306.810791993,1568104572.8204887
135,-286.176511373,1568104575.9270716
136,-247.168779143,1568104579.0330057
137,-243.454765668,1568104583.1381156
138,-402.683303816,1568104587.2433038
139,-529.770354995,1568104590.3487496
140,-148.429424691,1568104593.45476
141,-254.306262137,1568104596.5599368
142,-316.634516746,1568104599.666507
143,-268.474548955,1568104602.7726653
144,-279.736314595,1568104605.878187
145,-288.523094498,1568104608.9834297
146,-438.710501958,1568104613.0912557
147,-618.233013186,1568104616.1969912
148,-186.152188238,1568104619.302532
149,-249.065300524,1568104622.407101
150,-352.634828097,1568104625.5130403
151,-253.891262899,1568104628.6178827
152,-310.960312976,1568104631.7239256
153,-267.459472002,1568104634.8282845
154,-271.657818614,1568104637.9319017
155,-292.72997944,1568104641.036725
156,-434.161442843,1568104645.1447942
157,-616.287910296,1568104648.2507632
158,-177.411459953,1568104651.3553398
159,-248.854844816,1568104654.4607396
160,-348.910170223,1568104657.565882
161,-255.679216224,1568104660.6709013
162,-307.651540737,1568104663.7762601
163,-271.441195844,1568104666.8813725
164,-269.789079466,1568104669.9860675
165,-295.831229142,1568104673.0922744
166,-428.269457698,1568104677.19763
167,-614.15825006,1568104680.303109
168,-173.985245435,1568104683.40843
169,-248.038265348,1568104686.5133135
170,-345.586926003,1568104689.6184874
171,-256.274647037,1568104692.7236228
172,-303.295188391,1568104695.8283682
173,-272.914688798,1568104698.9329355
174,-264.842240311,1568104702.0372503
175,-298.772951832,1568104705.1429167
176,-424.417951911,1568104709.2476735
177,-608.65174562,1568104712.3524249
178,-170.288469463,1568104715.458526
179,-248.596152912,1568104718.563861
180,-338.809586925,1568104721.6691685
181,-257.009753088,1568104724.773099
182,-299.306923636,1568104727.8770323
183,-274.724717397,1568104730.982738
184,-262.330185444,1568104734.0888238
185,-255.530169579,1568104738.1968038
186,-418.557446999,1568104742.301892
187,-606.47642772,1568104745.4073613
188,-164.504796893,1568104748.513118
189,-248.564454647,1568104751.617582
190,-333.244190663,1568104754.7231836
191,-260.650028035,1568104757.8277814
192,-295.959510099,1568104760.9344435
193,-278.411802739,1568104764.039712
194,-258.811180017,1568104767.145029
195,-252.555530008,1568104771.2511117
196,-415.958309713,1568104775.3580601
197,-599.999930724,1568104778.4636068
198,-163.495420145,1568104781.56904
199,-252.864288695,1568104784.67494
200,-330.321751918,1568104787.7799075
201,-297.390794041,1568104791.8856606
202,-311.120519692,1568104794.9904995
203,-282.664792854,1568104798.0960653
204,-253.676178261,1568104801.2020106
205,-248.809741411,1568104805.3088098
206,-409.517769116,1568104809.41562
207,-599.198533938,1568104812.5200863
208,-161.142168069,1568104815.6261144
209,-251.867707095,1568104818.7318153
210,-327.981617731,1568104821.836153
211,-296.921559982,1568104825.9423604
212,-309.893089707,1568104829.0480099
213,-281.404969456,1568104832.15236
214,-253.162499024,1568104835.2585013
215,-247.006416058,1568104839.365588
216,-407.689310533,1568104843.4697497
217,-627.729591736,1568104846.5747247
218,-155.578094555,1568104849.6802676
219,-251.340217002,1568104852.785268
220,-323.155228916,1568104855.8925154
221,-292.253129471,1568104859.9990618
222,-311.439307209,1568104863.102955
223,-283.911956456,1568104866.2084594
224,-251.081985874,1568104869.3137326
225,-245.981109806,1568104873.4200394
226,-407.375060986,1568104877.5264816
227,-526.512228526,1568104880.6332116
228,-149.269904393,1568104883.7372317
229,-251.173940166,1568104886.8424215
230,-318.942760545,1568104889.9476461
231,-294.113079574,1568104894.0546007
232,-306.336737485,1568104897.1599076
233,-285.207849602,1568104900.2651036
234,-232.909731134,1568104903.37207
235,-244.656898309,1568104907.4799087
236,-189.220532771,1568104910.5853047
237,-247.44502055,1568104913.6904225
238,-143.80144093,1568104916.7968338
239,-253.7715016,1568104919.9015036
240,-317.565440107,1568104923.00822
241,-267.123398498,1568104926.112755
242,-277.129957433,1568104929.2180526
243,-288.384033707,1568104932.3242304
244,-436.085053278,1568104936.4299896
245,-241.41846878,1568104940.537414
246,-186.729686133,1568104943.6434453
247,-248.891845266,1568104946.749486
248,-351.271528014,1568104949.854716
249,-255.859727357,1568104952.9593124
250,-311.163046988,1568104956.0655363
251,-267.510643379,1568104959.170295
252,-275.364778583,1568104962.2750013
253,-293.826494084,1568104965.3800395
254,-435.514480071,1568104969.487392
255,-618.070079842,1568104972.5926816
256,-183.858412292,1568104975.6982994
257,-248.29468995,1568104978.804067
258,-345.756067893,1568104981.910138
259,-253.070536595,1568104985.0153775
260,-308.598524209,1568104988.1211674
261,-270.037529885,1568104991.2269263
262,-269.232127791,1568104994.3300915
263,-293.807873678,1568104997.435525
264,-432.816398629,1568105001.540387
265,-611.577926864,1568105004.6447184
266,-177.163067086,1568105007.750121
267,-247.671762602,1568105010.8560805
268,-347.891333106,1568105013.9622605
269,-254.817471511,1568105017.068269
270,-303.372755822,1568105020.1732721
271,-274.343778399,1568105023.2794037
272,-266.319209323,1568105026.3843267
273,-296.948921457,1568105029.4888272
274,-429.352461498,1568105033.5956597
275,-610.514182649,1568105036.7013803
276,-171.419108224,1568105039.8067214
277,-248.801931799,1568105042.911941
278,-341.407488935,1568105046.0175307
279,-257.692888405,1568105049.1232636
280,-297.230443908,1568105052.2291493
281,-275.148334346,1568105055.333461
282,-262.655785257,1568105058.4404774
283,-298.049761048,1568105061.5453413
284,-420.04953862,1568105065.6524704
285,-607.692585151,1568105068.7576663
286,-168.786717042,1568105071.8639045
287,-248.502931225,1568105074.9703774
288,-337.260025834,1568105078.0755687
289,-259.332478937,1568105081.1810648
290,-293.533194398,1568105084.286101
291,-277.106874394,1568105087.3914928
292,-259.537858701,1568105090.4965055
293,-252.603938253,1568105094.602531
294,-419.484911381,1568105098.708785
295,-601.553516363,1568105101.8139746
296,-163.16569641,1568105104.9197037
297,-250.913853088,1568105108.0250294
298,-331.666684696,1568105111.1292279
299,-298.485453359,1568105115.236328
300,-313.979668288,1568105118.3405917
301,-278.044256996,1568105121.4463596
302,-256.433247698,1568105124.552102
303,-250.484643285,1568105128.6582892
304,-412.704818932,1568105132.7641175
305,-599.395638815,1568105135.8687618
306,-160.937597245,1568105138.9736166
307,-249.482452454,1568105142.0784693
308,-326.95003235,1568105145.183417
309,-296.178503738,1568105149.290631
310,-311.892628978,1568105152.3964841
311,-281.305860484,1568105155.5014143
312,-254.006929896,1568105158.6064487
313,-248.305714941,1568105162.712268
314,-407.553850554,1568105166.8178627
315,-626.962185148,1568105169.9238267
316,-155.830250164,1568105173.0275702
317,-249.915244474,1568105176.1327746
318,-323.586884372,1568105179.2380269
319,-293.896325431,1568105183.344518
320,-307.271951079,1568105186.4496334
321,-284.362593843,1568105189.5546563
322,-252.468499033,1568105192.6601474
323,-246.87235206,1568105196.7644908
324,-405.814009483,1568105200.871435
325,-525.954278961,1568105203.976247
326,-151.194108019,1568105207.08285
327,-252.529801795,1568105210.1881607
328,-316.026349509,1568105213.2932851
329,-293.009848366,1568105217.3998308
330,-304.961863219,1568105220.50474
331,-286.771466838,1568105223.6100502
332,-234.484428208,1568105226.7146392
333,-241.848656352,1568105230.8201149
334,-190.201398443,1568105233.9250498
335,-248.92166903,1568105237.0292335
336,-355.545474106,1568105240.1342978
337,-252.905858852,1568105243.239624
338,-312.52649618,1568105246.344295
339,-264.822352089,1568105249.4498298
340,-278.813483104,1568105252.554879
341,-289.019153546,1568105255.660497
342,-437.216088788,1568105259.7660167
343,-240.50942761,1568105263.8736014
344,-188.487271378,1568105266.9788163
345,-247.263024641,1568105270.0839224
346,-354.668664377,1568105273.1898575
347,-254.241869756,1568105276.2948396
348,-311.453168399,1568105279.399249
349,-270.688872289,1568105282.5037005
350,-272.784625617,1568105285.6080713
351,-293.168975003,1568105288.7138767
352,-435.750549092,1568105292.8211842
353,-617.530202862,1568105295.9269376
354,-179.116461253,1568105299.0310848
355,-248.093317891,1568105302.1370027
356,-349.092836707,1568105305.2430613
357,-254.730369135,1568105308.3493383
358,-304.246343934,1568105311.4560518
359,-270.770622337,1568105314.561922
360,-269.392617639,1568105317.6679087
361,-293.600568594,1568105320.7721894
362,-429.295178899,1568105324.8789368
363,-611.270519805,1568105327.984516
