# iterator, reward, timestamp 
1,-920.9972120700027,1568109992.0025365
2,-1169.6834838793986,1568109995.1103752
3,-1509.352407132386,1568109998.2173936
4,-1657.983934191497,1568110000.2203426
5,-2030.8501720428467,1568110005.3315277
6,-1658.107933271505,1568110014.448497
7,-1180.2213712031007,1568110017.5548851
8,-967.8528115919672,1568110021.6630414
9,-1709.8171710968018,1568110024.7704973
10,-2028.8084745407104,1568110026.7740452
11,-1656.7584305381515,1568110030.8822243
12,-1657.1598082257901,1568110032.884871
13,-1656.1007494815876,1568110034.887668
14,-1194.696233916325,1568110038.9971955
15,-583.4177383392388,1568110042.1019974
16,-741.3956567092174,1568110045.2090602
17,-848.2065200805664,1568110048.3163984
18,-1239.992808424358,1568110053.4264164
19,-641.0720859032767,1568110057.536242
20,-1153.435187010716,1568110062.6453445
21,-754.6917200088501,1568110065.751789
22,-1373.844027519226,1568110067.7536762
23,-1374.5343685150146,1568110069.7570148
24,-1240.477791597291,1568110073.8659234
25,-446.6579748575269,1568110077.9737158
26,-659.9434162244606,1568110083.0824997
27,-598.3487153363577,1568110085.084423
28,-839.6876629337927,1568110087.087114
29,-1317.2825574874876,1568110091.1945412
30,-1210.867971217497,1568110096.303258
31,-357.3863737274475,1568110099.4098434
32,-1386.0995769500732,1568110102.5167232
33,-1661.2999233050966,1568110108.6295986
34,-1660.3566501296468,1568110110.631386
35,-1660.4099750759244,1568110112.634617
36,-799.8218108568848,1568110117.7451506
37,-614.0507910471754,1568110120.8513944
38,-746.3038725599699,1568110123.957996
39,-711.4515893430205,1568110127.0639527
40,-687.0479942549222,1568110131.170982
41,-477.7264120101627,1568110133.173639
42,-717.5041516483781,1568110135.1769369
43,-836.1348950532207,1568110137.1796038
44,-778.2357847516873,1568110141.2861154
45,-854.3394981062892,1568110144.3932984
46,-1130.0608688642008,1568110146.39579
47,-1014.2827693040775,1568110148.3985271
48,-1100.2027848473742,1568110151.505604
49,-1211.3144643385995,1568110155.6144798
50,-553.6983631847055,1568110158.721894
51,-1156.2010258741368,1568110163.830992
52,-711.7089033126831,1568110166.936861
53,-1081.7761454073848,1568110170.0440834
54,-1346.511721611023,1568110174.1542094
55,-1242.0400119647468,1568110177.2603774
56,-1520.5228328704834,1568110181.3657098
57,-1242.1136247343238,1568110187.4766643
58,-1241.6585679141583,1568110189.4795132
59,-1239.6994250919636,1568110191.4815586
60,-853.3985552147168,1568110195.58867
61,-454.364377705073,1568110198.6971853
62,-317.0551846761291,1568110201.8047626
63,-273.42299310000107,1568110204.9120207
64,-260.49684511376944,1568110208.0181167
65,-260.1386632898165,1568110212.1268296
66,-418.89868461825193,1568110216.2353866
67,-606.5807029127781,1568110219.3423352
68,-165.92040521505072,1568110222.4458377
69,-248.92437848075437,1568110225.5532494
70,-335.8005176240556,1568110228.6603417
71,-258.57131280518826,1568110231.7674448
72,-290.15991914249594,1568110234.8746846
73,-276.59210242370614,1568110237.9809136
74,-256.420229630012,1568110241.0882957
75,-253.76253156756658,1568110245.1967406
76,-413.44868005588415,1568110249.3052907
77,-600.2799088969956,1568110252.4118304
78,-159.87406274380496,1568110255.515858
79,-251.8036096856634,1568110258.623407
80,-327.1304641882456,1568110261.7298644
81,-299.79520621943584,1568110265.8379977
82,-310.0944992443651,1568110268.9441106
83,-280.63789475475227,1568110272.0515215
84,-255.67174931961304,1568110275.1572592
85,-248.88323455125536,1568110279.2659502
86,-405.0433744715207,1568110283.3731604
87,-627.4870407149292,1568110286.4797041
88,-156.17483427722433,1568110289.5898638
89,-252.6867621181624,1568110292.6956687
90,-324.45840163895616,1568110295.804579
91,-292.00431761977615,1568110299.9132314
92,-306.6140348908586,1568110303.0191662
93,-282.83364540880194,1568110306.1256208
94,-247.4977043462929,1568110309.2323864
95,-242.24691069837365,1568110313.3413572
96,-400.281270677167,1568110317.449868
97,-526.8867606856631,1568110320.556636
98,-148.0285491787812,1568110323.662772
99,-252.77144048183456,1568110326.7679582
100,-314.15957214858554,1568110329.875787
101,-267.3194932408772,1568110332.9819932
102,-274.93799741587105,1568110336.0905685
103,-288.75892596962825,1568110339.198679
104,-438.50919078302263,1568110343.3078094
105,-618.2808392981108,1568110346.4145167
106,-183.0809478046622,1568110349.5209687
107,-249.32711554510368,1568110352.6264105
108,-351.0012427652091,1568110355.734159
109,-253.86712138459245,1568110358.8398635
110,-311.2221471615009,1568110361.9476628
111,-270.92752519340553,1568110365.054746
112,-268.75773112571596,1568110368.1616514
113,-293.14027544016807,1568110371.267613
114,-431.6125273654227,1568110375.3758528
115,-613.2813745870669,1568110378.4820888
116,-176.7099448500451,1568110381.5879319
117,-249.5800183812951,1568110384.6947212
118,-343.7981759582113,1568110387.8005295
119,-255.29900287070913,1568110390.9077113
120,-301.98094091369313,1568110394.0143855
121,-271.51875696004606,1568110397.120695
122,-265.7868577965077,1568110400.228542
123,-296.31862494128944,1568110403.3354247
124,-426.03493247494634,1568110407.4442198
125,-608.7246142809769,1568110410.5515175
126,-170.470812095366,1568110413.6580667
127,-247.1569388919082,1568110416.7647834
128,-338.90242657848313,1568110419.8688242
129,-258.0513722706436,1568110422.975507
130,-294.7837287109736,1568110426.0823812
131,-274.15054365989084,1568110429.1879294
132,-260.0694780811431,1568110432.2944126
133,-253.81228000670788,1568110436.4028337
134,-420.1084114306592,1568110440.5106444
135,-601.8496526563746,1568110443.6177866
136,-160.99725889883499,1568110446.7246165
137,-249.28444156921887,1568110449.8322392
138,-333.33375559996404,1568110452.9392889
139,-261.42052049433346,1568110456.045366
140,-290.67318275912,1568110459.1522672
141,-277.8516004723146,1568110462.2581036
142,-260.37865922466625,1568110465.3651268
143,-249.06381374420707,1568110469.4738724
144,-410.9343467867919,1568110473.5823498
145,-596.2473664409531,1568110476.6880891
146,-156.92942876123493,1568110479.7945452
147,-247.10717193950256,1568110482.901329
148,-327.36102850335385,1568110486.0075092
149,-294.27276767718365,1568110490.1146443
150,-308.84550018334824,1568110493.2223527
151,-280.2401151263325,1568110496.329514
152,-250.4417069428803,1568110499.4365458
153,-246.69186903078148,1568110503.5455005
154,-407.631461093477,1568110507.6532826
155,-623.42715182366,1568110510.7616806
156,-149.0926683976567,1568110513.8693602
157,-249.77151725524755,1568110516.9759095
158,-319.53117231887484,1568110520.0829015
159,-291.09397577856504,1568110524.1917102
160,-303.30633373859945,1568110527.2992382
161,-283.8041499921276,1568110530.4059622
162,-231.50425514883452,1568110533.5145102
163,-242.98656194706675,1568110537.6264899
164,-188.80544987078818,1568110540.7331862
165,-246.55294068054494,1568110543.839896
166,-356.3149442346652,1568110546.94615
167,-255.69222359980904,1568110550.0532715
168,-315.1932151339019,1568110553.1592238
169,-266.1859658888053,1568110556.2662418
170,-270.86797225685046,1568110559.3732595
171,-288.19412224526747,1568110562.4804773
172,-434.74553922140126,1568110566.5890348
173,-615.9340249776491,1568110569.6962929
174,-182.87992623465288,1568110572.8034966
175,-250.2925193472737,1568110575.9093053
176,-350.46450040915505,1568110579.01677
177,-254.05207270978389,1568110582.1243386
178,-305.35451218923913,1568110585.2321196
179,-271.6693092602134,1568110588.3382502
180,-266.5750763111874,1568110591.4450412
181,-294.16369503701804,1568110594.5524237
182,-429.51160759691066,1568110598.660842
183,-608.8424464876043,1568110601.7688274
184,-174.80720023751996,1568110604.8753846
185,-249.6765581287512,1568110607.9822066
186,-342.9286783712558,1568110611.0873888
187,-256.3636587972305,1568110614.194159
188,-297.8287444020898,1568110617.3016267
189,-274.097962518814,1568110620.4083567
190,-265.1468743010987,1568110623.5143027
191,-297.5879954511714,1568110626.6223414
192,-423.9654611400114,1568110630.7322543
193,-605.6691390477577,1568110633.840518
194,-166.07472891496093,1568110636.9476624
195,-249.59349695848357,1568110640.055589
196,-336.66815803960094,1568110643.1625733
197,-259.1225890930554,1568110646.26971
198,-293.2081886269263,1568110649.3769848
199,-279.2803920858616,1568110652.4840877
200,-257.141350941265,1568110655.5904524
201,-251.2881099366761,1568110659.6984258
202,-413.20984014438466,1568110663.8050652
203,-600.7070600864931,1568110666.9122896
204,-160.583679926078,1568110670.0181293
205,-247.99954060951313,1568110673.1252313
206,-331.16454769882307,1568110676.2321537
207,-301.3013472776803,1568110680.341498
208,-309.10546687201213,1568110683.4485142
209,-278.263769331163,1568110686.5548222
210,-256.4197189711746,1568110689.661821
211,-250.19695605504896,1568110693.7698393
212,-405.12935257612054,1568110697.8781836
213,-623.7749377459999,1568110700.9861412
214,-151.8812575131346,1568110704.0923996
215,-249.67650446100797,1568110707.198483
216,-323.8467621705326,1568110710.305857
217,-292.2438291005869,1568110714.4140832
218,-307.0995080862518,1568110717.5219536
219,-283.5562268576655,1568110720.628069
220,-250.6565104634012,1568110723.7340174
221,-241.80796042898814,1568110727.842689
222,-399.81895828470806,1568110731.950986
223,-621.0641443718877,1568110735.0586905
224,-145.64649517467285,1568110738.165479
225,-248.5724853525831,1568110741.2712924
226,-313.4146179155867,1568110744.3786716
227,-262.90014357682224,1568110747.485389
228,-274.57452767061613,1568110750.5928097
229,-280.51643002556887,1568110753.700595
230,-438.57705747124817,1568110757.8082519
231,-243.28111622198793,1568110761.9153502
232,-182.6879738920531,1568110765.0217006
233,-242.1136040396996,1568110768.1286137
234,-353.13321165865665,1568110771.2362947
235,-250.81738637092334,1568110774.3443992
236,-309.7526145655694,1568110777.4519093
237,-267.2423396297338,1568110780.558388
238,-270.43802045162977,1568110783.665894
239,-289.5211752192212,1568110786.7725868
240,-431.51847311002365,1568110790.881412
241,-611.3117216112138,1568110793.9878862
242,-176.87168459707172,1568110797.094643
243,-244.53190610799015,1568110800.20167
244,-346.2258222189922,1568110803.3074749
245,-251.49290121188804,1568110806.4142537
246,-305.45452825503395,1568110809.5217588
247,-269.43554907787745,1568110812.6284585
248,-266.6898113563929,1568110815.7368042
249,-292.3574663643228,1568110818.8434033
