# iterator, reward, timestamp 
1,-126.934538869,1568446925.9103582
2,-166.033472335,1568446927.9131896
3,-205.64353466,1568446944.0304096
4,-165.333057406,1568446948.1377509
5,-165.576469162,1568446950.1405194
6,-165.256186,1568446960.25179
7,-168.888346078,1568446963.357522
8,-168.990475604,1568446965.3600478
9,-149.585962296,1568446969.4667342
10,-122.362426799,1568446984.5912418
11,-122.879763336,1568446986.593472
12,-186.513306978,1568446991.7019129
13,-186.523056073,1568446993.7043097
14,-202.991843224,1568447003.8178663
15,-163.966179664,1568447010.928445
16,-169.929425571,1568447025.0449388
17,-163.924208866,1568447031.153896
18,-200.110793114,1568447041.26777
19,-200.62148571,1568447043.2704697
20,-184.870332296,1568447048.3780358
21,-144.037302319,1568447051.482765
22,-124.625983748,1568447053.4855459
23,-164.529945104,1568447061.5958436
24,-201.990008354,1568447066.7045627
25,-163.986827642,1568447071.814031
26,-163.755986432,1568447073.8169065
27,-138.561231121,1568447076.921104
28,-164.21323784,1568447080.025423
29,-168.07295634,1568447088.136634
30,-163.391386495,1568447097.2484322
31,-163.404742044,1568447099.2508082
32,-141.51972311,1568447102.3557773
33,-149.472355843,1568447106.46264
34,-122.890443728,1568447112.5706367
35,-148.588299751,1568447126.689528
36,-168.555616215,1568447130.79717
37,-168.709226473,1568447132.7997258
38,-148.819804192,1568447135.9059815
39,-149.028778076,1568447137.9086058
40,-122.578256932,1568447146.0208087
41,-149.783730507,1568447151.127571
42,-122.441319443,1568447154.2337663
43,-164.589059931,1568447164.3456872
44,-203.086972237,1568447170.4520643
45,-164.278241843,1568447176.559984
46,-167.48440285,1568447180.665677
47,-164.293210708,1568447186.773375
48,-123.114312591,1568447194.8844512
49,-123.384671573,1568447196.8863888
50,-164.567030266,1568447203.9969292
51,-164.645761356,1568447206.0000675
52,-200.974345207,1568447210.1059434
53,-201.280593872,1568447212.108001
54,-164.405677054,1568447215.213495
55,-168.418969578,1568447222.3223505
56,-168.521906859,1568447224.3258843
57,-163.896201854,1568447228.4310992
58,-142.016121134,1568447231.5367262
59,-123.470338199,1568447233.5397377
60,-185.548241095,1568447241.647852
61,-132.810249961,1568447245.7534573
62,-176.087612391,1568447249.859852
63,-202.091574669,1568447261.974134
64,-184.588736184,1568447270.0851157
65,-183.919946879,1568447272.088083
66,-127.811831266,1568447277.1960049
67,-121.889489234,1568447280.3016682
68,-20.75614711,1568447286.4094791
69,-165.148946065,1568447299.5239196
70,-143.2633932,1568447302.6282306
71,-163.702585348,1568447309.7388375
72,-163.937891447,1568447311.741062
73,-200.439691544,1568447323.8566716
74,-184.758601741,1568447327.9620671
75,-126.20301574,1568447333.0707207
76,-150.059819221,1568447338.1791093
77,-150.219321251,1568447340.1808732
78,-122.970945114,1568447347.2944016
79,-185.229744376,1568447352.4010262
80,-128.4922952,1568447356.5065398
81,-148.684501648,1568447359.6113389
82,-123.196038738,1568447366.719628
83,-122.589016894,1568447368.7217546
84,-149.055719376,1568447371.8291056
85,-168.984526245,1568447381.9419298
86,-149.399638176,1568447392.0543227
87,-149.104714394,1568447394.0562465
88,-122.378586662,1568447397.1612022
89,-122.70525658,1568447399.1634657
90,-122.246103361,1568447401.1667433
91,-148.552179337,1568447407.2747054
92,-122.766770405,1568447411.3813517
93,-149.941325188,1568447415.4868715
94,-123.115195559,1568447419.594103
95,-164.472730758,1568447425.702858
96,-142.954633819,1568447428.809345
