# iterator, reward, timestamp 
1,59.6703290939,1568440803.8828442
2,140.220801036,1568440805.884849
3,140.225807826,1568440808.9896812
4,20.7971334457,1568440812.0945532
5,140.42365551,1568440815.2004883
6,20.8135445913,1568440818.3061695
7,23.3896970749,1568440821.4130857
8,20.3788677851,1568440824.518232
9,23.9371061325,1568440827.6237817
10,20.4427242279,1568440830.7276144
11,22.3104953766,1568440833.8317256
12,16.273856163,1568440836.9369822
13,21.9536225001,1568440840.0419528
14,21.2006568909,1568440843.1467795
15,140.369693438,1568440846.250834
16,20.3012228012,1568440849.3558598
17,132.101496061,1568440852.4603388
18,140.250921249,1568440854.462838
19,201.343536377,1568440857.5688386
20,31.9184859594,1568440860.6751196
21,21.4603344599,1568440863.7809377
22,23.2246716817,1568440866.8869243
23,20.8685795466,1568440869.991737
24,148.567795753,1568440873.096874
25,20.9968090057,1568440876.2011826
26,140.181382497,1568440879.3069293
27,140.243252118,1568440881.3087745
28,201.278328896,1568440889.4178934
29,23.3017206192,1568440892.523549
30,21.3386615117,1568440895.630294
31,46.5528964996,1568440898.7386224
32,20.4967260361,1568440901.8455637
33,24.1133371989,1568440904.9513261
34,200.697302818,1568440909.0567434
35,201.033353806,1568440911.0586681
36,23.0928262075,1568440914.1639578
37,20.8979845047,1568440917.269755
38,21.0550228755,1568440919.2722173
39,24.1945187251,1568440922.3769438
40,20.0798511505,1568440925.4822855
41,20.9825833639,1568440927.4839408
42,149.93429184,1568440930.590357
43,20.4921960831,1568440933.695626
44,21.1092233658,1568440935.697852
45,20.7213958104,1568440937.7003233
46,23.0239232381,1568440940.8051388
47,20.3240315119,1568440943.9095786
48,21.2877591451,1568440945.912094
49,20.8689371745,1568440947.9132
50,23.2334931691,1568440951.0193715
51,20.1811393102,1568440954.1236205
52,20.8830038706,1568440956.125451
53,23.334145546,1568440959.2313204
54,21.0948387782,1568440962.3370318
55,23.7166881561,1568440965.4424632
56,23.4523216883,1568440967.444252
57,21.247903506,1568440970.5495768
58,23.4922568003,1568440973.6553066
59,22.870739301,1568440975.6581411
60,20.8042065303,1568440978.7634342
61,23.9395300547,1568440981.8691795
62,21.3561852773,1568440984.975141
63,23.5972801844,1568440988.0808237
64,20.8962361018,1568440991.1862817
65,79.888621966,1568440994.292052
66,20.6891695658,1568440997.397299
67,19.4996992747,1568440999.3993015
68,20.7503239314,1568441001.4018557
69,20.8020210266,1568441003.405179
70,23.2613881429,1568441006.509328
71,23.7514575322,1568441008.5116317
72,21.7072963715,1568441011.6169524
73,125.551104546,1568441014.722055
74,20.1642910639,1568441017.8281498
75,20.4293727875,1568441019.8317895
76,22.8962898254,1568441022.9373994
77,21.4844544729,1568441026.0426085
78,23.587346077,1568441029.1481168
79,23.4513282776,1568441031.1507874
80,23.7205028534,1568441033.1525748
81,24.0184863408,1568441035.1543462
82,21.3888486226,1568441037.156718
83,23.3567158381,1568441039.1586378
84,22.5553909938,1568441041.1613421
85,20.5367008845,1568441044.2661977
86,20.7057793935,1568441046.269023
87,23.3465830485,1568441049.3751748
88,20.6545591354,1568441052.4818695
89,21.4767853419,1568441054.483901
90,23.3647425969,1568441057.5892692
91,23.2743024826,1568441059.5912921
92,23.0839252472,1568441061.592268
93,20.9787686666,1568441064.6984413
94,20.9249655406,1568441066.6998632
95,20.7708279292,1568441068.7024012
96,22.944688797,1568441071.8073761
97,20.7818746567,1568441074.9129615
98,21.650036176,1568441076.9155438
99,23.7976312637,1568441080.0207458
100,21.4288632075,1568441083.1248336
101,150.022745132,1568441088.232971
102,20.6176042557,1568441091.339016
103,20.9423303604,1568441093.3420749
104,20.826180776,1568441095.3446796
105,20.9739605586,1568441097.3476074
106,23.2627789179,1568441100.453865
107,20.9337075551,1568441103.5597534
108,23.2399304708,1568441106.6629152
109,21.4087168376,1568441109.7679546
110,23.4199762344,1568441112.8756363
111,24.1249799728,1568441114.877862
112,20.9724903107,1568441117.984118
113,20.7240581512,1568441119.9870026
114,24.3386030197,1568441123.0914717
115,24.2424805959,1568441125.0949326
116,21.3264624278,1568441128.1993623
117,23.2621431351,1568441131.3047168
118,20.8788315455,1568441134.4090068
119,21.0216840108,1568441136.4101305
120,23.4298706055,1568441139.5175786
121,23.9680210749,1568441141.5201287
122,23.4367450078,1568441143.5223799
123,20.7469463348,1568441146.6280184
124,20.8376646042,1568441148.6303692
125,23.5998630524,1568441151.7369173
126,23.3817497889,1568441153.7396142
127,21.0792223612,1568441156.8449373
128,23.4004656474,1568441159.9501529
129,24.0890979767,1568441161.9521325
130,22.8740771612,1568441163.9548743
131,22.0663150152,1568441165.9573421
132,21.0903485616,1568441169.0621798
133,20.8820899328,1568441171.0647016
134,21.3480790456,1568441173.0662766
135,23.7749417623,1568441176.1725829
136,24.4040091832,1568441178.176182
137,23.9769220352,1568441181.2820082
138,26.0886748632,1568441184.3872397
139,23.3161449432,1568441187.4928558
140,23.4855016073,1568441189.4950192
141,27.1189610163,1568441192.6006358
142,24.1316556931,1568441195.706207
143,23.9327351252,1568441197.710351
144,24.4162480036,1568441199.7127666
145,26.5740553538,1568441202.8170538
146,25.7484912872,1568441204.8185492
147,25.8167187373,1568441206.8201528
148,24.0304867427,1568441209.9239552
149,23.2513348262,1568441211.925042
150,26.1661609014,1568441215.0306895
151,25.7428089778,1568441217.0324962
152,25.8648395538,1568441219.034975
153,23.0452617009,1568441222.1397135
154,25.9884198507,1568441225.2451315
155,23.6728191376,1568441228.3511426
156,26.0125796,1568441231.4571307
157,23.4142144521,1568441234.5623214
158,25.9037017822,1568441237.6685574
159,24.1920550664,1568441240.774724
160,23.68247509,1568441242.7771015
161,26.1215766271,1568441245.881754
162,24.2536465327,1568441248.9873116
163,25.9072383245,1568441252.0911982
164,22.9015747706,1568441255.195203
165,23.8060156504,1568441257.1980107
166,23.1916507085,1568441259.2005332
167,25.6365935008,1568441262.3072464
168,23.5442320506,1568441265.4140081
169,26.2099901835,1568441268.5202267
170,23.2890844345,1568441271.6261098
171,25.9650945663,1568441274.7307546
172,23.3908891678,1568441277.8369377
173,26.0494550069,1568441280.942991
174,24.1026083628,1568441284.0498707
175,25.5883534749,1568441287.1536586
176,23.2020616531,1568441290.2594972
177,24.0739981333,1568441292.2623522
178,25.5371729533,1568441295.3679764
179,23.6017306646,1568441298.4728022
180,23.7444241842,1568441300.475721
181,25.9188016256,1568441303.5803435
182,23.4046379725,1568441306.6856542
183,25.973478953,1568441309.7904732
184,26.5529155731,1568441311.79268
185,27.0046790441,1568441313.794486
186,25.9133974711,1568441315.796472
187,23.5863526662,1568441318.901282
188,26.2131690979,1568441322.0063543
189,27.5774399439,1568441324.0085468
190,23.7348079681,1568441327.1134849
191,26.2777407964,1568441330.2164042
192,23.1088399887,1568441333.3227942
193,23.3633518219,1568441335.3253694
194,23.6791769663,1568441337.328005
195,23.450533549,1568441339.3301084
196,27.1071592967,1568441342.4350877
197,23.2741832733,1568441345.5397325
198,23.4860181808,1568441347.5423439
199,26.1714458466,1568441350.645401
200,26.1571804682,1568441352.647489
201,25.9747505188,1568441354.6496623
202,23.1577952703,1568441357.7557561
203,25.7898966471,1568441360.8615253
204,23.7007538478,1568441363.966971
205,26.4467000961,1568441367.0724254
206,22.931933403,1568441370.1772833
207,23.7709283829,1568441372.1805148
208,24.1420666377,1568441374.182654
209,26.567141215,1568441377.2878907
210,26.6441901525,1568441379.2906604
211,23.0570634206,1568441382.3970578
212,23.0446259181,1568441384.4000232
213,23.5459407171,1568441386.401623
214,150.414466858,1568441389.5071745
215,151.263833046,1568441391.5098207
216,23.5161781311,1568441394.6146436
217,151.30341053,1568441397.7194924
218,24.0913629532,1568441400.8248577
219,26.3103644053,1568441403.9302723
220,27.5165637334,1568441405.9331605
221,23.7053632736,1568441409.037355
222,26.8592437108,1568441412.1425128
223,23.3018398285,1568441415.249289
224,26.0813633601,1568441418.3530416
225,23.6778259277,1568441421.4586816
226,25.9545644124,1568441424.5636046
227,26.6740322113,1568441426.5653696
228,24.2114861806,1568441429.6704156
229,24.1809686025,1568441431.672536
230,23.8339503606,1568441433.674355
231,26.4138778051,1568441436.7794657
232,24.011572202,1568441439.8843415
233,25.9787638982,1568441442.9892182
234,202.64339447,1568441448.0972235
235,141.235947609,1568441451.2042272
236,23.4326521556,1568441454.31014
237,114.974419276,1568441457.414477
238,25.5630016327,1568441460.5205023
239,26.304880778,1568441463.6279857
240,26.8752574921,1568441465.6311407
241,23.6024459203,1568441468.7356923
242,23.8811572393,1568441470.7376945
243,27.0814498266,1568441473.844388
244,24.2420037587,1568441476.9489446
245,22.9368607203,1568441478.9509246
246,23.8543748856,1568441480.9525702
247,26.3154506683,1568441484.0582135
248,23.5387484233,1568441487.1639493
249,26.0677735011,1568441490.268991
250,23.5349734624,1568441493.3749366
251,23.1867631276,1568441495.3763647
252,26.5950361888,1568441498.4819796
253,25.6391366323,1568441500.483973
254,21.855711937,1568441503.5895312
255,26.7507235209,1568441506.6954737
256,26.9665718079,1568441508.697258
257,23.3846108119,1568441511.8019657
258,26.7614126205,1568441514.9079437
259,23.2424338659,1568441518.0145621
260,23.3689149221,1568441520.0166245
261,25.5805253983,1568441522.019396
262,23.6255725225,1568441524.021871
263,23.7150589625,1568441526.0245743
264,24.1859753927,1568441528.0278223
265,23.6129363378,1568441530.0306199
266,23.3486096064,1568441532.0331368
267,23.2770045598,1568441534.03538
268,23.2977469762,1568441536.0377522
269,26.8568992615,1568441539.1429727
270,23.8296985626,1568441542.24922
271,26.5130201976,1568441545.3556252
272,24.0771770477,1568441548.460501
273,26.18988355,1568441551.565822
274,24.1390069326,1568441554.6717622
275,23.6878792445,1568441556.6742702
276,23.4762827555,1568441558.6775515
