# iterator, reward, timestamp 
1,-92.0166329297,1568478693.527942
2,-84.733063982,1568478697.633998
3,-84.4420972154,1568478699.637173
4,-101.56750679,1568478702.742886
5,-101.374864578,1568478704.745056
6,-84.1618212378,1568478709.8526165
7,-84.1697818637,1568478711.854309
8,-84.1096048034,1568478713.8569672
9,-100.093841553,1568478717.963646
10,-84.4203770722,1568478722.069957
11,-84.7123636529,1568478724.072678
12,-105.69087765,1568478727.1774225
13,-130.959033966,1568478731.2840307
14,-133.573174477,1568478733.286281
15,-131.02376461,1568478735.2881553
16,-102.558356519,1568478738.393299
17,-105.508002292,1568478740.39601
18,-127.993941307,1568478745.5049965
19,-105.041574617,1568478749.611503
20,-31.0650768417,1568478752.7167478
21,-104.495380164,1568478756.8227997
22,-82.1564516088,1568478759.928324
23,-108.90567107,1568478768.0391343
24,-85.6031861681,1568478772.1443846
25,-85.3945084032,1568478774.1473312
26,-85.4373775427,1568478776.1491604
27,-85.6202732136,1568478778.1517584
28,-102.567791939,1568478781.2578568
29,-101.962447166,1568478783.261539
30,-84.0624040218,1568478787.368782
31,-98.2681512833,1568478792.475797
32,-81.7068345925,1568478796.584621
33,-84.1320438911,1568478799.689635
34,-108.224452603,1568478801.6924129
35,-26.599057353,1568478804.7996109
36,-103.729906029,1568478808.9057333
37,-82.7777315938,1568478812.012302
38,-82.1414182946,1568478814.0144749
39,-107.047033601,1568478819.1229618
40,-108.48868887,1568478821.1255217
41,-85.3104044932,1568478824.230679
42,-107.006129691,1568478828.337857
43,-84.2957027899,1568478832.444975
44,-104.934692383,1568478837.5521092
45,-29.5412843259,1568478840.657209
46,-80.0215653189,1568478843.7633872
47,-68.9440094261,1568478847.871298
48,-102.974772453,1568478852.9779286
49,-28.1939780032,1568478856.0832872
50,-109.786174648,1568478859.189152
51,-69.4960108792,1568478862.2955458
52,-59.6605363898,1568478864.2988229
53,-45.5450960226,1568478866.3010263
54,-107.029031276,1568478871.4105852
55,-129.305362701,1568478874.5160017
56,-107.282996921,1568478877.6209383
57,-128.215312958,1568478882.7299502
58,-106.194297099,1568478887.8371093
59,-67.913056438,1568478891.9464922
60,-104.307174683,1568478896.051354
61,-103.386640549,1568478898.0534542
62,-27.3473806988,1568478901.1594002
63,-27.5192902784,1568478903.1625695
64,-110.747471332,1568478907.2698464
65,-106.980195605,1568478909.2721298
66,-85.3260421789,1568478912.3778687
67,-105.896949768,1568478915.4843497
68,-84.6271338947,1568478920.5919735
69,-109.770371107,1568478923.6969411
70,-85.1783969945,1568478926.8031664
71,-85.956742928,1568478928.8060014
72,-60.9873006267,1568478931.912892
73,-129.972577095,1568478935.0183911
74,-106.714711407,1568478938.1253247
75,-67.9839745751,1568478941.22979
76,-56.1727801922,1568478943.2325315
77,-107.352256775,1568478948.3409753
78,-26.9614990892,1568478951.4484284
79,-108.471135309,1568478954.5556512
80,-131.428480148,1568478959.6631227
81,-106.120531313,1568478962.7683585
82,-56.8318323039,1568478965.8734686
83,-54.6780901975,1568478968.9793234
84,-110.719782551,1568478970.9823964
85,-66.6552517117,1568478975.0897267
86,-107.977174912,1568478978.1955585
87,-87.3714605491,1568478981.3017013
88,-104.379296303,1568478985.4084382
89,-26.6333718686,1568478988.5136473
90,-103.503108025,1568478993.6220489
91,-26.9516623615,1568478996.7275426
92,-28.2714814853,1568478998.7289438
93,-26.8018639812,1568479000.7308986
94,-28.0816255755,1568479002.7332168
95,-106.89245711,1568479007.8406441
96,-108.906371757,1568479009.8438818
97,-70.0362214509,1568479012.94872
98,-59.6725935022,1568479014.9508932
99,-47.3156620701,1568479016.953329
100,-37.9176371484,1568479018.955865
101,-104.921460152,1568479022.0625246
102,-27.4097452739,1568479025.168344
103,-28.954084603,1568479027.170701
104,-27.7473384309,1568479029.173056
105,-26.2878222878,1568479031.174996
106,-28.2920584357,1568479033.1771712
107,-27.9387015494,1568479035.1788654
108,-27.6510182073,1568479037.1813734
109,-28.8054585308,1568479039.1829977
110,-107.953301228,1568479042.2886271
111,-69.4308810978,1568479045.393233
112,-58.2696689998,1568479047.3956919
113,-45.7101945878,1568479049.3977244
114,-35.9424536982,1568479051.3997457
115,-27.790880983,1568479053.4020996
116,-27.9735914277,1568479055.4049184
117,-26.8229562135,1568479057.4072576
118,-28.0462609982,1568479059.4103613
119,-26.6773378114,1568479061.4134083
120,-29.3246185247,1568479063.4158158
121,-26.7744292272,1568479065.4182565
122,-27.4692335331,1568479067.4214036
123,-26.687030979,1568479069.4235606
124,-27.6867757641,1568479071.4255767
125,-26.8633027935,1568479073.4274168
126,-27.4920192684,1568479075.4300065
127,-27.0669885546,1568479077.4327714
128,-29.2214876615,1568479079.4357913
129,-26.891796801,1568479081.4385388
130,-29.4738852779,1568479083.4405901
131,-26.8386482567,1568479085.4434674
132,-109.436298757,1568479091.5518317
133,-69.5655958664,1568479094.6571665
134,-58.2704400789,1568479096.6596713
135,-104.794859886,1568479099.7654896
136,-108.032107353,1568479101.7686927
137,-29.0993641125,1568479104.8749437
138,-26.47207363,1568479106.8773055
139,-29.2583112493,1568479108.879817
140,-27.262652771,1568479110.8831792
141,-27.1826062901,1568479112.8869116
142,-28.3163951689,1568479114.8901353
143,-27.675077403,1568479116.8933742
144,-29.1172088888,1568479118.8958602
145,-27.2033707395,1568479120.8982706
146,-29.1838996321,1568479122.9017684
147,-27.1031577701,1568479124.9050317
148,-29.8094315185,1568479126.9067752
149,-28.1846451035,1568479128.9101558
150,-28.3063904257,1568479130.9136484
151,-27.5895431631,1568479132.9163935
152,-27.3494542911,1568479134.9189875
153,-27.641934984,1568479136.9219372
154,-28.2170554898,1568479138.9249263
155,-29.2366783179,1568479140.9276726
156,-27.4132085024,1568479142.9309769
157,-28.9921068289,1568479144.9336917
158,-27.6795518249,1568479146.9358459
