# iterator, reward, timestamp 
1,28.0146598816,1568482284.0127394
2,37.9201173782,1568482286.0189347
3,32.5736999512,1568482288.020411
4,29.925942421,1568482290.0245793
5,27.7888774872,1568482292.027333
6,28.6194086075,1568482295.1319187
7,29.0083090464,1568482298.2379248
8,22.8567123413,1568482301.3450878
9,34.4358682632,1568482304.4553308
10,23.4891970952,1568482307.5612292
11,27.8986295064,1568482310.6705217
12,26.2237787247,1568482313.7796137
13,27.715365092,1568482316.8858345
14,26.104927063,1568482319.9923837
15,24.0255196889,1568482323.095282
16,27.6950995127,1568482326.203249
17,26.3781150182,1568482329.3100863
18,26.385863622,1568482331.313935
19,23.0159759521,1568482334.4220953
20,24.973988533,1568482337.5304005
21,25.8222023646,1568482339.5325823
22,24.2173671722,1568482342.6406057
23,24.328827858,1568482345.7476385
24,22.4357843399,1568482347.7496884
25,28.3193588257,1568482350.8555417
26,25.8902311325,1568482353.9603062
27,19.8623736699,1568482357.0678885
28,23.3582655589,1568482360.1759918
29,18.4999704361,1568482363.2833745
30,22.9875644048,1568482366.386184
31,23.7589677175,1568482368.388498
32,24.2003202438,1568482371.4942963
33,28.6232630412,1568482374.603131
34,16.0264968872,1568482377.712581
35,17.3163811366,1568482380.8201547
36,17.4803336461,1568482383.9286017
37,31.5698385239,1568482387.034579
38,28.9129018784,1568482390.143217
39,21.2788581848,1568482393.2496839
40,20.6481218338,1568482395.2533185
41,23.1683254242,1568482398.3589098
42,17.8414583206,1568482400.3617265
43,23.3387947083,1568482402.3624547
44,19.8463996251,1568482405.4676526
45,17.5368785858,1568482408.580739
46,23.8933960597,1568482411.680737
47,24.2636998494,1568482414.7893212
48,28.940320015,1568482417.8944035
49,20.0725793839,1568482420.9997642
50,23.2709646225,1568482424.107515
51,25.2206325531,1568482427.213453
52,24.519165357,1568482430.3223884
53,14.5157575607,1568482433.4306402
54,21.8018293381,1568482435.4343598
55,27.2840658824,1568482438.5402787
56,26.0443687439,1568482441.6454666
57,28.8797219594,1568482444.753891
58,19.8361873627,1568482446.7585614
59,22.8569507599,1568482449.8649518
