# iterator, reward, timestamp 
1,-172.16235399246216,1568694776.1936836
2,-171.380877494812,1568694777.1956599
3,-170.61972618103027,1568694778.1966517
4,-173.2252836227417,1568694779.1987638
5,-171.4569330215454,1568694780.2004724
6,-169.33739185333252,1568694781.2021942
7,-172.55520820617676,1568694782.2040217
8,-172.08492755889893,1568694783.2051177
9,-173.0177402496338,1568694784.2083824
10,-171.21410369873047,1568694785.2107239
11,-169.14010047912598,1568694786.2119443
12,-175.61030387878418,1568694787.214311
13,-172.65045642852783,1568694788.2174704
14,-172.06335067749023,1568694789.2185137
15,-170.82619667053223,1568694790.2192755
16,-170.6078052520752,1568694791.2202082
17,-169.19207572937012,1568694792.2216825
18,-168.0525541305542,1568694793.2220151
19,-175.58526992797852,1568694794.2238026
20,-175.06825923919678,1568694795.226349
21,-173.72238636016846,1568694796.2285552
22,-176.05459690093994,1568694797.231456
23,-173.60341548919678,1568694798.2337017
24,-176.20742321014404,1568694799.2368612
25,-175.1333475112915,1568694800.238345
26,-175.4591464996338,1568694801.2401397
27,-177.35254764556885,1568694802.2428172
28,-174.6279001235962,1568694803.244552
29,-173.3306646347046,1568694804.2467868
30,-176.57577991485596,1568694805.2489243
31,-175.37438869476318,1568694806.2500658
32,-171.83077335357666,1568694807.252316
33,-176.36418342590332,1568694808.2539587
34,-174.78013038635254,1568694809.2563992
35,-174.5152473449707,1568694810.2582278
36,-175.9965419769287,1568694811.2605174
37,-173.2010841369629,1568694812.2629428
38,-175.66072940826416,1568694813.2653012
39,-174.45063591003418,1568694814.269189
40,-172.49131202697754,1568694815.2705405
41,-177.80232429504395,1568694816.2724183
42,-176.22578144073486,1568694817.2736568
43,-174.84116554260254,1568694818.2757986
44,-172.9593276977539,1568694819.2778678
45,-178.05850505828857,1568694820.2790012
46,-176.45668983459473,1568694821.2792528
47,-174.94356632232666,1568694822.281312
48,-177.5963306427002,1568694823.2830496
49,-176.9181489944458,1568694824.2849774
50,-176.24950408935547,1568694825.2875473
51,-179.55434322357178,1568694826.2899146
52,-174.04091358184814,1568694827.2918556
53,-174.10564422607422,1568694828.2941015
54,-176.07617378234863,1568694829.298452
55,-174.60238933563232,1568694830.299582
56,-174.8713254928589,1568694831.3014395
57,-172.6905107498169,1568694832.3035152
58,-173.63321781158447,1568694833.3056312
59,-177.75583267211914,1568694834.3078258
60,-176.06019973754883,1568694835.309145
61,-171.97084426879883,1568694836.3123212
62,-174.67164993286133,1568694837.3132262
63,-170.18401622772217,1568694838.3149583
64,-177.57880687713623,1568694839.3176599
65,-177.3461103439331,1568694840.3196418
66,-176.6277551651001,1568694841.32206
67,-177.63423919677734,1568694842.3234062
68,-177.15966701507568,1568694843.3249981
69,-180.05037307739258,1568694844.3272326
70,-178.7111759185791,1568694845.3286197
71,-175.57501792907715,1568694846.3306782
72,-179.9447536468506,1568694847.3332634
73,-178.1325340270996,1568694848.3351371
74,-177.2749423980713,1568694849.3368838
75,-179.84700202941895,1568694850.3398526
76,-178.36511135101318,1568694851.3420389
77,-180.56511878967285,1568694852.3433778
78,-178.98428440093994,1568694853.3476095
79,-176.67484283447266,1568694854.349362
80,-174.10755157470703,1568694855.3508902
81,-179.42726612091064,1568694856.352454
82,-177.86765098571777,1568694857.3540092
83,-181.8605661392212,1568694858.3557932
84,-179.80468273162842,1568694859.3576071
85,-178.76660823822021,1568694860.3603656
86,-181.21302127838135,1568694861.3619008
87,-180.29463291168213,1568694862.36375
88,-178.94327640533447,1568694863.364267
89,-183.46774578094482,1568694864.3671849
90,-180.566668510437,1568694865.372045
91,-180.2757978439331,1568694866.3734314
92,-183.29858779907227,1568694867.374097
93,-182.24680423736572,1568694868.3768744
94,-181.0694932937622,1568694869.379724
95,-176.51128768920898,1568694870.3821971
96,-181.50031566619873,1568694871.38452
97,-179.85785007476807,1568694872.3861866
98,-179.12757396697998,1568694873.3890808
99,-181.5328598022461,1568694874.3907604
100,-179.07702922821045,1568694875.3922021
101,-178.4573793411255,1568694876.3942783
102,-182.49666690826416,1568694877.3959699
103,-179.4719696044922,1568694878.396655
104,-177.1925687789917,1568694879.3993273
105,-182.7247142791748,1568694880.4016073
106,-181.87904357910156,1568694881.4043384
107,-180.41694164276123,1568694882.4064648
108,-180.87542057037354,1568694883.4091997
109,-180.16159534454346,1568694884.4106894
110,-184.27884578704834,1568694885.4136133
111,-178.59935760498047,1568694886.415891
112,-177.09314823150635,1568694887.418541
113,-177.58917808532715,1568694888.4197295
114,-177.0923137664795,1568694889.4215763
115,-179.96835708618164,1568694890.424048
116,-178.68554592132568,1568694891.4279513
117,-182.3878288269043,1568694892.4297066
118,-181.1063289642334,1568694893.4307191
119,-183.7310791015625,1568694894.4333272
120,-182.14702606201172,1568694895.4350033
121,-179.06856536865234,1568694896.4375165
122,-181.6115379333496,1568694897.4389203
123,-179.36193943023682,1568694898.4401047
124,-179.63051795959473,1568694899.4424748
125,-179.57353591918945,1568694900.4439027
