# iterator, reward, timestamp 
1,-183.30919742584229,1568666050.747256
2,-184.83781814575195,1568666051.7496793
3,-184.09621715545654,1568666052.7522929
4,-187.18326091766357,1568666053.7533898
5,-186.5018606185913,1568666054.7544475
6,-185.56177616119385,1568666055.7561429
7,-183.7683916091919,1568666056.7575476
8,-187.71517276763916,1568666057.760251
9,-186.04576587677002,1568666058.7619689
10,-185.16027927398682,1568666059.7642615
11,-184.81338024139404,1568666060.76683
12,-187.81590461730957,1568666061.7683482
13,-186.5006685256958,1568666062.7704003
14,-188.87245655059814,1568666063.7718678
15,-185.5027675628662,1568666064.7744157
16,-184.18514728546143,1568666065.7768514
17,-187.119722366333,1568666066.7781115
18,-183.56800079345703,1568666067.780462
19,-187.46578693389893,1568666068.7829716
20,-187.23392486572266,1568666069.784707
21,-189.98897075653076,1568666070.7862208
22,-185.56690216064453,1568666071.7870164
23,-188.88306617736816,1568666072.789642
24,-188.14408779144287,1568666073.7925603
25,-186.90085411071777,1568666074.7939427
26,-186.02097034454346,1568666075.7970319
27,-188.66348266601562,1568666076.7986448
28,-187.27469444274902,1568666077.7998977
29,-185.3644847869873,1568666078.8020098
30,-186.71488761901855,1568666079.8050194
31,-185.83834171295166,1568666080.8077095
32,-184.80181694030762,1568666081.8097682
33,-183.82930755615234,1568666082.8120854
34,-184.33594703674316,1568666083.8165503
35,-185.8806610107422,1568666084.8176408
36,-184.5555305480957,1568666085.8189569
37,-183.74371528625488,1568666086.8208055
38,-187.82782554626465,1568666087.8226063
39,-187.774658203125,1568666088.8229082
40,-186.58971786499023,1568666089.824082
41,-185.61267852783203,1568666090.82602
42,-188.49003314971924,1568666091.8280265
43,-186.29229068756104,1568666092.8305423
44,-186.41424179077148,1568666093.8336484
45,-189.09800052642822,1568666094.836021
46,-186.5551471710205,1568666095.838343
47,-185.8384609222412,1568666096.8399282
48,-190.58537483215332,1568666097.8418055
49,-189.52012062072754,1568666098.8430614
50,-189.15069103240967,1568666099.8444293
51,-187.91687488555908,1568666100.8469312
52,-186.80047988891602,1568666101.8482492
53,-189.90576267242432,1568666102.849697
54,-188.35175037384033,1568666103.8516252
55,-188.42828273773193,1568666104.8536909
56,-190.97471237182617,1568666105.8552494
57,-189.80419635772705,1568666106.8581622
58,-189.64707851409912,1568666107.861758
59,-190.8707618713379,1568666108.8637974
60,-189.2409324645996,1568666109.8650463
61,-186.5682601928711,1568666110.8677504
62,-185.0419044494629,1568666111.8696656
63,-183.78424644470215,1568666112.8707128
64,-186.7671012878418,1568666113.8738048
65,-189.42880630493164,1568666114.874479
66,-189.5308494567871,1568666115.8779862
67,-189.29076194763184,1568666116.8792841
68,-187.98577785491943,1568666117.8838682
69,-192.62313842773438,1568666118.8839521
70,-192.1217441558838,1568666119.886191
71,-189.62478637695312,1568666120.8870046
72,-188.5511875152588,1568666121.890033
73,-191.969633102417,1568666122.8916755
74,-191.72286987304688,1568666123.8930304
75,-190.8046007156372,1568666124.8951828
76,-189.80836868286133,1568666125.897626
77,-192.44325160980225,1568666126.8990538
78,-191.2093162536621,1568666127.900322
79,-189.75508213043213,1568666128.9022906
80,-194.2840814590454,1568666129.9052656
81,-192.8565502166748,1568666130.9070168
