# iterator, reward, timestamp 
1,-897.346798747471,1568219469.822833
2,-1651.8605734111368,1568219472.929234
3,-1192.120611402091,1568219476.0377162
4,-1358.1546595402506,1568219478.0406923
5,-1012.8919349161313,1568219482.148707
6,-977.4913442088186,1568219484.151868
7,-1231.671851095576,1568219489.2633138
8,-1656.736890324862,1568219493.3698814
9,-1190.0883916186378,1568219498.4780836
10,-1520.9283828735352,1568219505.59063
11,-1243.1717788759968,1568219508.697509
12,-1136.8814914501975,1568219513.8062587
13,-1501.6166566114425,1568219518.9156554
14,-1251.2470268709492,1568219522.0224302
15,-1138.989142634048,1568219524.025725
16,-1485.1592509565053,1568219529.1363366
17,-1348.6794140217005,1568219531.1386783
18,-617.5997098337705,1568219535.2465696
19,-1322.134719462565,1568219537.2495978
20,-2028.201699256897,1568219542.3585894
21,-2027.6521444320679,1568219544.3624587
22,-1656.7278725736176,1568219551.4732652
23,-2024.0440368652346,1568219554.57947
24,-1656.1655059995114,1568219570.7015436
25,-1251.84745660175,1568219576.8102016
26,-1342.95859979167,1568219578.8139882
27,-1066.7877197265625,1568219582.921632
28,-1260.4166414997242,1568219587.030785
29,-1521.5208530426025,1568219590.1374521
30,-1243.349594612862,1568219593.2448952
31,-1524.812936782837,1568219606.364063
32,-1520.539402961731,1568219608.3661141
33,-1243.87205366204,1568219612.4740102
34,-978.8488673522293,1568219616.5810847
35,-1241.4809848463046,1568219620.6881492
36,-1175.1266883655564,1568219623.7941294
37,-1841.6330069494204,1568219625.797041
38,-1520.616411832844,1568219630.9061291
39,-1203.120569313282,1568219632.9082625
40,-1069.3014731269288,1568219637.0139422
41,-1588.3653338927797,1568219639.0165026
42,-1200.7539323017531,1568219642.1215472
43,-1232.945203781128,1568219645.2290852
44,-1242.0984057736412,1568219649.3358378
45,-1096.5032004959141,1568219653.4438617
46,-2032.5586795806885,1568219657.5521975
47,-1657.2580190412789,1568219660.6599927
48,-1239.587973163205,1568219663.7667558
49,-1282.6867466937067,1568219665.7701273
50,-1347.428103412613,1568219670.8791568
51,-1346.652413347099,1568219672.8812892
52,-1336.7185945877716,1568219680.9932592
53,-1764.8631189918697,1568219684.1009197
54,-1276.0854628623078,1568219689.2098987
55,-1197.969662690176,1568219693.3183053
56,-1556.081838608349,1568219697.4246607
57,-1517.075538635254,1568219702.534455
58,-1269.3944803835025,1568219706.6441925
59,-1295.5671999741467,1568219708.6475496
60,-1351.117959459012,1568219711.7544618
61,-1225.6971998465876,1568219715.8635852
62,-1304.6314593446775,1568219717.8682427
63,-1526.1439085006714,1568219722.975532
64,-1243.9464314232052,1568219728.084232
65,-715.0406884409992,1568219732.1930883
66,-1270.4609859099578,1568219737.302771
67,-1338.6635025854,1568219740.408614
68,-1324.006186143581,1568219745.5195239
69,-1452.2549138005486,1568219749.6269927
70,-1275.1323234685574,1568219754.7347376
71,-1312.5119076994083,1568219756.7365344
72,-1523.8699913024902,1568219759.8433993
73,-1520.7792520523071,1568219761.8462741
74,-1244.1772409486227,1568219764.9520226
75,-1240.8063876302538,1568219766.954166
76,-1151.2977893667762,1568219772.0628624
77,-1585.86851381044,1568219776.1694968
78,-1337.161887704387,1568219781.2777262
79,-2030.1849842071533,1568219786.385688
80,-1657.8112960935928,1568219795.4979603
