# iterator, reward, timestamp 
1,-22.7265033968,1568249445.453867
2,-22.9059024301,1568249447.456439
3,-23.0450196435,1568249449.4578831
4,-22.3609106637,1568249451.4603183
5,-23.3719018908,1568249453.4629586
6,-23.0041246724,1568249455.4648442
7,-22.8032417985,1568249457.4666345
8,-22.6924216468,1568249459.468977
9,-23.522026769,1568249461.4710243
10,-23.4789466848,1568249463.4733944
11,-22.7276562386,1568249465.4756436
12,-22.6331698334,1568249467.4775155
13,-22.8081611662,1568249469.4803624
14,-21.9770253633,1568249471.4818056
15,-22.6276054294,1568249473.483198
16,-22.8230709934,1568249475.486012
17,-22.7244904819,1568249477.4900672
18,-22.7040531338,1568249479.4933367
19,-22.4521147837,1568249481.4969666
20,-22.5202962161,1568249483.5020783
21,-22.83233219,1568249485.5069134
22,-22.8597330275,1568249487.5109954
23,-22.4451925594,1568249489.514988
24,-22.5534957441,1568249491.5191689
25,-22.5369653014,1568249493.5235198
26,-22.2267227751,1568249495.5270717
27,-22.6980828319,1568249497.5317237
28,-23.0773580732,1568249499.534857
29,-22.6004151169,1568249501.5386877
30,-22.8282223495,1568249503.5411131
31,-23.4761342194,1568249505.5428429
32,-23.7607325798,1568249507.5444956
33,-22.8972811429,1568249509.5467503
34,-23.031970066,1568249511.5496328
35,-23.0124810884,1568249513.5526025
36,-22.6627151522,1568249515.5555847
37,-22.4922212049,1568249517.5587769
38,-22.8460335859,1568249519.5616052
39,-23.4967083226,1568249521.5651674
40,-23.6559689596,1568249523.568052
41,-23.4118225294,1568249525.5712113
42,-23.7877440941,1568249527.5743887
43,-23.6528986006,1568249529.577248
44,-23.1587084733,1568249531.5810425
45,-22.5422086321,1568249533.5836108
46,-26.0348107584,1568249535.5860405
47,-22.7008986669,1568249537.5893526
48,-21.8285080097,1568249539.5915914
49,-22.3818492018,1568249541.5955489
50,-23.2577693085,1568249543.599617
51,-22.8909022063,1568249545.6030638
52,-23.051404568,1568249547.6058855
53,-23.321681981,1568249549.6085184
54,-22.6872319117,1568249551.6108484
55,-22.3436553985,1568249553.6145144
56,-22.3009798905,1568249555.618085
57,-22.5284808685,1568249557.620593
58,-22.629941572,1568249559.62451
59,-22.6458720353,1568249561.627842
60,-22.2763300408,1568249563.631427
61,-22.5090096935,1568249565.6348913
62,-22.3921442243,1568249567.6377137
63,-22.2231744765,1568249569.6418166
64,-22.2387290347,1568249571.6452444
65,-22.0969193122,1568249573.6486726
66,-22.7512686281,1568249575.6523845
67,-23.9573823601,1568249577.6551285
68,-22.7573644359,1568249579.658098
69,-22.0437486202,1568249581.661095
70,-23.1522868189,1568249583.66479
71,-22.4963473731,1568249585.6676629
72,-22.8504059723,1568249587.6706536
73,-22.6692912789,1568249589.6738985
74,-22.5045094821,1568249591.6767547
75,-23.2786904641,1568249593.6802933
76,-22.8733341543,1568249595.6835098
77,-22.5185420197,1568249597.6865973
78,-22.710076017,1568249599.690502
79,-22.9084769539,1568249601.6941884
80,-21.9710154273,1568249603.6972866
81,-22.6946923621,1568249605.700422
82,-22.2134537565,1568249607.7039845
83,-21.8264239395,1568249609.7071474
84,-22.6178746965,1568249611.7100747
85,-23.4280475639,1568249613.7127948
86,-23.2833550409,1568249615.7164876
87,-23.3253377381,1568249617.7197738
88,-22.7689499109,1568249619.7224576
89,-22.5170859334,1568249621.7252748
90,-22.9099143554,1568249623.7292037
91,-22.6287110043,1568249625.7322524
92,-23.5532062746,1568249627.7354732
93,-22.4912380612,1568249629.73834
94,-22.8387025077,1568249631.7420456
95,-22.564006517,1568249633.7451413
96,-21.9165330781,1568249635.7486517
97,-23.1772276796,1568249637.7527866
98,-22.8111522229,1568249639.7554624
99,-21.985351817,1568249641.7587254
100,-22.5995872907,1568249643.7622807
101,-22.5878709804,1568249645.765101
102,-23.2822106545,1568249647.767881
103,-23.3329191402,1568249649.7704349
104,-22.0794225416,1568249651.7728918
105,-22.7508064032,1568249653.7758894
106,-22.8418469957,1568249655.77843
107,-22.9302364011,1568249657.7821896
108,-22.3540565796,1568249659.784282
109,-22.4789659189,1568249661.7874596
110,-24.448145076,1568249663.7899878
111,-22.7068682872,1568249665.7936354
112,-22.5224381675,1568249667.7971628
113,-23.4450355602,1568249669.800364
114,-23.6194013899,1568249671.8038328
115,-22.9109857563,1568249673.8059485
116,-22.3526412325,1568249675.8086526
117,-23.2374668843,1568249677.811414
118,-22.6600925202,1568249679.814001
119,-22.7524832377,1568249681.816113
120,-21.9939909162,1568249683.818025
121,-23.662344658,1568249685.820332
122,-23.8240485602,1568249687.8232422
123,-23.1903794957,1568249689.8264878
124,-22.7248907227,1568249691.8294485
125,-22.6588687047,1568249693.833081
126,-22.9077616464,1568249695.8362956
127,-23.065547161,1568249697.8390696
128,-22.9537633535,1568249699.8422124
129,-22.1480377305,1568249701.8456237
130,-22.4270228537,1568249703.8490903
131,-23.1307476361,1568249705.851939
132,-23.5308993566,1568249707.8550308
133,-22.8893156848,1568249709.8580244
