# iterator, reward, timestamp 
1,26.1247555415,1568257009.237218
2,23.9293972651,1568257012.342823
3,26.9701480865,1568257015.4483747
4,24.0288972855,1568257018.5544705
5,26.4553229014,1568257021.66
6,24.933218956,1568257024.7671413
7,27.5935729345,1568257027.8721063
8,25.4168113073,1568257030.9771142
9,27.3987452189,1568257034.081309
10,24.5346625646,1568257037.1868992
11,26.9868373871,1568257040.2921665
12,24.7328281403,1568257043.3972871
13,25.9889761607,1568257046.5029135
14,24.8439311981,1568257049.608557
15,27.3840030034,1568257052.7135234
16,24.9929428101,1568257055.8197346
17,27.1547238032,1568257058.9255931
18,25.9491205215,1568257062.0319142
19,26.5436172485,1568257065.1377578
20,24.6878862381,1568257068.243936
21,29.4130643209,1568257071.3493783
22,25.1009464264,1568257074.4546413
23,28.6012093226,1568257077.558973
24,24.313211441,1568257080.6647034
25,27.3725986481,1568257083.7710295
26,24.5740016301,1568257086.8765337
27,27.9616912206,1568257089.9817665
28,24.6675014496,1568257093.0888166
29,28.1536976496,1568257096.1945353
30,25.2972841263,1568257099.2994485
31,28.6226669947,1568257102.4046621
32,24.7513453166,1568257105.5099492
33,28.5220940908,1568257108.6153822
34,24.5025555293,1568257111.7209961
35,27.1871884664,1568257114.8267646
36,24.6551036835,1568257117.9335623
37,27.2528727849,1568257121.0389402
38,25.2555608749,1568257124.1440134
39,27.2086461385,1568257127.2503848
40,25.6501038869,1568257130.3556592
41,27.3777246475,1568257133.4609022
42,25.7650613785,1568257136.5666573
43,26.9837379456,1568257139.6719265
44,24.2797931035,1568257142.7779107
45,27.5061527888,1568257145.8838105
46,24.7996648153,1568257148.9895868
47,27.2993644079,1568257152.0946593
48,24.672071139,1568257155.201102
49,27.5472799937,1568257158.3059049
50,24.5658159256,1568257161.411917
51,27.7668237686,1568257164.5180144
52,24.7608423233,1568257167.622875
53,27.2685686747,1568257170.7290237
54,25.804956754,1568257173.8348827
55,27.1933078766,1568257176.9414158
56,24.2667595545,1568257180.047392
57,27.4636745453,1568257183.1523144
58,25.8853435516,1568257186.2575552
59,27.36723423,1568257189.3623023
60,24.2862701416,1568257192.4675674
61,27.2478262583,1568257195.5723567
62,24.5526631673,1568257198.6769943
63,27.4434089661,1568257201.7834306
64,24.6001879374,1568257204.8882434
65,27.5973876317,1568257207.9944768
66,25.0111818314,1568257211.0998318
67,27.4792114894,1568257214.206093
68,24.7040192286,1568257217.311124
69,27.2196133931,1568257220.4171913
70,24.7080723445,1568257223.5220537
71,27.1504720052,1568257226.627485
72,24.6020555496,1568257229.7329085
73,27.3600419362,1568257232.8378031
74,25.6385803223,1568257235.9428709
75,27.6530981064,1568257239.0485184
76,25.6068706512,1568257242.1535537
77,27.6965697606,1568257245.2583306
78,25.5535443624,1568257248.3631103
79,27.0180702209,1568257251.4693544
80,25.6430705388,1568257254.575349
81,27.6874303818,1568257257.6815965
82,25.2296129862,1568257260.787725
83,27.6770591736,1568257263.8942726
84,24.8628457387,1568257266.9997687
85,27.2125800451,1568257270.1043074
86,24.3713458379,1568257273.2099504
87,27.1422465642,1568257276.315679
88,24.4708855947,1568257279.4214034
89,27.0233949025,1568257282.5260482
90,25.7985591888,1568257285.632212
91,27.7045170466,1568257288.7371817
92,24.3593851725,1568257291.8419816
93,27.3238420486,1568257294.9473968
94,24.7652928034,1568257298.05288
95,27.3902018865,1568257301.158384
96,24.1343577703,1568257304.2631981
97,27.8837283452,1568257307.3685002
98,25.1514911652,1568257310.4739008
99,27.8280178706,1568257313.5786636
100,25.5003372828,1568257316.683821
101,27.0539522171,1568257319.7897081
102,26.0856151581,1568257322.8943276
103,27.2827545802,1568257325.998956
104,24.4037310282,1568257329.104851
105,27.3653666178,1568257332.209973
106,24.619102478,1568257335.3169587
107,27.5185902913,1568257338.4243069
108,24.9114831289,1568257341.5298026
109,27.5141000748,1568257344.635648
110,25.128642718,1568257347.7406242
111,27.0226796468,1568257350.8461268
112,23.7593650818,1568257353.952323
113,26.7833868663,1568257357.0577517
114,23.7150589625,1568257360.1630814
115,27.2040367126,1568257363.268213
116,23.2472419739,1568257366.3726435
117,26.847521464,1568257369.4779792
118,25.0500837962,1568257372.5837922
119,26.7907381058,1568257375.6892204
120,24.7503916423,1568257378.7933068
121,27.2806485494,1568257381.8997817
122,24.0519444148,1568257385.006245
123,26.6969998678,1568257388.1129346
124,23.9128271739,1568257391.218435
125,27.6526610057,1568257394.323732
126,24.8885154724,1568257397.4292133
127,27.3617506027,1568257400.5359106
128,23.90285333,1568257403.642474
129,26.874144872,1568257406.7479167
130,23.8478978475,1568257409.8533306
131,27.2311369578,1568257412.959792
132,23.8369703293,1568257416.0644734
133,27.2161165873,1568257419.1707835
134,23.5435167948,1568257422.2761905
135,27.3305972417,1568257425.3816283
136,24.6479908625,1568257428.4875205
137,26.9892613093,1568257431.5930107
138,23.822983106,1568257434.698176
139,27.4686018626,1568257437.8036575
140,24.018963178,1568257440.9100113
141,26.8326203028,1568257444.0157049
142,24.8908201853,1568257447.120953
143,27.2645552953,1568257450.226156
144,23.6164331436,1568257453.3318777
145,28.0065933863,1568257456.436524
146,23.7498680751,1568257459.5417838
147,27.5729099909,1568257462.6474135
148,23.9734252294,1568257465.7530355
149,27.1910826365,1568257468.8584182
150,24.3849754333,1568257471.9642904
151,27.1135568619,1568257475.0694098
152,23.5563913981,1568257478.176023
153,27.126789093,1568257481.2814527
154,23.7681468328,1568257484.3874252
155,27.1598895391,1568257487.4927764
156,23.6255725225,1568257490.598322
157,27.9872020086,1568257493.7043886
158,24.0428447723,1568257496.8088741
159,27.1200736364,1568257499.9149296
160,24.2519378662,1568257503.020933
161,27.4418195089,1568257506.1259158
