# iterator, reward, timestamp 
1,1763.43894005,1568256299.1880972
2,1763.72265816,1568256301.1918485
3,1767.2649622,1568256303.1953878
4,1766.29412174,1568256305.200015
5,1769.53887939,1568256307.201746
6,1769.15252209,1568256309.2025006
7,1768.41187477,1568256311.2071784
8,1768.04602146,1568256313.2117574
9,1767.12691784,1568256315.2161279
10,1768.09549332,1568256317.2196093
11,1763.71574402,1568256319.222788
12,1770.74086666,1568256321.2266388
13,1766.60382748,1568256323.228054
14,1766.70408249,1568256325.233826
15,1767.3022747,1568256327.2383118
16,1766.5592432,1568256329.2416203
17,1766.61002636,1568256331.246517
18,1769.0154314,1568256333.2494
19,1770.7067728,1568256335.253194
20,1762.74752617,1568256337.2576575
21,1764.15944099,1568256339.2587416
22,1770.15972137,1568256341.2641523
23,1768.41938496,1568256343.269875
24,1768.02301407,1568256345.2748597
25,1768.74089241,1568256347.2804542
26,1766.07143879,1568256349.282751
27,1764.21761513,1568256351.2878072
28,1765.32590389,1568256353.2907004
29,1764.72210884,1568256355.296341
30,1770.28036118,1568256357.3001096
31,1766.65627956,1568256359.3047988
32,1767.12107658,1568256361.3075666
33,1766.28887653,1568256363.311255
34,1770.78258991,1568256365.3158798
35,1762.10844517,1568256367.3196335
36,1766.43180847,1568256369.3201947
37,1764.95540142,1568256371.325025
38,1768.32175255,1568256373.3319266
39,1769.05155182,1568256375.3360653
40,1771.08943462,1568256377.3395183
41,1765.45166969,1568256379.3423283
42,1769.26898956,1568256381.346652
43,1773.41496944,1568256383.350445
44,1768.6907053,1568256385.3508008
45,1767.18091965,1568256387.357237
46,1770.84612846,1568256389.3610134
47,1769.77825165,1568256391.365849
48,1770.44081688,1568256393.369651
49,1768.40543747,1568256395.3726416
50,1767.70222187,1568256397.3778257
51,1772.01521397,1568256399.381902
52,1770.56610584,1568256401.3830657
53,1773.74947071,1568256403.3897815
54,1773.62561226,1568256405.392986
55,1768.55397224,1568256407.397045
56,1769.06585693,1568256409.4009674
57,1769.56224442,1568256411.406398
58,1767.98915863,1568256413.4086225
59,1773.38445187,1568256415.4149306
60,1773.77390862,1568256417.4161656
61,1770.95067501,1568256419.422117
62,1769.48559284,1568256421.4242487
63,1770.28894424,1568256423.4313283
64,1770.85781097,1568256425.4345171
65,1769.40011978,1568256427.4387205
66,1774.14762974,1568256429.4428718
67,1770.96033096,1568256431.444878
68,1769.38319206,1568256433.4478183
69,1774.52754974,1568256435.4503684
70,1770.44332027,1568256437.4560137
71,1772.22979069,1568256439.4592957
72,1771.73578739,1568256441.4622998
73,1772.35794067,1568256443.4654195
74,1774.93739128,1568256445.468655
75,1770.7464695,1568256447.471021
76,1766.72208309,1568256449.474696
77,1768.87726784,1568256451.4790463
78,1771.20006084,1568256453.4847462
79,1771.18170261,1568256455.4881866
80,1774.71280098,1568256457.4915764
81,1771.90387249,1568256459.4965825
82,1773.27728271,1568256461.4999511
83,1775.24769306,1568256463.5008898
84,1777.89735794,1568256465.507529
85,1775.19214153,1568256467.5103996
86,1769.43278313,1568256469.5146754
87,1763.78178596,1568256471.521198
88,1762.13002205,1568256473.5247934
89,1770.94078064,1568256475.527864
90,1766.90304279,1568256477.5328896
91,1770.24519444,1568256479.5378122
92,1769.35553551,1568256481.5408492
93,1773.49853516,1568256483.5444841
94,1770.34270763,1568256485.5482311
95,1767.93646812,1568256487.5523355
96,1766.89434052,1568256489.5549254
97,1776.91757679,1568256491.5602665
98,1777.12333202,1568256493.5632353
99,1776.6443491,1568256495.5675206
100,1777.95481682,1568256497.572263
