# iterator, reward, timestamp 
1,-157.91929170046913,1568269636.2074842
2,-1157.63521194458,1568269639.3137934
3,-1653.3243364918562,1568269643.4217668
4,-1653.071484990194,1568269645.425217
5,-1179.4076952920745,1568269648.5319822
6,-506.49702548980713,1568269651.6375227
7,-1203.473450277701,1568269655.7468302
8,-1511.1885070800781,1568269659.857033
9,-1238.3471122353844,1568269662.96415
10,-1241.9084939527004,1568269664.9673753
11,-759.614342797892,1568269669.07586
12,-800.8445300331731,1568269672.1822243
13,-703.5917043685913,1568269675.2874014
14,-1218.7193632125854,1568269677.2889254
15,-1239.300749299606,1568269680.3968332
16,-606.5680587643081,1568269684.5040064
17,-2033.786654472351,1568269690.6143804
18,-1654.6731832991916,1568269693.7210205
19,-660.3836709011313,1568269698.8328285
20,-163.6436314361964,1568269701.9408567
21,-365.57304764035706,1568269703.9433637
22,-172.6043445801128,1568269707.050451
23,-246.99010551441611,1568269709.053781
24,-232.3952931772546,1568269713.1609886
25,-83.016858828153,1568269716.2677722
26,-231.77091109873143,1568269718.2713253
27,-215.15049650379137,1568269721.378089
28,-139.1712208683404,1568269724.4848592
29,-189.34993511062441,1568269727.5919867
30,-125.1197387715614,1568269730.6994898
31,-166.88062360568702,1568269733.8072176
32,-109.25769682090628,1568269736.9148355
33,-147.28249948100864,1568269740.0223668
34,-94.70517383864389,1568269743.1302726
35,-233.19124142548262,1568269747.2383575
36,-152.65816340894528,1568269750.346074
37,-205.63706589421264,1568269753.4530013
38,-139.51527588645155,1568269756.5612617
39,-185.6842915770358,1568269759.6679375
40,-123.62835145596466,1568269762.7742023
41,-166.01046014899856,1568269765.8819854
42,-107.27204201334554,1568269768.9879127
43,-141.29047066071402,1568269772.0946972
44,-166.4539137335313,1568269776.1997504
45,-229.42393437480501,1568269780.3087685
46,-153.0733214707373,1568269783.4171498
47,-204.26313111311438,1568269786.524094
48,-136.7760267185448,1568269789.6321776
49,-285.20197154611867,1568269791.6357312
50,-183.5952249224719,1568269794.7422884
51,-121.50278273748597,1568269797.849506
52,-163.56077035251138,1568269800.9563844
53,-104.05036597635394,1568269804.0645618
54,-137.59710910565207,1568269807.1708431
55,-164.35844237869003,1568269811.280133
56,-113.09726697455307,1568269814.3856966
57,-149.8994270783169,1568269817.4930396
58,-206.66085719919616,1568269820.601116
59,-132.28578545849928,1568269823.7091584
60,-178.62028077773346,1568269826.8166902
61,-118.70877542938462,1568269829.9240263
62,-158.562645795875,1568269833.0301926
63,-102.17247091929471,1568269836.1359475
64,-130.99059766911623,1568269839.2419426
65,-162.1486569059896,1568269843.3505933
66,-114.0806647407296,1568269846.4567225
67,-146.67452881532904,1568269849.5625534
68,-201.48833798299742,1568269852.6699445
69,-130.74537728892733,1568269855.778604
70,-179.35756520803216,1568269858.8873127
71,-115.9918117910655,1568269861.9943979
72,-151.99050001266855,1568269865.102092
73,-99.46132754678025,1568269868.2098176
74,-243.2720774779588,1568269872.3176696
75,-84.29949318940422,1568269875.423256
76,-108.06213820928556,1568269878.5305583
77,-145.40913537035013,1568269881.6375513
78,-194.50692388582334,1568269884.7438257
79,-129.49902647975577,1568269887.8514512
80,-170.97494026125423,1568269890.9592116
81,-114.6330729484429,1568269894.0664296
82,-150.91055111935924,1568269897.1741862
83,-97.99861013945825,1568269900.2810733
84,-235.29474014270534,1568269904.389897
85,-84.28509095691815,1568269907.4966807
86,-213.0800104181928,1568269910.6038425
87,-141.12348644172013,1568269913.711173
88,-190.51088814309324,1568269916.8148968
89,-125.88442900033304,1568269919.921868
90,-172.2821630592891,1568269923.0286057
91,-110.68102975202865,1568269926.135563
92,-145.4455332407625,1568269929.2437298
93,-95.78762214766077,1568269932.351513
94,-229.0584884965707,1568269936.4596994
95,-155.4407914798418,1568269939.5666182
96,-205.53493856969618,1568269942.6739194
97,-140.36835903849956,1568269945.782039
98,-188.24622485638346,1568269948.8872497
99,-123.23226258001372,1568269951.993879
100,-162.6279603458488,1568269955.1014998
101,-107.52251869107602,1568269958.2077732
102,-140.3991836805921,1568269961.315622
103,-167.0119531838826,1568269965.4260104
104,-227.62957079983644,1568269969.5333102
105,-150.14131865163952,1568269972.6404839
106,-203.0292123217963,1568269975.7473557
107,-134.69418086055927,1568269978.8553689
108,-182.72768388318315,1568269981.9596756
109,-120.85150103130965,1568269985.0662374
110,-159.76998764104076,1568269988.1730633
111,-103.82989973156606,1568269991.2807362
112,-140.39942194988265,1568269994.3880548
113,-164.3199691884762,1568269998.4966905
114,-116.4181674218208,1568270001.6042302
115,-147.22170306185114,1568270004.7119188
116,-205.62540382650857,1568270007.8193629
117,-134.1683890449692,1568270010.9257376
118,-184.26310029125227,1568270014.03304
119,-117.25877191302492,1568270017.139028
120,-157.60314947644346,1568270020.246476
121,-101.71448236023684,1568270023.3539662
122,-138.13806776388813,1568270026.461431
123,-160.16815215673907,1568270030.5697856
124,-111.96513564970823,1568270033.6755924
125,-146.8479746836325,1568270036.7799883
126,-203.38687654210153,1568270039.887623
127,-132.6290110242312,1568270042.993909
128,-176.18464762386938,1568270046.1004038
129,-116.08924016123052,1568270049.2072835
130,-155.83174053362413,1568270052.3141603
131,-98.90532657273148,1568270055.420465
132,-132.97791117659395,1568270058.5275674
133,-87.55486715938939,1568270061.6344173
134,-113.66740130440151,1568270064.7425277
135,-144.91059928410715,1568270067.8501666
136,-195.31433955473554,1568270070.9569082
137,-130.12342209779897,1568270074.0638487
138,-175.54458856451495,1568270077.1718216
139,-115.5675827610266,1568270080.2778103
140,-155.34233938499167,1568270083.3847957
141,-99.30112970199293,1568270086.4916058
142,-237.31322135909923,1568270090.6002173
143,-84.4624910180563,1568270093.7064488
144,-109.14464916576479,1568270096.813638
145,-144.36614428899583,1568270099.9203355
146,-188.5863615241952,1568270103.0271325
147,-127.27202513543796,1568270106.1340642
148,-172.04512671188988,1568270109.2408152
149,-112.46293907158413,1568270112.3468328
150,-151.09796557033468,1568270115.4541984
151,-96.71245539075262,1568270118.56129
152,-234.90322697213145,1568270122.6695373
153,-75.61220747319592,1568270125.7776287
154,-213.46609168212768,1568270128.8837783
155,-143.6751011737024,1568270131.991299
156,-192.2773320646155,1568270135.0988526
157,-126.09147707101167,1568270138.2057056
158,-165.3061167255699,1568270141.3127015
159,-110.1083874563576,1568270144.420483
160,-145.28489241963214,1568270147.5282352
161,-91.30569839776719,1568270150.6352444
162,-231.7944047591712,1568270154.7440615
163,-154.64353214070124,1568270157.8520687
164,-209.0447543990549,1568270160.9584365
165,-139.05430501540727,1568270164.0657306
166,-189.41873531706815,1568270167.1717546
167,-124.00795489567332,1568270170.2789574
168,-161.19100704181275,1568270173.3863394
169,-105.6459137725421,1568270176.4928153
170,-142.76840199436543,1568270179.6004333
171,-90.06281124938376,1568270182.706366
172,-227.0166740130869,1568270186.8142173
173,-152.98288865518728,1568270189.9218643
174,-206.1075926563178,1568270193.02796
175,-137.18771767454632,1568270196.136222
176,-185.37377355115913,1568270199.2430542
177,-117.77934066873215,1568270202.3510728
178,-159.0529216760742,1568270205.4584668
179,-103.13517522913652,1568270208.5645356
180,-137.55020314434032,1568270211.671903
181,-165.35788607241471,1568270215.7792058
182,-112.9977841154394,1568270218.885879
183,-150.04410517692529,1568270221.9938786
184,-204.68556418829527,1568270225.1021044
185,-133.32086807843137,1568270228.2079291
186,-182.25634534745728,1568270231.3162034
187,-117.8580448109069,1568270234.4243958
188,-157.32485865882333,1568270237.530579
189,-97.60413096917979,1568270240.6372516
190,-137.27695058914503,1568270243.744028
191,-160.80963719375228,1568270247.8527305
192,-111.8663913812762,1568270250.9599872
193,-144.424457085367,1568270254.06597
194,-197.65798993651927,1568270257.172419
195,-130.12698649948112,1568270260.2794058
196,-175.48082462146323,1568270263.3858387
197,-115.38645281694015,1568270266.4925525
198,-155.91626258136966,1568270269.6005428
199,-99.41724519260919,1568270272.7062752
200,-128.90347488880627,1568270275.8131971
201,-157.84833503893145,1568270279.9211597
202,-111.89469963436632,1568270283.0284383
203,-148.12142923096542,1568270286.1353924
204,-191.97914894314172,1568270289.2414916
205,-126.64761798590658,1568270292.3491108
206,-173.02302140786406,1568270295.4552991
207,-110.75576709967594,1568270298.5624409
208,-151.63326855198102,1568270301.6697369
209,-100.21686802340848,1568270304.7777183
210,-131.90148176316688,1568270307.8873553
211,-83.81588020825684,1568270310.9934886
212,-105.94454575403681,1568270314.100412
213,-144.80997366788893,1568270317.207536
214,-196.05878124593227,1568270320.314056
215,-128.97964259220913,1568270323.4208784
216,-169.5771955072697,1568270326.5283492
217,-112.53261297635855,1568270329.6356785
218,-149.5375727434201,1568270332.7436326
219,-96.9402799099765,1568270335.8501124
220,-237.31668219262923,1568270339.9586895
221,-83.47709390821775,1568270343.0655057
222,-209.25042060605028,1568270346.172559
223,-139.7278470363901,1568270349.2789
224,-189.85520200056882,1568270352.3862057
225,-122.81972774275081,1568270355.4935718
226,-166.6176041158048,1568270358.6018913
227,-109.38450584044466,1568270361.7092955
228,-140.80313534561762,1568270364.8161592
229,-92.81191871462883,1568270367.9239628
230,-231.50299582103784,1568270372.0331175
231,-149.2013788523323,1568270375.1396928
232,-208.58623495320663,1568270378.247998
233,-136.60886674112825,1568270381.353468
234,-186.93121073474882,1568270384.45974
235,-119.47778224961729,1568270387.5677094
236,-162.76820308507476,1568270390.6744268
237,-104.83757689919287,1568270393.7824242
238,-141.92417508922154,1568270396.8902318
239,-89.24769732521021,1568270399.9975843
240,-224.75137208534085,1568270404.1058538
241,-148.48843065078987,1568270407.2135272
242,-201.69662893450885,1568270410.3208983
243,-134.73520167173933,1568270413.4277904
244,-181.44542589275022,1568270416.534252
245,-119.37415707790542,1568270419.6416726
246,-161.15503191912816,1568270422.7487142
247,-105.41499622471974,1568270425.855349
248,-137.0561682320831,1568270428.9623234
249,-162.54685627390498,1568270433.070246
250,-111.18750881928925,1568270436.1768618
251,-143.39928528116624,1568270439.2844613
252,-200.60180489053764,1568270442.3916545
253,-130.72390078623727,1568270445.4978275
254,-177.25839114396757,1568270448.603834
255,-115.4579275259761,1568270451.7113729
256,-157.64205275571058,1568270454.8182235
257,-101.63112534538624,1568270457.9320881
258,-135.31260283090865,1568270461.038624
259,-160.3132761071824,1568270465.146859
260,-111.49167377530891,1568270468.2531564
