# iterator, reward, timestamp 
1,27.3951689402,1568337332.7725081
2,25.6994565328,1568337335.8802445
3,27.1468559901,1568337338.989699
4,26.7383654912,1568337342.0963454
5,27.2496541341,1568337345.2035596
6,26.974995931,1568337348.3103764
7,25.2856810888,1568337351.4159155
8,27.995189031,1568337354.5236757
9,34.0001583099,1568337357.6312742
10,38.4643872579,1568337360.7384262
11,27.2872050603,1568337363.845141
12,21.063486735,1568337366.9530978
13,17.4654324849,1568337370.0607858
14,19.603729248,1568337373.1667588
15,25.1414378484,1568337376.2732089
16,24.1966644923,1568337379.3800454
17,28.4635225932,1568337382.4860504
18,23.8161881765,1568337385.5935848
19,24.994691213,1568337388.699557
20,29.0231704712,1568337391.8055487
21,27.3104508718,1568337394.9125535
22,25.7936318715,1568337398.0199525
23,26.9869963328,1568337401.1273565
24,23.0055650075,1568337404.2342896
25,24.7362454732,1568337407.3414822
26,20.7130114237,1568337410.4482691
27,23.0048100154,1568337413.55348
28,22.9298671087,1568337416.660864
29,22.8044986725,1568337419.7688658
30,21.5381383896,1568337422.875865
31,24.9158938726,1568337425.9832065
32,21.541317304,1568337429.0904672
33,21.7637221018,1568337432.1982021
34,20.2089945475,1568337435.3041909
35,23.2613484065,1568337438.4105804
36,20.7703908285,1568337441.5185368
37,22.402326266,1568337444.62428
38,22.3536888758,1568337447.7318285
39,23.1234629949,1568337450.8377562
40,22.8047768275,1568337453.9457326
41,25.1466035843,1568337457.0525827
42,21.2608973185,1568337460.1632152
43,23.3520666758,1568337463.2708573
44,22.129535675,1568337466.3768713
45,22.9065418243,1568337469.4813368
46,21.1534102758,1568337472.5899603
47,23.5172112783,1568337475.696471
48,22.5445429484,1568337478.8051863
49,23.5426425934,1568337481.9124951
50,20.423412323,1568337485.0193229
51,24.2020686467,1568337488.1269765
52,23.3212312063,1568337491.2332835
53,26.3197819392,1568337494.3392017
54,24.9530871709,1568337497.44594
55,26.3484319051,1568337500.5530126
56,23.5000054042,1568337503.661845
57,25.7736047109,1568337506.7695494
58,23.9449739456,1568337509.8759062
59,24.0663687388,1568337512.9827237
60,21.9610532125,1568337516.089451
61,26.0192553202,1568337519.197504
62,23.7791935603,1568337522.304739
63,24.5455900828,1568337525.4131184
64,25.3851016363,1568337528.520428
65,24.9072313309,1568337531.6265488
