# iterator, reward, timestamp 
1,-21.05230093,1568348134.5823243
2,-26.8227597474,1568348137.690157
3,-17.0543882862,1568348139.6932395
4,-21.9763865089,1568348141.6963072
5,-25.981933953,1568348143.6991408
6,-20.6573143756,1568348145.702095
7,-21.9263397186,1568348147.7045915
8,-24.0894722073,1568348149.706906
9,-20.3420004173,1568348151.7093363
10,-22.8320419786,1568348153.7130864
11,-24.3721011188,1568348155.7160516
12,-22.9007743441,1568348157.7181249
13,-23.9897138605,1568348159.7220428
14,-25.884098806,1568348161.722847
15,-24.5731048518,1568348163.7256403
16,-21.4283904497,1568348165.7291775
17,-25.4423287744,1568348167.7323577
18,-19.6378722014,1568348169.7329295
19,-26.7697055974,1568348171.7374775
20,-20.9627406143,1568348173.7401736
21,-25.1087171255,1568348175.74293
22,-21.3350891774,1568348177.7452133
23,-16.5048225127,1568348179.7475631
24,-21.5112950115,1568348181.750005
25,-28.2788465783,1568348183.7527757
26,-25.4428837184,1568348185.7552917
27,-24.2592561761,1568348187.7575467
28,-22.4122847376,1568348189.760946
29,-24.2235181686,1568348191.7633195
30,-24.5578928217,1568348193.766561
31,-19.26155934,1568348195.7681715
32,-23.1934997702,1568348197.771088
33,-22.5023574038,1568348199.7744997
34,-16.7749278981,1568348201.7770796
35,-17.7939228673,1568348203.7792184
36,-26.6498066378,1568348205.7821321
37,-21.1621164056,1568348207.7846208
38,-23.7837412474,1568348209.7876272
39,-25.8234048696,1568348211.7900999
40,-21.6224541473,1568348213.7933338
41,-20.4387060124,1568348215.795993
42,-24.9985124104,1568348217.7980425
43,-21.2231929963,1568348219.8009381
44,-21.1277828813,1568348221.80403
45,-21.0707043368,1568348223.8080761
46,-23.5444662125,1568348225.810254
47,-21.2610753442,1568348227.8128796
48,-26.1547795918,1568348229.8163922
49,-20.4477530676,1568348231.8197575
50,-22.4816055566,1568348233.822602
51,-22.8917709041,1568348235.8251715
52,-28.6452294968,1568348237.828066
53,-24.6495802209,1568348239.8309286
54,-25.7251718857,1568348241.834062
55,-22.8106363718,1568348243.8369555
56,-22.1243334001,1568348245.8399265
57,-19.6643618568,1568348247.8438182
58,-24.7537532313,1568348249.846364
59,-25.2569139424,1568348251.8491344
60,-21.7023098877,1568348253.8515847
61,-26.2943052358,1568348255.8542507
62,-25.2367598433,1568348257.8573306
63,-26.8448608212,1568348259.85979
64,-25.4836946665,1568348261.8626924
65,-19.0421041022,1568348263.8650525
66,-24.5960592249,1568348265.8677227
67,-23.1088454475,1568348267.870795
68,-26.6108311148,1568348269.873045
69,-25.8506968436,1568348271.8755715
70,-26.4007993196,1568348273.8786845
71,-25.0332833635,1568348275.8811972
72,-25.5640269294,1568348277.8836515
73,-24.5961487325,1568348279.8861434
74,-21.8268002934,1568348281.8893793
75,-19.8080585911,1568348283.8909178
76,-21.2460328048,1568348285.8949966
77,-20.2763523769,1568348287.8980274
78,-22.0527528271,1568348289.9013474
79,-22.9766922637,1568348291.9030116
80,-20.4584215546,1568348293.9058864
81,-22.1760692422,1568348295.9090555
82,-21.6887416064,1568348297.912096
83,-21.8470464493,1568348299.914796
84,-21.9707196557,1568348301.9169664
85,-21.1994119705,1568348303.9201806
86,-21.3695714374,1568348305.9229746
87,-22.789343456,1568348307.9260304
88,-20.9945135036,1568348309.9290392
89,-22.0908841073,1568348311.9312434
90,-21.8021814877,1568348313.9340649
91,-23.4002449726,1568348315.9362307
92,-21.7362038974,1568348317.938929
93,-21.0571567545,1568348319.9414203
94,-21.3724602066,1568348321.944101
95,-21.1003746039,1568348323.9470298
96,-15.740409203,1568348325.949056
97,-23.0299608674,1568348327.950949
98,-22.471629799,1568348329.9536977
99,-22.9974530424,1568348331.956473
100,-23.3262842695,1568348333.959192
101,-23.7769139733,1568348335.9615133
102,-22.1453091188,1568348337.964521
103,-23.0277393707,1568348339.9663632
104,-23.6944360891,1568348341.9681764
105,-24.6615469441,1568348343.970385
106,-23.3959350653,1568348345.9724913
107,-22.8335949165,1568348347.9752486
108,-22.4412951978,1568348349.9778168
109,-23.7088866584,1568348351.9801428
110,-22.7924738322,1568348353.9824488
111,-22.3898677019,1568348355.9837637
112,-23.0202148851,1568348357.9883745
113,-24.4204594269,1568348359.991499
114,-23.0460616647,1568348361.99351
115,-27.2138016971,1568348365.1000905
116,-27.6862311571,1568348368.204968
117,-22.0108158581,1568348371.3120646
118,-23.3395928468,1568348374.417885
119,-21.3574135402,1568348377.5248792
120,-23.7441473374,1568348380.6315315
121,-21.0632187595,1568348383.7382114
122,-22.7684052061,1568348386.8465006
123,-22.7044327001,1568348389.9522526
124,-26.8299356787,1568348393.0580502
125,-22.3924010955,1568348396.1648905
126,-19.9479133169,1568348399.2707675
127,-23.0780630443,1568348402.377677
128,-22.9268645898,1568348405.4840763
129,-21.2279794209,1568348408.591216
