# iterator, reward, timestamp 
1,542.994817098,1568279859.7416482
2,797.018051147,1568279861.7450135
3,162.815213203,1568279864.84792
4,582.816958427,1568279867.956071
5,692.649483681,1568279871.0631685
6,1517.4574852,1568279875.1716642
7,1516.57748222,1568279877.1745138
8,1520.22862434,1568279882.2823267
9,1513.22364807,1568279884.2845097
10,1022.36191432,1568279888.3908572
11,473.260720571,1568279892.4990778
12,736.920714378,1568279894.5012414
13,639.441053073,1568279897.6070929
14,1092.03020732,1568279901.7117074
15,2022.95303345,1568279906.8243234
16,1358.75229041,1568279914.9363995
17,1350.68217913,1568279916.9388342
18,747.027277946,1568279921.048105
19,695.367693901,1568279924.154884
20,770.70303758,1568279927.262403
21,1022.36076196,1568279929.265769
22,329.114158948,1568279934.3752017
23,1191.80607796,1568279937.4821908
24,1357.93062051,1568279944.593441
25,2021.26228809,1568279947.7008197
26,1354.3412288,1568279950.8063724
27,751.52405103,1568279954.9143078
28,439.099470774,1568279958.016918
29,702.239871025,1568279960.01784
30,616.648236911,1568279964.1270018
31,517.275452614,1568279967.2334187
32,944.798032443,1568279971.3426569
33,438.898563385,1568279973.3448453
34,516.978740692,1568279977.453506
35,126.770416896,1568279982.5625339
36,201.615452766,1568279985.6704545
37,369.956215223,1568279988.7775795
38,296.953161558,1568279990.7799325
39,237.139225006,1568279993.8871834
40,760.42175293,1568279996.9951308
41,402.493953705,1568280001.1039767
42,873.962481817,1568280003.1062772
43,450.418591499,1568280008.2153132
44,300.740440687,1568280011.321676
45,326.394279798,1568280015.4290416
46,851.988554001,1568280019.5381367
47,873.228708903,1568280022.6438925
48,534.027020137,1568280025.7504063
49,283.881147703,1568280028.9430046
50,376.63602829,1568280032.0516407
51,419.25183932,1568280035.1592135
52,325.184345245,1568280038.265381
53,323.485771815,1568280042.3731973
54,220.011512438,1568280044.3750243
55,119.904200236,1568280046.3781648
56,23.6883163452,1568280048.3807514
57,22.6119359334,1568280050.380523
58,23.2067505519,1568280052.3847075
59,22.2050746282,1568280054.3888378
60,20.3501383464,1568280056.3913703
61,23.2038100561,1568280058.3945727
62,24.4584480921,1568280060.397151
63,18.8148816427,1568280062.3996139
64,22.7517286936,1568280064.4003985
65,24.2313146591,1568280066.4051037
66,19.4892088572,1568280068.4076781
67,23.8367319107,1568280070.409671
68,23.3724514643,1568280072.4112906
69,23.5752264659,1568280074.4126678
70,23.6014525096,1568280076.4168987
71,22.6271947225,1568280078.4190874
72,24.3933200836,1568280080.4213965
73,21.9451586405,1568280082.42433
74,24.2558320363,1568280084.424479
75,19.2138353984,1568280086.429234
