# iterator, reward, timestamp 
1,-600.1309660672348,1568282045.4639032
2,-1252.2469685338724,1568282049.572694
3,-1219.8475502361655,1568282051.57599
4,-1526.7070531845093,1568282058.6869884
5,-1525.5638360977173,1568282060.690148
6,-1245.3293600857237,1568282070.8050606
7,-1243.867172850153,1568282072.8075151
8,-847.3403041582354,1568282076.9153883
9,-1445.4660195967247,1568282078.917971
10,-1175.3627013656978,1568282083.0269618
11,-197.2116231918335,1568282086.1348572
12,-1240.7998639695963,1568282090.2430735
13,-906.3522519370182,1568282094.3498874
14,-1024.7749496045406,1568282096.3524232
15,-1203.8330349381192,1568282099.459157
16,-1302.698254585266,1568282102.5654633
17,-1256.7164290980727,1568282107.6739516
18,-1299.5270965380446,1568282111.7822003
19,-1002.5364603103595,1568282116.890085
20,-1139.7158973608834,1568282120.9984663
21,-2028.0140638351443,1568282126.1073265
22,-1659.4070919151327,1568282130.2179525
23,-2031.7949056625366,1568282135.3282025
24,-2032.1903228759766,1568282137.3311453
25,-1657.615669360774,1568282141.4424195
26,-1187.7886914540143,1568282144.5494933
27,-1242.1384909477606,1568282147.656874
28,-1234.9012945554916,1568282149.6588976
29,-1182.7629620646844,1568282155.7703228
30,-1193.3805461246914,1568282157.7736962
31,-1499.45068359375,1568282162.8837857
32,-1239.6676193368023,1568282166.992046
33,-808.7469683119025,1568282171.1002526
34,-2031.9629907608032,1568282178.211424
35,-1658.7079281830106,1568282181.3175237
36,-1284.1348197998695,1568282185.4263358
37,-931.5856565795979,1568282187.429083
38,-598.610248978158,1568282191.5369549
39,-1225.2185989799164,1568282193.5384395
40,-1184.5988357925808,1568282199.6486726
41,-1661.208478593165,1568282205.760456
42,-1241.2251556347292,1568282209.869058
43,-1231.1070485623616,1568282213.9765031
44,-1092.3401966849083,1568282215.9797752
45,-1133.0161535487825,1568282221.090035
46,-1264.6454075757817,1568282223.0924656
47,-1520.2747583389282,1568282227.2007308
48,-1260.8503396109836,1568282233.3098695
49,-1282.2275758173123,1568282235.312157
50,-1235.3530913406207,1568282239.4192653
51,-1171.9547637357546,1568282242.5252364
52,-1182.6967548885352,1568282244.52835
53,-1526.4829397201538,1568282249.6387577
54,-1243.8258797632918,1568282253.7465465
55,-998.5216104845126,1568282257.8555136
56,-1183.0688073635276,1568282263.9670603
57,-1193.0066359638097,1568282265.9696238
58,-1654.6999241241795,1568282270.0787413
59,-998.7296974191353,1568282275.1868641
60,-1108.2463483032377,1568282279.2968996
61,-1299.162115083788,1568282283.4051144
62,-1022.7299723474605,1568282288.5145383
63,-1093.770576827008,1568282293.6234112
64,-1282.672097774849,1568282295.6261919
65,-1525.0797271728516,1568282305.7426214
66,-1521.5548276901245,1568282307.7460067
67,-1239.5190770356505,1568282311.8547878
68,-892.287025582938,1568282314.9625082
69,-1076.5962665014638,1568282316.9654496
70,-1115.55264240185,1568282322.0754743
71,-1164.66901126956,1568282326.184015
72,-1136.6992920478078,1568282328.1870124
73,-1219.2638048951599,1568282331.294725
74,-965.4237204865011,1568282335.4025283
75,-1269.4359033570315,1568282340.5116947
76,-1107.3686818006038,1568282345.6217432
77,-1618.8674038173708,1568282347.6251073
78,-1336.4382775676097,1568282351.7327466
79,-1280.9759042949577,1568282356.8421707
80,-1321.4340414906048,1568282359.9493673
81,-1156.78687582876,1568282364.057369
82,-1658.0621385783586,1568282366.06026
83,-1003.1751857045206,1568282371.1704607
84,-1138.6387562828097,1568282375.2784088
85,-2030.4405689239504,1568282383.39158
86,-1656.5248984194668,1568282386.5000925
87,-1298.222623135417,1568282391.610814
88,-1124.5784839710373,1568282393.6134894
89,-535.4132668214456,1568282397.7218978
90,-1162.558802864575,1568282399.7246933
91,-1200.3784781006154,1568282409.8381426
92,-1214.9664203506006,1568282411.8417206
93,-1233.6118525853929,1568282413.8432722
94,-1656.7202736345123,1568282416.9517915
95,-1653.7347370579341,1568282418.9550757
96,-1008.5563432438132,1568282424.065371
97,-1265.663771124549,1568282428.1721938
98,-1227.6261428243336,1568282432.2788968
99,-1004.1920735635368,1568282434.2823665
100,-916.5642716260887,1568282436.2857969
101,-916.6646802370449,1568282438.2886453
102,-1246.0780032956536,1568282440.2899575
103,-817.3219148454936,1568282444.3989975
104,-993.2111640485039,1568282449.507912
105,-993.499939426704,1568282454.6173167
106,-1285.9457855760152,1568282458.7259042
107,-1103.48880913112,1568282462.8355563
108,-1186.8301054018102,1568282465.9417043
109,-1248.5793325008312,1568282469.0485306
110,-1243.2746689570076,1568282473.1581073
111,-1211.0658413747733,1568282475.1606708
112,-1030.4849269661354,1568282478.2699072
113,-918.4819975806621,1568282482.3786805
114,-837.0086121344167,1568282484.3812
115,-1241.3392244277343,1568282486.3838902
116,-796.2497517106297,1568282490.49246
117,-1299.6372942663693,1568282495.6010873
118,-1144.0185770423132,1568282499.7101529
119,-1171.7249419264228,1568282502.8172023
120,-1178.4127843637064,1568282504.8200252
121,-1183.3840944654773,1568282506.8222656
122,-1194.4670008226628,1568282508.8245428
123,-1207.5700477033545,1568282510.826573
124,-1225.6529367369649,1568282512.8294902
125,-1243.9143285769733,1568282514.8319826
126,-1267.5650739823084,1568282516.8359551
127,-1291.9889042677737,1568282518.839913
128,-742.0814037322998,1568282521.9487057
129,-1259.8884900451026,1568282527.0593858
130,-1520.4843282699585,1568282531.1660547
131,-1236.0567046046829,1568282534.2734704
132,-947.7989260717545,1568282538.3853815
133,-1186.0313977280293,1568282542.4945848
134,-1014.4128911967432,1568282546.6032991
135,-1299.369336544339,1568282550.7146225
136,-1182.3724872229473,1568282555.8242965
137,-1173.7967378331227,1568282558.9301891
138,-1179.2835642674318,1568282560.9335184
139,-1182.8501505238405,1568282562.9357338
140,-1193.7874684342426,1568282564.9377494
141,-1208.4227689952509,1568282566.9399729
142,-1223.93596879347,1568282568.942593
143,-1243.6618981277504,1568282570.9464128
144,-1267.8505333570145,1568282572.9501235
145,-1292.6850502445868,1568282574.9540958
146,-1326.8959522247314,1568282579.064118
147,-1244.0838448563497,1568282584.1727562
148,-1243.911532776566,1568282586.1758113
149,-893.0607252563375,1568282589.2824638
150,-912.4863776198338,1568282593.3920727
151,-950.2814441791204,1568282597.5023177
152,-996.1187015695515,1568282600.6095178
153,-1223.9182659629064,1568282604.718409
154,-1226.006129822209,1568282607.826654
155,-1263.6707176482412,1568282611.9354308
156,-1431.0436386152728,1568282616.0454218
157,-1031.6871340042867,1568282620.151165
158,-1173.682148063612,1568282623.2566497
159,-1178.746603152531,1568282625.2591481
160,-1188.3738356701426,1568282627.262151
161,-1199.7259425221941,1568282629.2644746
162,-1212.1714867063379,1568282631.2671955
163,-1228.9177778816324,1568282633.2697477
164,-1239.3107336615503,1568282635.272762
165,-1260.361674500563,1568282637.273341
166,-1285.6944362800477,1568282639.2778535
167,-1118.7238693237305,1568282644.3863451
168,-1248.8796097847219,1568282648.4931295
169,-1518.0554389953613,1568282651.598779
170,-1244.7223081580528,1568282659.710815
171,-1092.5510127204006,1568282663.8197463
172,-1108.0522601167422,1568282666.9264746
173,-1240.1110875322888,1568282672.035592
174,-1346.303067523666,1568282675.1437583
175,-1277.277168819668,1568282677.1463726
176,-1118.6761572207963,1568282681.2552068
177,-1477.8771735485327,1568282685.3644683
178,-1351.7040310173575,1568282689.4719853
179,-1526.2429556504171,1568282693.579656
180,-1401.5342022386085,1568282697.6870842
181,-1173.567344589724,1568282702.7948773
182,-1181.8794950777467,1568282704.7980647
183,-1193.5420103694828,1568282706.8011594
184,-1207.5319788245117,1568282708.8034048
185,-1225.2063537660456,1568282710.805706
186,-1248.2116207480883,1568282712.8077235
187,-1271.5880154769402,1568282714.8104696
188,-1295.409057365824,1568282716.8130047
189,-1325.8425492310625,1568282718.8149009
190,-1355.4647201085622,1568282720.8181474
191,-1388.861312803795,1568282722.8212643
192,-1403.610038805498,1568282724.823162
193,-1521.6456651687622,1568282729.9360814
194,-1242.9544109829856,1568282733.0424426
195,-531.1430279138134,1568282737.149812
196,-1176.3759422483504,1568282741.2578225
197,-1182.966111401039,1568282743.260985
198,-1193.6938527356974,1568282745.2636344
199,-1199.7167857229595,1568282747.2667408
200,-1215.3589510943339,1568282749.269489
201,-1231.2914653753135,1568282751.2714846
202,-1253.7902362441498,1568282753.273713
