# iterator, reward, timestamp 
1,-25.1448750496,1568243698.343881
2,-24.3899822235,1568243700.3479111
3,-19.9698209763,1568243702.3510764
4,-19.5820331573,1568243704.355502
5,-20.2296972275,1568243706.3597372
6,-30.7779312134,1568243708.363903
7,-20.0766324997,1568243710.367957
8,-15.7237052917,1568243712.371486
9,-20.6884145737,1568243714.3776493
10,-22.3752260208,1568243716.3808916
11,-20.2652215958,1568243718.3821206
12,-19.6764469147,1568243720.3876803
13,-22.9406356812,1568243722.3928971
14,-22.1115350723,1568243724.3958628
15,-22.9387283325,1568243726.4000807
16,-19.0341472626,1568243728.405016
17,-20.2745199203,1568243730.408505
18,-23.0211019516,1568243732.4119499
19,-24.6633291245,1568243734.4160123
20,-18.2437896729,1568243736.4212596
21,-20.3778743744,1568243738.424398
22,-20.8964347839,1568243740.4304957
23,-21.5092897415,1568243742.433334
24,-26.087641716,1568243744.4382913
25,-19.2130804062,1568243746.4425247
26,-12.5609636307,1568243748.4478948
27,-21.6532945633,1568243750.4503446
28,-21.4225053787,1568243752.4537272
29,-21.0381746292,1568243754.4593687
30,-25.6234407425,1568243756.4609084
31,-22.2904682159,1568243758.465823
32,-23.0586528778,1568243760.4708655
33,-19.2948579788,1568243762.474776
34,-21.6310024261,1568243764.4807978
35,-18.7799930573,1568243766.4840677
36,-20.3102827072,1568243768.4889278
37,-25.8643627167,1568243770.4928844
38,-20.0265645981,1568243772.4962354
39,-20.8641290665,1568243774.4987788
40,-23.1753587723,1568243776.50508
41,-22.1025943756,1568243778.5074182
42,-20.3540325165,1568243780.5121806
43,-17.277598381,1568243782.5158806
44,-21.0665464401,1568243784.520131
45,-22.2108364105,1568243786.5228672
46,-23.4079360962,1568243788.5271442
47,-22.674202919,1568243790.5322344
48,-21.3536024094,1568243792.5353045
49,-19.9210643768,1568243794.5388784
50,-22.7142572403,1568243796.5427518
51,-20.2484130859,1568243798.5477715
52,-22.4024057388,1568243800.5485854
53,-20.5792188644,1568243802.555811
54,-22.733092308,1568243804.5581162
55,-21.9328403473,1568243806.5629334
56,-21.7288732529,1568243808.5675535
57,-19.8130607605,1568243810.5682738
58,-20.5973386765,1568243812.574096
59,-26.1272192001,1568243814.578258
60,-19.1787481308,1568243816.582327
61,-22.4860906601,1568243818.5863101
62,-18.2789564133,1568243820.5905633
63,-23.3404636383,1568243822.5961452
64,-20.184636116,1568243824.6001368
65,-24.1709947586,1568243826.6025386
66,-19.9259519577,1568243828.6066437
67,-22.0546722412,1568243830.6106508
68,-25.4590511322,1568243832.613985
69,-25.0049829483,1568243834.6177135
70,-22.4424600601,1568243836.622145
71,-21.0018157959,1568243838.6258962
72,-20.5326080322,1568243840.6290476
73,-22.8694677353,1568243842.6335516
74,-21.4550495148,1568243844.6372979
75,-21.4191675186,1568243846.643226
76,-20.3560590744,1568243848.6453178
77,-22.9865312576,1568243850.6497273
78,-21.178483963,1568243852.6518004
79,-24.2255926132,1568243854.6563685
80,-21.5207338333,1568243856.6604204
81,-15.2567625046,1568243858.6649804
82,-20.4472541809,1568243860.6673381
83,-22.2297906876,1568243862.6706755
84,-22.4897861481,1568243864.6752887
85,-24.6855020523,1568243866.679809
86,-25.1308679581,1568243868.684063
87,-21.1628675461,1568243870.6879244
88,-20.6015110016,1568243872.689123
89,-22.1253633499,1568243874.6958346
90,-23.1412649155,1568243876.6997275
91,-20.0511217117,1568243878.703942
92,-26.7249345779,1568243880.7067537
93,-18.8665390015,1568243882.7110274
94,-19.921541214,1568243884.7151275
95,-22.5023031235,1568243886.7193153
96,-25.4764556885,1568243888.722868
97,-24.737238884,1568243890.7256079
98,-21.888256073,1568243892.7294621
99,-25.3759622574,1568243894.7334347
100,-21.1871862411,1568243896.7371445
101,-22.0254659653,1568243898.7410595
102,-25.0161886215,1568243900.7464674
103,-29.2150974274,1568243902.7482255
104,-21.138548851,1568243904.7530699
105,-22.2364664078,1568243906.7573347
106,-22.1717357635,1568243908.762165
107,-27.6870727539,1568243910.764808
108,-22.0147371292,1568243912.767831
109,-23.005604744,1568243914.7722948
110,-20.9165811539,1568243916.7764351
111,-24.5424509048,1568243918.779856
112,-26.7933607101,1568243920.7837281
113,-22.8990316391,1568243922.7885897
114,-20.9975242615,1568243924.7912242
115,-20.9330320358,1568243926.7965205
116,-21.4337110519,1568243928.8009257
117,-22.3650932312,1568243930.8057995
118,-22.5609540939,1568243932.810147
119,-20.3536748886,1568243934.8111305
120,-23.4842300415,1568243936.814604
121,-23.777961731,1568243938.817629
122,-21.2881565094,1568243940.8219702
123,-21.7846632004,1568243942.8257194
124,-19.6241140366,1568243944.8309934
125,-21.5569734573,1568243946.8330328
126,-17.2097682953,1568243948.8359618
127,-20.6310749054,1568243950.8404305
128,-21.8346118927,1568243952.845092
129,-21.348118782,1568243954.8504088
130,-23.8466262817,1568243956.8525999
131,-22.4064588547,1568243958.8572226
132,-23.9372253418,1568243960.8614414
133,-18.1971788406,1568243962.8647518
134,-21.3465690613,1568243964.8676193
135,-21.2985277176,1568243966.871586
136,-22.4919319153,1568243968.8742132
137,-22.887468338,1568243970.8783104
138,-21.1771726608,1568243972.882331
139,-20.5327272415,1568243974.886215
140,-18.4260606766,1568243976.8895507
141,-19.8748111725,1568243978.8933659
142,-23.1033563614,1568243980.8975224
143,-22.6019620895,1568243982.9009426
144,-21.329164505,1568243984.9056547
145,-20.6279754639,1568243986.91135
146,-20.8444595337,1568243988.9152586
147,-21.1288928986,1568243990.9181263
148,-25.6217718124,1568243992.920721
149,-19.4123983383,1568243994.924276
150,-20.6369161606,1568243996.9267383
151,-23.3734846115,1568243998.9317741
152,-20.7821130753,1568244000.9340386
153,-24.3144035339,1568244002.9389122
154,-20.3877687454,1568244004.9432259
155,-21.3596820831,1568244006.9471262
156,-20.9115743637,1568244008.9518843
157,-21.0362672806,1568244010.9546
158,-20.6028223038,1568244012.9586833
159,-20.7605361938,1568244014.9608557
160,-18.9088582993,1568244016.9679937
161,-22.2469568253,1568244018.97134
162,-22.0878124237,1568244020.9753292
163,-24.804353714,1568244022.9801774
164,-20.4614400864,1568244024.9841998
165,-21.9171047211,1568244026.9865866
166,-24.6297121048,1568244028.99194
167,-22.2105979919,1568244030.9949336
168,-24.4351625443,1568244033.0001874
169,-21.0927724838,1568244035.0034883
170,-18.4296369553,1568244037.008575
171,-21.9150781631,1568244039.0122046
172,-21.4077234268,1568244041.0160334
173,-19.9779272079,1568244043.0225058
174,-20.4099416733,1568244045.0263753
175,-27.1025896072,1568244047.0304751
176,-19.2934274673,1568244049.0349152
177,-22.5265026093,1568244051.0372372
178,-20.4488039017,1568244053.0425134
179,-23.4096050262,1568244055.0473044
180,-24.7284173965,1568244057.0488372
181,-21.411895752,1568244059.0511098
182,-26.7745256424,1568244061.0565772
183,-19.8000669479,1568244063.0588682
184,-20.5047130585,1568244065.0617592
185,-21.3391780853,1568244067.065745
186,-21.367430687,1568244069.0699675
187,-17.7756547928,1568244071.0754535
188,-20.6346511841,1568244073.0785863
189,-22.8444337845,1568244075.083233
190,-21.312713623,1568244077.086401
191,-22.8229761124,1568244079.090544
192,-15.9828662872,1568244081.0946736
193,-23.0555534363,1568244083.0986266
194,-23.5146284103,1568244085.1038282
195,-21.7900276184,1568244087.1078095
196,-16.1769390106,1568244089.1108463
197,-20.7777023315,1568244091.1148748
198,-21.1299657822,1568244093.1184819
199,-24.30164814,1568244095.1253197
200,-19.6098089218,1568244097.1291583
201,-21.1811065674,1568244099.1328325
202,-23.220539093,1568244101.1375675
203,-21.4461088181,1568244103.140703
204,-23.698925972,1568244105.1449316
205,-25.7164239883,1568244107.1471648
206,-22.8029489517,1568244109.1497023
207,-21.1741924286,1568244111.1539302
208,-24.2488384247,1568244113.159748
209,-23.8296985626,1568244115.163255
210,-20.1159715652,1568244117.1680186
211,-21.0229158401,1568244119.170693
212,-20.6297636032,1568244121.173141
213,-27.6744365692,1568244123.176362
214,-22.1585035324,1568244125.1806006
215,-22.7435827255,1568244127.185448
216,-21.3314294815,1568244129.187665
217,-23.5604047775,1568244131.1907911
218,-22.228717804,1568244133.1951277
219,-22.6317644119,1568244135.1988509
220,-20.2796459198,1568244137.2028384
221,-20.1236009598,1568244139.204588
222,-23.6357450485,1568244141.2106383
223,-19.0318822861,1568244143.21581
224,-21.0974216461,1568244145.2190042
225,-21.9807624817,1568244147.2213306
226,-23.4651565552,1568244149.2263274
227,-23.7725973129,1568244151.2284908
228,-21.702170372,1568244153.2318501
229,-21.129488945,1568244155.2351112
230,-17.4119472504,1568244157.2371426
231,-27.9165506363,1568244159.2432334
232,-20.9594964981,1568244161.2482731
233,-21.534204483,1568244163.2512484
234,-24.7675180435,1568244165.2550864
235,-22.7601528168,1568244167.2603962
236,-22.980093956,1568244169.262454
237,-16.6282653809,1568244171.2672603
238,-22.2733020782,1568244173.2713506
239,-29.9425125122,1568244175.2772522
240,-23.2352018356,1568244177.2802498
241,-23.4311819077,1568244179.2850516
242,-21.6850042343,1568244181.2881026
243,-24.329662323,1568244183.2896698
244,-26.3569355011,1568244185.295075
245,-20.6258296967,1568244187.3005855
246,-21.6886997223,1568244189.3041883
247,-22.8732824326,1568244191.3094985
248,-20.5962657928,1568244193.3138585
249,-21.715760231,1568244195.3192496
250,-21.581530571,1568244197.322006
251,-26.8577337265,1568244199.3258739
252,-21.0617780685,1568244201.329925
253,-21.1546421051,1568244203.334792
254,-21.2650299072,1568244205.3378263
255,-20.2602148056,1568244207.3424225
256,-22.6256847382,1568244209.347059
257,-21.8719244003,1568244211.3518927
258,-20.7861661911,1568244213.3529437
259,-21.4549303055,1568244215.3581307
260,-23.8795280457,1568244217.3616354
261,-22.4198102951,1568244219.366337
262,-19.8057889938,1568244221.3711307
263,-22.4431753159,1568244223.3741176
264,-24.0646600723,1568244225.3778112
265,-22.7273702621,1568244227.3819265
266,-19.3367004395,1568244229.3854773
267,-20.3955173492,1568244231.3895712
268,-20.3944444656,1568244233.3939214
269,-24.3265628815,1568244235.399709
270,-20.3924179077,1568244237.4020991
271,-18.1980133057,1568244239.4081724
272,-20.964384079,1568244241.4101443
273,-22.3822593689,1568244243.4131503
274,-22.7900743484,1568244245.4149244
275,-20.2102661133,1568244247.4200385
276,-20.2783346176,1568244249.4271853
277,-20.294547081,1568244251.4317925
278,-20.2964544296,1568244253.4343367
279,-26.0499715805,1568244255.4379318
280,-19.934296608,1568244257.4417663
281,-19.5169448853,1568244259.444519
282,-21.3290452957,1568244261.447447
283,-19.2334651947,1568244263.4512415
284,-17.7714824677,1568244265.4547918
285,-18.8103914261,1568244267.460016
286,-22.1613645554,1568244269.4640613
287,-20.6558704376,1568244271.4674673
288,-20.7107067108,1568244273.4700518
289,-19.9090242386,1568244275.4720767
290,-24.5244503021,1568244277.4779236
291,-21.72935009,1568244279.4821491
292,-24.3139266968,1568244281.4845684
293,-21.8105316162,1568244283.488359
294,-23.1255292892,1568244285.4921784
295,-19.6104049683,1568244287.4941761
296,-20.5427408218,1568244289.4976482
297,-19.3363428116,1568244291.5027897
298,-22.0826864243,1568244293.5043497
299,-24.0395069122,1568244295.5075436
300,-22.0276117325,1568244297.5106213
301,-21.9583511353,1568244299.5140421
302,-22.3146677017,1568244301.5197277
303,-23.1996774673,1568244303.5248108
304,-21.0529565811,1568244305.5287907
305,-20.706653595,1568244307.5306492
306,-21.3633775711,1568244309.5371993
307,-21.0752487183,1568244311.540707
308,-23.8741636276,1568244313.5441616
309,-21.0946798325,1568244315.5458493
310,-16.0409212112,1568244317.5494366
311,-20.7149982452,1568244319.5510733
312,-22.512793541,1568244321.556006
313,-25.2012014389,1568244323.560125
314,-25.2681970596,1568244325.5642939
315,-22.553563118,1568244327.568605
316,-22.0813751221,1568244329.5733552
317,-22.8456258774,1568244331.5766156
318,-19.2745923996,1568244333.5787966
319,-23.0230093002,1568244335.5841742
320,-19.4771289825,1568244337.5852792
321,-22.9429006577,1568244339.5911157
322,-22.9606628418,1568244341.5959318
323,-22.9016542435,1568244343.5986605
324,-20.7135677338,1568244345.6023195
325,-21.2043523788,1568244347.60598
326,-22.9107141495,1568244349.609614
327,-22.4488973618,1568244351.6139226
328,-23.6396789551,1568244353.6188955
329,-21.7213630676,1568244355.6242495
330,-24.6840715408,1568244357.627841
331,-27.242898941,1568244359.6305125
332,-21.803021431,1568244361.634987
333,-22.6308107376,1568244363.6399248
334,-21.9805240631,1568244365.6426826
335,-24.4535207748,1568244367.6465192
336,-21.3551521301,1568244369.6476398
337,-23.7362384796,1568244371.65491
338,-22.7973461151,1568244373.6602495
339,-23.9720344543,1568244375.6641898
340,-23.0857133865,1568244377.6684325
341,-23.7075090408,1568244379.6741133
342,-22.0687389374,1568244381.6756632
343,-25.4135131836,1568244383.6792645
344,-23.6083269119,1568244385.6840754
345,-24.0234136581,1568244387.686084
346,-23.9775180817,1568244389.6914763
347,-21.378159523,1568244391.695606
348,-23.3771800995,1568244393.7004087
349,-26.0698795319,1568244395.7018654
350,-21.7440128326,1568244397.707599
351,-18.1835889816,1568244399.7120233
352,-22.959113121,1568244401.7147827
353,-23.7654447556,1568244403.7190228
354,-24.2342948914,1568244405.7254906
355,-22.5698947906,1568244407.7282126
356,-21.4474201202,1568244409.7322984
357,-26.1430740356,1568244411.7358165
358,-24.9618291855,1568244413.7391436
359,-24.0329504013,1568244415.743755
360,-21.8926668167,1568244417.747766
361,-25.8615016937,1568244419.752672
362,-23.9688158035,1568244421.756765
363,-21.4483737946,1568244423.761328
364,-25.6808996201,1568244425.7658837
365,-25.171995163,1568244427.7698593
366,-25.4408121109,1568244429.773888
367,-24.7468948364,1568244431.774862
368,-25.1984596252,1568244433.7812412
369,-21.4018821716,1568244435.7855313
370,-23.6846208572,1568244437.7879925
371,-26.8545150757,1568244439.7916832
372,-22.0565795898,1568244441.7962036
373,-23.9173173904,1568244443.8001401
374,-24.0973234177,1568244445.8043122
375,-29.6385288239,1568244447.8080277
376,-22.2229957581,1568244449.811611
377,-20.0289487839,1568244451.8147502
378,-23.7988233566,1568244453.818769
379,-28.6350250244,1568244455.822588
380,-24.2602825165,1568244457.8246374
381,-22.977232933,1568244459.83036
382,-20.427107811,1568244461.83339
383,-25.329709053,1568244463.8391874
384,-26.4532566071,1568244465.8422909
385,-22.7484703064,1568244467.8452764
386,-23.1255292892,1568244469.8498826
387,-25.6021022797,1568244471.8542335
388,-28.3789634705,1568244473.8587084
389,-25.8030891418,1568244475.8614595
390,-25.7267951965,1568244477.864613
391,-23.9650011063,1568244479.8687308
392,-23.4926939011,1568244481.8731043
393,-24.6504545212,1568244483.8777373
394,-24.0951776505,1568244485.8823671
395,-28.2292366028,1568244487.8849995
396,-31.0055017471,1568244489.890418
397,-23.3758687973,1568244491.8933234
398,-22.1132040024,1568244493.8954253
399,-23.7743854523,1568244495.900611
400,-25.9560346603,1568244497.9032094
401,-28.333902359,1568244499.9085858
402,-22.6168632507,1568244501.9115987
403,-22.8655338287,1568244503.916225
404,-25.8036851883,1568244505.9202237
405,-23.1755971909,1568244507.925357
406,-27.0085334778,1568244509.9299455
407,-24.551987648,1568244511.9339256
408,-19.7328329086,1568244513.9377782
409,-22.5390195847,1568244515.9423327
410,-25.4564285278,1568244517.945887
411,-24.8857736588,1568244519.9522567
412,-25.7657766342,1568244521.9559686
413,-21.4382410049,1568244523.9577498
414,-23.3000516891,1568244525.9637427
415,-17.6303386688,1568244527.9679096
416,-25.4315137863,1568244529.9714372
417,-26.1776447296,1568244531.975971
418,-25.8448123932,1568244533.978769
419,-23.099899292,1568244535.9834366
420,-23.5061645508,1568244537.988252
421,-24.4491100311,1568244539.9933963
422,-24.9643325806,1568244541.9976091
423,-25.8419513702,1568244544.0012202
424,-27.1385908127,1568244546.0058825
425,-23.1491327286,1568244548.0097504
426,-26.0063409805,1568244550.013167
427,-24.9217748642,1568244552.016964
428,-26.0626077652,1568244554.0216339
429,-22.9524374008,1568244556.02279
430,-23.3265161514,1568244558.029367
431,-22.3491191864,1568244560.0311544
432,-26.2362957001,1568244562.034328
433,-30.615568161,1568244564.0406349
434,-26.7938375473,1568244566.0421712
435,-26.7658233643,1568244568.0463705
436,-23.6864089966,1568244570.0520792
437,-26.3061523438,1568244572.0547378
