# iterator, reward, timestamp 
1,-45.1846122742,1568185662.2763104
2,-21.1744308472,1568185664.279325
3,-24.6732234955,1568185666.2828844
4,-22.1794843674,1568185668.2843754
5,-23.6175060272,1568185670.2908242
6,-26.0671377182,1568185672.2929196
7,-23.6951112747,1568185674.2960498
8,-22.4360227585,1568185676.3000934
9,-26.2370109558,1568185678.3040612
10,-25.7647037506,1568185680.311983
11,-24.7993469238,1568185682.3167162
12,-20.4789638519,1568185684.3195655
13,-23.8337516785,1568185686.322923
14,-26.5648365021,1568185688.3245962
15,-19.6393728256,1568185690.327624
16,-26.1240005493,1568185692.331626
17,-23.197054863,1568185694.3349178
18,-31.9604873657,1568185696.3397987
19,-22.9879617691,1568185698.3443213
20,-25.0717401505,1568185700.3503845
21,-21.314740181,1568185702.3541915
22,-26.0986089706,1568185704.360294
23,-21.2429761887,1568185706.3635325
24,-29.4321775436,1568185708.3655548
25,-25.096654892,1568185710.3680608
26,-24.1416692734,1568185712.3746912
27,-26.2608528137,1568185714.3790019
28,-29.6807289124,1568185716.3828819
29,-22.8984355927,1568185718.3870728
30,-22.4118232727,1568185720.3889134
31,-24.3184566498,1568185722.3951597
32,-28.2683372498,1568185724.399868
33,-23.6749649048,1568185726.4043028
34,-24.2427587509,1568185728.4099505
35,-26.398062706,1568185730.413991
36,-36.344408989,1568185732.4185896
37,-36.3910198212,1568185734.4230607
38,-24.4698524475,1568185736.4247632
39,-24.8457193375,1568185738.4325552
40,-22.9563713074,1568185740.4345388
41,-21.1148262024,1568185742.442025
42,-25.8420705795,1568185744.4462116
43,-29.8278331757,1568185746.4482503
44,-27.9988050461,1568185748.451064
45,-25.8775949478,1568185750.4539378
46,-21.6221809387,1568185752.4560866
47,-24.9344110489,1568185754.4595459
48,-25.8647203445,1568185756.465105
49,-23.2048034668,1568185758.4683914
50,-30.9380292892,1568185760.4707556
51,-18.6396837234,1568185762.4737194
52,-28.4920930862,1568185764.477787
53,-22.9184627533,1568185766.480338
