# iterator, reward, timestamp 
1,-136.56753301620483,1568854529.7612152
2,-125.22685527801514,1568854532.7646203
3,-134.1683864593506,1568854540.77409
4,-132.285475730896,1568854543.7780857
5,-131.26122951507568,1568854546.7822764
6,-131.44493103027344,1568854549.785753
7,-126.73866748809814,1568854554.7918751
8,-130.5912733078003,1568854558.79733
9,-133.3538293838501,1568854561.8003492
10,-129.67026233673096,1568854568.8093517
11,-127.90167331695557,1568854572.8141272
12,-131.57355785369873,1568854577.8197985
13,-129.9419403076172,1568854581.823924
14,-129.10151481628418,1568854584.826533
15,-133.7606906890869,1568854588.8311677
16,-128.64172458648682,1568854593.836493
17,-135.70940494537354,1568854598.8420095
18,-135.6818675994873,1568854601.8446193
19,-132.35104084014893,1568854606.8502731
20,-135.1485252380371,1568854611.8568559
21,-136.0485553741455,1568854614.8606331
22,-135.89155673980713,1568854618.8648438
23,-133.5291862487793,1568854621.8683248
24,-133.06164741516113,1568854626.8735774
25,-136.33477687835693,1568854633.8810694
26,-138.73136043548584,1568854639.888397
27,-139.9308443069458,1568854642.8920014
28,-138.86034488677979,1568854645.8948665
29,-138.97252082824707,1568854649.899191
30,-140.61975479125977,1568854652.9017856
31,-139.92726802825928,1568854658.908837
32,-138.03017139434814,1568854661.912012
33,-139.01567459106445,1568854665.9159386
34,-138.74924182891846,1568854672.9238658
35,-140.3355598449707,1568854677.9283772
36,-140.27810096740723,1568854680.9316783
37,-142.97330379486084,1568854683.9349387
38,-141.92521572113037,1568854690.9414206
39,-143.39518547058105,1568854693.9443054
40,-143.57829093933105,1568854697.9489992
41,-145.4089879989624,1568854703.9545827
42,-145.61140537261963,1568854707.9584837
43,-145.87020874023438,1568854710.961566
44,-142.1651840209961,1568854716.970017
45,-145.84672451019287,1568854721.9754083
46,-142.2213315963745,1568854725.9799995
47,-141.1278247833252,1568854729.9842567
48,-145.5608606338501,1568854735.9907317
49,-145.20251750946045,1568854739.9952488
50,-148.6039161682129,1568854745.000858
51,-147.15516567230225,1568854750.0063992
52,-148.72777462005615,1568854753.0096397
53,-146.77631855010986,1568854757.0134242
54,-146.25227451324463,1568854760.0164275
55,-144.5094347000122,1568854764.0214145
56,-148.6719846725464,1568854767.0237274
57,-150.4286527633667,1568854771.028003
58,-151.61049365997312,1568854775.032501
59,-149.02186393737793,1568854784.0427535
60,-148.00238609313965,1568854787.0463762
61,-156.1709642410278,1568854790.0494492
62,-147.4316120147705,1568854794.0536854
63,-149.8098373413086,1568854811.073035
64,-155.16221523284912,1568854815.0777862
65,-155.49182891845703,1568854823.0858197
66,-155.48157691955566,1568854831.0943005
67,-158.0960750579834,1568854836.0998764
68,-156.21578693389893,1568854841.1053247
69,-159.72840785980225,1568854844.1088107
70,-159.9801778793335,1568854847.1127684
71,-155.75039386749268,1568854850.1169727
72,-158.93101692199707,1568854855.1229572
73,-147.3318338394165,1568854858.1250935
74,-155.4710865020752,1568854861.1294885
75,-163.25950622558594,1568854865.1342177
76,-161.59772872924805,1568854868.1388173
77,-161.9809865951538,1568854871.1431363
78,-161.1415147781372,1568854877.151682
79,-161.92114353179932,1568854880.1538901
80,-165.07768630981445,1568854885.1595993
81,-163.33377361297607,1568854888.1619496
82,-163.529634475708,1568854891.1658578
83,-162.73510456085205,1568854894.1697438
84,-162.83917427062988,1568854900.18123
85,-162.75155544281006,1568854906.193207
86,-165.7942533493042,1568854909.1991963
87,-164.1857624053955,1568854912.205506
88,-164.03114795684814,1568854917.2171857
89,-162.81044483184814,1568854920.2226455
90,-167.83607006072998,1568854926.2358403
91,-165.80307483673096,1568854929.2417896
92,-166.07582569122314,1568854934.2520568
93,-166.25666618347168,1568854939.264501
94,-168.44534873962402,1568854944.2729766
95,-166.73779487609863,1568854949.283058
96,-176.24008655548096,1568854956.2954187
97,-169.62409019470215,1568854960.3023536
98,-172.56391048431396,1568854967.3172987
99,-168.6481237411499,1568854971.3242457
100,-170.27413845062256,1568854974.331494
101,-172.9036569595337,1568854980.344427
102,-170.13657093048096,1568854983.353
103,-170.84479331970215,1568854991.3679843
104,-175.2690076828003,1568854994.3723674
105,-176.52153968811035,1568854999.3816018
106,-176.91075801849365,1568855002.3855667
107,-177.22952365875244,1568855005.3914962
108,-175.1474142074585,1568855009.3993914
109,-176.36680603027344,1568855012.4052966
110,-176.4516830444336,1568855016.413555
111,-174.8112440109253,1568855019.4192894
112,-173.31337928771973,1568855023.4293923
113,-178.06315422058105,1568855029.4412909
114,-169.32761669158936,1568855032.4585035
115,-176.69320106506348,1568855037.4666717
116,-178.00498008728027,1568855040.471449
117,-183.44736099243164,1568855043.4742143
118,-181.9295883178711,1568855049.4877725
119,-181.56075477600098,1568855052.4932241
120,-181.2201738357544,1568855062.5063112
121,-184.13174152374268,1568855067.5128505
122,-186.31207942962646,1568855072.522387
123,-185.27424335479736,1568855076.5288305
124,-186.6159439086914,1568855081.537184
125,-193.06564331054688,1568855084.544379
126,-185.96410751342773,1568855087.5492792
127,-181.9019317626953,1568855091.5587282
128,-189.5986795425415,1568855097.570061
129,-184.38410758972168,1568855102.57583
130,-187.2798204421997,1568855106.5859573
131,-186.68389320373535,1568855109.5921354
132,-187.78228759765625,1568855112.5966365
133,-190.543532371521,1568855117.6070461
134,-189.0639066696167,1568855120.6118143
135,-190.16218185424805,1568855123.6181493
136,-189.32950496673584,1568855126.627969
137,-188.70627880096436,1568855130.6314707
138,-190.98544120788574,1568855135.6416936
139,-188.58540058135986,1568855142.6559372
140,-180.02188205718994,1568855145.6613772
141,-189.123272895813,1568855150.6700623
142,-192.3590898513794,1568855155.67996
143,-192.74818897247314,1568855160.6871662
144,-193.7248706817627,1568855166.6928084
145,-191.09857082366943,1568855170.696829
146,-196.0388422012329,1568855177.7040617
147,-195.0448751449585,1568855180.7070246
148,-190.6501054763794,1568855184.7124324
149,-191.56086444854736,1568855189.7170982
150,-195.40417194366455,1568855194.7221732
151,-196.76637649536133,1568855197.725756
152,-196.78592681884766,1568855200.7290173
153,-195.4660415649414,1568855203.7320154
154,-197.23176956176758,1568855206.7342865
155,-197.3581314086914,1568855210.738071
156,-195.21963596343994,1568855214.7427995
157,-198.84240627288818,1568855219.749916
158,-198.87685775756836,1568855224.7563586
159,-194.63729858398438,1568855229.7628558
160,-198.860764503479,1568855234.769246
161,-197.44110107421875,1568855238.7729845
162,-200.5746364593506,1568855246.7815204
163,-200.15430450439453,1568855249.7854278
164,-201.40516757965088,1568855255.792166
165,-201.61819458007812,1568855259.7962058
166,-201.8716335296631,1568855270.80756
167,-202.26597785949707,1568855274.8116217
168,-203.0264139175415,1568855278.8152292
169,-203.56082916259766,1568855281.8185573
170,-205.01351356506348,1568855284.821834
171,-201.4843225479126,1568855290.828375
172,-203.6128044128418,1568855293.8315282
173,-203.08327674865723,1568855296.8346815
174,-202.81219482421875,1568855301.8394027
175,-205.5898904800415,1568855304.8423297
176,-200.96492767333984,1568855307.8457258
177,-206.5122127532959,1568855313.8532093
178,-204.42557334899902,1568855316.856827
179,-203.23824882507324,1568855319.8637729
180,-205.65426349639893,1568855325.8693454
181,-209.99228954315186,1568855328.8729858
182,-208.96756649017334,1568855331.8769748
183,-208.07623863220215,1568855338.8834164
184,-209.33067798614502,1568855341.88675
185,-209.45465564727783,1568855344.8894532
186,-206.04252815246582,1568855351.8984475
187,-208.3873748779297,1568855354.9012892
188,-210.7754945755005,1568855358.906143
189,-211.1290693283081,1568855362.9101975
190,-210.889458656311,1568855365.9139636
191,-210.49022674560547,1568855368.9173717
192,-213.18280696868894,1568855371.9207325
193,-212.921142578125,1568855375.9263134
194,-213.13834190368652,1568855382.9322412
195,-211.93075180053714,1568855385.9346461
196,-211.60900592803955,1568855390.9403923
197,-216.9647216796875,1568855393.9434934
198,-213.51683139801025,1568855396.946441
199,-212.33952045440674,1568855403.9536061
200,-215.2996063232422,1568855406.9578729
201,-219.1704511642456,1568855412.964077
202,-214.37668800354004,1568855417.9699306
203,-215.6287431716919,1568855421.9738579
