# iterator, reward, timestamp 
1,-68.7279065872317,1568944193.526862
2,-107.12868988145556,1568944196.6313517
3,-107.9970681183989,1568944199.6370552
4,-105.4762634701026,1568944204.6428158
5,-132.43067264556885,1568944208.7507336
6,-108.22608455872628,1568944211.8559592
7,-109.21424579377434,1568944214.8593428
8,-87.48202107562915,1568944218.9677758
9,-85.42196245179282,1568944221.9727294
10,-89.26085874864982,1568944225.9769242
11,-86.68595045899902,1568944228.978958
12,-88.64983168498323,1568944231.9839633
13,-86.14136743640707,1568944235.9895494
14,-87.44865300108292,1568944238.9955275
15,-87.24376644775263,1568944244.0044942
16,-86.07034279612813,1568944247.0090892
17,-87.19675844211397,1568944250.0142775
18,-84.3766294352738,1568944253.0178983
19,-87.85096738107471,1568944258.0249927
20,-89.16411038252299,1568944261.0295463
21,-86.90176239601908,1568944265.0345926
22,-86.9463969763191,1568944268.0381594
23,-89.27694614715212,1568944271.043119
24,-89.05935214737373,1568944274.0479643
25,-87.83531612301243,1568944277.0529947
26,-91.37052183376784,1568944281.0580122
27,-88.19346031489354,1568944285.0646985
28,-89.59480282999965,1568944289.0690978
29,-89.46802146621575,1568944292.0751362
30,-86.87612089693751,1568944296.0802622
31,-90.01909491834641,1568944299.0828986
32,-89.31550476782346,1568944302.0855303
33,-88.07077164646525,1568944305.093014
34,-87.75140419647599,1568944310.0981388
35,-89.99365335050372,1568944313.103908
36,-88.74082077767511,1568944318.111239
37,-88.65150796146915,1568944322.1160746
38,-92.37220752179005,1568944326.1197636
39,-89.4896546257069,1568944330.1238098
40,-88.92634961373912,1568944333.1268253
41,-91.12364017800853,1568944336.13085
42,-92.25942409351009,1568944341.136158
43,-91.23824895410324,1568944345.139905
44,-92.44764153206022,1568944348.144579
45,-88.63016383689785,1568944351.1512966
46,-92.36872560299602,1568944354.1539772
47,-93.08532342169002,1568944359.1608424
48,-91.28947004158911,1568944362.1666214
49,-92.23259266870379,1568944365.170356
50,-90.82637113897106,1568944370.1804252
51,-90.2332074607398,1568944373.1845741
52,-93.11237406133613,1568944376.188434
53,-90.63086873555439,1568944379.1916385
54,-105.3445866919565,1568944384.3008845
55,-132.4070692062378,1568944387.4065804
56,-137.0234489440918,1568944392.411519
57,-105.88525199848958,1568944395.5181057
58,-88.94119066292022,1568944398.6240559
59,-105.37883248260427,1568944402.7319226
60,-86.74616172994875,1568944405.8376977
61,-84.46923278943775,1568944408.8408463
62,-84.90267063909717,1568944411.8449593
63,-80.42261884150565,1568944414.8488607
64,-84.49885869975118,1568944418.85568
65,-86.44383243394734,1568944421.8593235
66,-85.0365995164776,1568944424.8655112
67,-87.55161858524063,1568944427.8711412
68,-85.16752846949605,1568944430.8765597
69,-83.29723757166153,1568944434.8870246
70,-82.92738196594216,1568944437.8938954
71,-84.15522564556662,1568944442.9012687
72,-87.66350651870417,1568944445.9074423
73,-85.39310109860338,1568944449.9158754
74,-84.90404842196034,1568944453.9264069
75,-85.25456393300458,1568944456.9284678
76,-83.08331119157415,1568944461.9378178
77,-84.41173993131913,1568944464.9446938
78,-83.83129619083992,1568944467.9514906
79,-86.9678254706206,1568944470.956889
80,-87.74094108175565,1568944475.966631
81,-88.36972882507303,1568944478.972253
82,-88.0136338049523,1568944483.9837556
83,-86.19208704357536,1568944486.9893675
84,-84.7416586468908,1568944492.0000706
85,-87.17678402469343,1568944495.008328
86,-88.77767343465219,1568944498.013421
87,-88.93995168444393,1568944502.0202575
88,-90.25702458124782,1568944505.0260644
89,-86.61203555838249,1568944509.0340028
90,-89.26465083375349,1568944512.040194
91,-88.10445817003011,1568944515.0455816
92,-86.51523766133806,1568944519.0533447
93,-90.08702369611834,1568944523.060519
94,-86.39016209509863,1568944526.0657263
95,-89.55381432645403,1568944529.0713758
96,-86.65261209603449,1568944533.0796475
97,-91.16857741385411,1568944536.0848224
98,-90.33963128525282,1568944539.0925825
99,-87.5948013745384,1568944543.1012716
100,-91.49035292902,1568944546.106422
101,-88.90476172650253,1568944550.114486
102,-90.98988371918868,1568944553.1183505
103,-88.47911829802939,1568944557.1273065
104,-90.95993863562973,1568944560.1335373
105,-105.42403510126104,1568944564.2411578
106,-83.71280118104998,1568944567.3461552
107,-106.61988430767849,1568944571.451331
108,-83.39291254970145,1568944575.5569258
109,-86.72646952846226,1568944578.5598602
110,-82.13509319876405,1568944581.5644348
111,-84.0300674298735,1568944585.569516
112,-83.3769126787717,1568944588.572356
113,-82.61061551368593,1568944591.5750554
114,-80.43292471476516,1568944594.5783138
115,-86.15803238260607,1568944597.58054
116,-84.91308384670765,1568944601.5844991
117,-86.37226698613048,1568944604.588312
118,-85.96835281794765,1568944608.5932033
119,-83.60460052060105,1568944611.5960846
120,-86.32216156508265,1568944615.6013467
121,-86.25431005672459,1568944619.605832
122,-84.64687169632083,1568944624.6118739
123,-85.53050792564771,1568944627.6154275
124,-85.96564211734668,1568944636.6242862
125,-85.84677313365867,1568944641.6290774
126,-87.4967615411638,1568944644.632055
127,-85.93654574067908,1568944648.637922
128,-89.6564206257166,1568944655.6468756
129,-87.36704058690803,1568944658.651086
130,-87.95509393544312,1568944662.655614
131,-87.20567641781702,1568944666.6598136
132,-85.73600597756864,1568944671.6650312
133,-91.0801372149649,1568944680.6737952
134,-90.44469769062292,1568944685.6789877
135,-89.27448921544766,1568944689.6841066
136,-90.12372222793577,1568944692.6869445
137,-89.54994032853635,1568944695.6904013
138,-91.03287733356652,1568944699.695264
139,-86.88596878297078,1568944703.6992092
140,-89.7822285806989,1568944706.702484
141,-88.93791705785155,1568944710.706637
142,-87.62499164582093,1568944715.7120292
143,-91.497319520935,1568944721.718146
144,-92.46813616616174,1568944724.7217348
145,-90.31376521480696,1568944727.7251074
146,-92.90636480892749,1568944730.7295
147,-92.34649346350558,1568944733.7323787
148,-93.26370785339412,1568944737.7364507
149,-94.7743033562638,1568944740.7396324
150,-93.07359360325677,1568944743.7427216
151,-94.37289792261913,1568944748.7484396
152,-92.89373673564565,1568944751.7517164
153,-107.10922471795269,1568944754.8564804
154,-83.1525637115776,1568944757.9611125
155,-86.53169762540246,1568944760.964406
156,-84.821235849088,1568944763.9691045
157,-82.93896101520768,1568944766.9736972
158,-84.56463514799127,1568944771.9792368
159,-69.65673485633505,1568944775.9858775
160,-84.34106847799117,1568944778.9895813
161,-87.95384978499737,1568944783.9949908
162,-84.5176010946242,1568944786.9992154
163,-84.3768347613055,1568944793.006725
164,-88.16024470847306,1568944796.0106573
165,-84.74768864686014,1568944799.014209
166,-85.97262365989303,1568944802.017734
167,-85.79618905844187,1568944805.0200715
168,-84.68078975681246,1568944809.0248106
169,-85.54451078458351,1568944816.0324132
170,-91.62567838320138,1568944819.036517
171,-87.88959497739032,1568944822.1397536
172,-86.88452923590987,1568944825.1428497
173,-88.02093310838632,1568944828.1461344
174,-106.45925998687744,1568944834.2555668
175,-83.3033210554156,1568944839.3646622
176,-110.0687024487518,1568944846.4755297
177,-68.43835260829819,1568944849.5835059
178,-103.15370559692383,1568944855.6930041
179,-99.3891954421997,1568944859.6984239
180,-39.181840597207426,1568944862.8037658
181,-24.961997890772967,1568944865.8084593
182,-105.28741583114852,1568944871.9184422
183,-67.17245165344323,1568944875.024052
184,-50.4463346378693,1568944878.027689
185,-107.69323242717435,1568944882.1350539
186,-68.49432805608473,1568944885.2421002
187,-50.87999499054979,1568944888.2472317
188,-35.44573087716222,1568944891.252271
189,-107.9595874953531,1568944896.3592849
190,-84.36990827278008,1568944899.4644558
191,-110.71745303520237,1568944905.574791
192,-132.96020030975342,1568944909.682711
193,-105.8401516834509,1568944913.7920947
194,-129.79066371917725,1568944917.9004307
195,-106.6161451613638,1568944921.0052648
196,-130.64801692962646,1568944925.113217
197,-106.69650595995282,1568944930.2213695
198,-108.22795940203982,1568944933.2261143
199,-84.42997384949376,1568944936.3334155
200,-111.29974159870197,1568944939.4379222
201,-84.06808934273504,1568944944.5456343
202,-107.87454312376808,1568944947.6524036
203,-83.39136608460413,1568944950.758754
204,-103.98340225219727,1568944955.8697743
205,-83.18870805063192,1568944959.9778585
206,-107.73287224809167,1568944964.082758
207,-80.19494451714208,1568944967.1872814
208,-85.07442861945975,1568944970.190718
209,-87.68308635303441,1568944973.1936102
210,-106.52998007570253,1568944978.3038852
211,-87.05859166520379,1568944981.410914
212,-106.75537586212158,1568944984.5172982
213,-30.854121692100446,1568944987.6219618
214,-30.157284178710523,1568944990.625957
215,-29.070931713226567,1568944993.6304274
216,-105.94201087951662,1568944996.7355876
217,-37.50648451536808,1568944999.8424737
218,-29.03594485356235,1568945002.8464274
219,-27.914111759549783,1568945005.851782
220,-28.787707974081957,1568945008.8556101
221,-30.86438083017291,1568945011.8599243
222,-26.995448325499723,1568945014.863743
223,-26.977389903946925,1568945017.870933
224,-29.45566234393636,1568945020.8757372
225,-29.28039619630383,1568945023.8787913
226,-29.851860785337315,1568945026.8835266
227,-29.664149733452795,1568945029.8876457
228,-27.922008103687546,1568945032.891874
229,-27.834983279122493,1568945035.895854
230,-28.467482492109,1568945038.9011936
231,-29.278007875340027,1568945041.9060383
232,-29.727181308096476,1568945044.9097176
233,-28.337954861713357,1568945047.9144788
234,-27.160518159551696,1568945050.9175334
235,-27.37456035888737,1568945053.9214666
236,-28.774428206589764,1568945056.925792
237,-24.74723151295887,1568945059.9318976
238,-26.852128317852486,1568945062.9352803
239,-29.38588022751537,1568945065.9409287
240,-31.500071548349506,1568945068.9464116
241,-28.710044459069426,1568945071.9502773
242,-27.497890168505798,1568945074.95599
243,-28.306862684475433,1568945077.9595466
244,-31.148295036954334,1568945080.9640853
245,-27.425510661905278,1568945083.9678326
246,-25.966996601481632,1568945086.9715114
247,-30.333027040518196,1568945089.9745767
248,-26.730871529007814,1568945092.978416
249,-29.20663852142208,1568945095.9828124
250,-27.322605276392963,1568945098.9864454
251,-27.2482350851272,1568945101.9908519
252,-27.827937698676823,1568945104.9955492
253,-26.591008672309993,1568945107.999456
254,-29.031751094855753,1568945111.0030668
255,-25.88570692087758,1568945114.0083692
256,-27.93717436968962,1568945117.0112207
257,-27.657770987209858,1568945120.0159543
258,-29.133544373447492,1568945123.0203214
259,-24.523178686307606,1568945126.023885
260,-28.82565323987849,1568945129.0283918
261,-28.76064935828642,1568945132.0320606
262,-28.217952236854234,1568945135.0358918
263,-23.027208877983707,1568945138.0398886
264,-24.99934183226287,1568945141.0455213
265,-24.671105956334944,1568945144.0493782
266,-27.44427744623711,1568945147.0532186
267,-28.501400784297005,1568945150.0579798
268,-29.521597130440473,1568945153.0621352
269,-25.013660443758237,1568945156.0662105
270,-24.111908076631135,1568945159.070445
271,-27.1412216650703,1568945162.0745633
272,-24.645892523865797,1568945165.079224
273,-25.129734561555093,1568945168.082613
274,-28.19339594548628,1568945171.0878263
275,-25.461271705667308,1568945174.093482
276,-28.508580746560956,1568945177.0974987
277,-25.719908856962505,1568945180.1022606
278,-24.968077293424795,1568945183.1068854
279,-26.8188427633512,1568945186.1112351
280,-26.513213398741417,1568945189.1145468
281,-27.98110464072526,1568945192.1189094
282,-27.87906817839618,1568945195.122082
283,-27.559007980965543,1568945198.1269264
284,-26.957553416794916,1568945201.1312287
285,-20.322551739930738,1568945204.1365962
286,-25.21773335465797,1568945207.1406174
287,-25.43064614151241,1568945210.1445224
288,-27.088930935478693,1568945213.1491573
289,-27.033447656474756,1568945216.1530104
290,-29.76977926173838,1568945219.1570058
291,-27.294604241991873,1568945222.1612065
292,-27.246114335934728,1568945225.1646008
293,-28.050865977750316,1568945228.168345
294,-27.532804674094116,1568945231.1731668
295,-27.487110205571124,1568945234.1780424
296,-30.150629092128575,1568945237.1817796
297,-27.959556699227484,1568945240.1860065
298,-28.600181617567962,1568945243.1898396
299,-29.045263458993656,1568945246.1949775
300,-27.288512659418735,1568945249.2004
301,-26.764666181286387,1568945252.2045367
302,-29.79416466547738,1568945255.2084122
303,-28.672367263186302,1568945258.2122355
304,-29.307308613748972,1568945261.2154894
305,-30.572104402267676,1568945264.2194998
306,-23.71215897982644,1568945267.224129
307,-28.391314524238616,1568945270.2278786
308,-29.5370846847846,1568945273.232355
309,-28.540333130891273,1568945276.2357202
310,-27.665321358776126,1568945279.2389586
311,-28.6826445793575,1568945282.2430294
312,-28.942605665559867,1568945285.2469513
313,-29.17837066826307,1568945288.251714
314,-28.5158396397026,1568945291.2551873
315,-28.35034948954815,1568945294.2601845
316,-27.42521060721607,1568945297.2633383
317,-26.728570797223963,1568945300.2666342
318,-25.83918825952733,1568945303.269586
