# iterator, reward, timestamp 
1,-1060.59333285,1568332014.1265156
2,-1628.95693469,1568332017.231114
3,-1252.93589215,1568332021.3375201
4,-1091.06336428,1568332025.4440281
5,-1090.87742046,1568332027.446587
6,-2027.14002132,1568332030.5525289
7,-1655.13764004,1568332033.65799
8,-1169.91661377,1568332038.766171
9,-667.346596718,1568332042.8743217
10,-1200.988814,1568332047.9818237
11,-896.263683715,1568332052.0881069
12,-2028.82277966,1568332060.1986742
13,-1654.11280783,1568332065.306501
14,-1197.78037935,1568332068.4128075
15,-1521.77453041,1568332072.5202806
16,-1238.5467438,1568332075.6264322
17,-1239.19581708,1568332077.6299157
18,-976.282348951,1568332081.7381198
19,-1100.23486614,1568332085.8460336
20,-1656.01075708,1568332088.9521837
21,-761.501921772,1568332094.0596275
22,-607.97064155,1568332098.1663654
23,-703.258624788,1568332101.2710814
24,-288.511058484,1568332104.375121
25,-798.053550516,1568332106.3788526
26,-785.144428054,1568332111.4847126
27,-785.155503719,1568332113.4859848
28,-1520.06685734,1568332117.5932434
29,-1241.19344907,1568332124.705389
30,-622.027057282,1568332128.8128872
31,-1076.04972743,1568332130.81483
32,-1182.06648461,1568332133.9196851
33,-755.776847139,1568332135.9212182
34,-563.89848008,1568332139.027239
35,-751.683164514,1568332142.1329377
36,-1162.58469673,1568332144.1358025
37,-1178.32005024,1568332148.2413805
38,-1177.09350586,1568332150.2446523
39,-1240.89251553,1568332155.3538368
40,-940.927355539,1568332158.4588811
41,-856.411770433,1568332160.4615493
42,-793.414654943,1568332163.5667148
43,-320.310144126,1568332166.6715891
44,-929.978278672,1568332169.7764573
45,-1642.31046227,1568332172.88136
46,-1165.85054458,1568332177.989662
47,-1146.49432539,1568332179.9906983
48,-1602.16764295,1568332183.0970335
49,-762.440370281,1568332188.2048428
50,-648.312174796,1568332191.3109014
51,-674.378704808,1568332193.3136926
52,-878.186130789,1568332195.315104
53,-966.36502959,1568332198.4190845
54,-834.685232433,1568332201.5236878
55,-1408.76119556,1568332203.52669
56,-791.477812997,1568332208.633521
57,-779.581779957,1568332210.6367075
58,-950.529048157,1568332212.638949
59,-978.741406105,1568332216.7450857
60,-832.106015763,1568332219.8495317
61,-553.439268627,1568332223.9557726
62,-755.807684053,1568332229.063922
63,-541.72753912,1568332232.1702387
