# iterator, reward, timestamp 
1,-106.672312197,1568535778.963476
2,-105.984394305,1568535780.9657028
3,-82.5996881039,1568535784.0728805
4,-82.4568731071,1568535786.074845
5,-82.801963574,1568535788.0784621
6,-105.492157172,1568535791.184162
7,-108.201175291,1568535793.1866944
8,-105.923382856,1568535795.1892219
9,-51.5531239634,1568535798.2957044
10,-109.497998156,1568535801.4030302
11,-82.7981787801,1568535804.5117972
12,-102.766752243,1568535807.620814
13,-83.2921436864,1568535810.7255683
14,-100.644946098,1568535813.8333678
15,-28.3240527556,1568535816.9415112
16,-106.162401658,1568535820.0488722
17,-130.223274231,1568535823.1538045
18,-102.768748009,1568535826.2609563
19,-84.9759330309,1568535829.3677914
20,-110.615314517,1568535832.4745023
21,-108.976364558,1568535834.4774756
22,-135.231733322,1568535838.5860145
23,-106.771284898,1568535843.6936696
24,-87.8721243992,1568535846.801345
25,-101.32753849,1568535849.9089167
26,-24.9042153431,1568535853.015248
27,-108.319021183,1568535858.1254702
28,-85.2780496011,1568535861.2321005
29,-107.292098819,1568535864.3394794
30,-87.4711664937,1568535867.4451892
31,-104.378819466,1568535872.5526383
32,-26.065341632,1568535875.660054
33,-107.822943586,1568535879.7677183
34,-133.290290833,1568535882.8741887
35,-24.1303135985,1568535885.9805272
36,-31.2285646049,1568535889.0869505
37,-102.646231651,1568535892.1952584
38,-82.1852878891,1568535896.3021185
39,-106.732431241,1568535899.4101963
40,-42.8362973322,1568535902.5155401
41,-24.6225200512,1568535904.5163782
42,-24.22676316,1568535906.5208771
43,-26.3884845159,1568535908.5243802
44,-26.1901869318,1568535910.5271244
45,-25.7034450345,1568535912.5305054
46,-23.4733428476,1568535914.532855
47,-26.9273759071,1568535916.5360425
48,-22.2487802291,1568535918.539562
49,-25.9359317018,1568535920.542986
50,-21.6491545969,1568535922.5463192
51,-24.1632439273,1568535924.5487854
52,-25.1173054209,1568535926.55205
53,-20.2843403959,1568535928.5554552
54,-24.0347962975,1568535930.5572975
55,-22.5452194989,1568535932.5600314
56,-25.326352244,1568535934.5615604
57,-26.7044837834,1568535936.5654857
58,-25.1746842217,1568535938.568202
59,-22.6562350773,1568535940.5702279
60,-23.3218133833,1568535942.572556
61,-25.5663440506,1568535944.575466
62,-25.3014231348,1568535946.5783772
63,-22.1689822133,1568535948.5811934
64,-24.0622792741,1568535950.583599
65,-22.7573281463,1568535952.5860062
66,-23.0437992113,1568535954.5895855
67,-27.8274589277,1568535956.5920308
68,-27.5632625686,1568535958.5948384
69,-29.0697624383,1568535960.5983071
70,-28.00466356,1568535962.6007147
71,-28.1340453592,1568535964.6011744
72,-27.1514840864,1568535966.6025858
73,-108.731985092,1568535969.7109983
74,-107.415914536,1568535971.714086
75,-86.7064625329,1568535974.8210409
76,-85.6650741143,1568535976.8243337
77,-106.295745179,1568535982.93435
78,-134.782552719,1568535986.0406303
79,-131.266117096,1568535988.0451047
80,-103.786392819,1568535991.151465
81,-103.537235511,1568535993.1543908
82,-87.7931413812,1568535996.2593412
83,-85.4219207248,1568535998.2611353
84,-106.539845467,1568536005.3767405
85,-103.56771946,1568536007.3788342
86,-85.5079506782,1568536013.4909387
87,-109.982732377,1568536016.598181
88,-36.3392560314,1568536019.7053976
89,-36.8036295868,1568536021.7085974
90,-84.4549007882,1568536023.7110147
91,-25.9738471587,1568536026.8161514
92,-29.02953094,1568536029.9221375
93,-28.6085257363,1568536031.925066
94,-28.8293476875,1568536033.927829
95,-27.8224263235,1568536035.9307334
96,-28.3961116916,1568536037.933178
97,-29.4886764375,1568536039.936282
