# iterator, reward, timestamp 
1,21.756529808,1568638203.507361
2,24.9261856079,1568638204.507935
3,27.1781682968,1568638205.5090036
4,21.3527679443,1568638206.5104756
5,24.7143507004,1568638207.512085
6,21.1650133133,1568638208.5135283
7,23.4924554825,1568638209.515196
8,21.4703083038,1568638210.5167117
9,23.3376026154,1568638211.5185568
10,21.085858345,1568638212.519931
11,21.4914083481,1568638213.5213032
12,22.4982500076,1568638214.522652
13,21.8268632889,1568638215.5243134
14,25.3833532333,1568638216.525156
15,21.4505195618,1568638217.5266573
16,21.136879921,1568638218.5289047
17,21.5904712677,1568638219.5295324
18,23.0590105057,1568638220.5311244
19,21.3128328323,1568638221.5323658
20,22.0408439636,1568638222.5342577
21,20.2165842056,1568638223.5362372
22,22.0087766647,1568638224.5382526
23,22.0015048981,1568638225.5393443
24,21.7094421387,1568638226.540872
25,20.8730697632,1568638227.540773
26,21.2664604187,1568638228.542074
27,20.7380056381,1568638229.5434835
28,20.4948186874,1568638230.544352
29,20.4571485519,1568638231.5468457
30,21.2472677231,1568638232.5485659
31,23.8624811172,1568638233.5499227
32,21.5253829956,1568638234.5514536
33,21.8527317047,1568638235.5525973
34,24.2903232574,1568638236.5537047
35,24.5634317398,1568638237.5550678
36,23.5073566437,1568638238.5566373
37,21.405339241,1568638239.5577824
38,23.8213539124,1568638240.5589523
39,21.4381217957,1568638241.5597477
40,22.0103263855,1568638242.5610027
41,21.1242437363,1568638243.5611389
42,22.5558280945,1568638244.563328
43,21.656870842,1568638245.5646124
44,21.6318368912,1568638246.5662615
45,22.8707790375,1568638247.567023
46,21.6025114059,1568638248.5689225
47,19.7701454163,1568638249.5698228
48,21.3352441788,1568638250.5709772
49,20.6923484802,1568638251.5727973
50,22.4397182465,1568638252.5743957
51,23.9976644516,1568638253.5760522
52,23.2675075531,1568638254.5772364
53,20.4796791077,1568638255.5789285
54,20.920753479,1568638256.5799196
55,21.0871696472,1568638257.5806677
56,20.4257965088,1568638258.581352
57,20.5470323563,1568638259.5827723
58,21.3844776154,1568638260.583317
59,19.9805498123,1568638261.5851521
60,25.6197452545,1568638262.5862007
61,21.4616060257,1568638263.5879421
62,22.6318836212,1568638264.5891297
