# iterator, reward, timestamp 
1,-21.756529808,1568638203.507002
2,-24.9261856079,1568638204.50765
3,-27.1781682968,1568638205.5087268
4,-21.3527679443,1568638206.5101855
5,-24.7143507004,1568638207.5117602
6,-21.1650133133,1568638208.513206
7,-23.4924554825,1568638209.5148644
8,-21.4703083038,1568638210.5164206
9,-23.3376026154,1568638211.518081
10,-21.085858345,1568638212.5196412
11,-21.4914083481,1568638213.5209553
12,-22.4982500076,1568638214.5223315
13,-21.8268632889,1568638215.5240264
14,-25.3833532333,1568638216.5248754
15,-21.4505195618,1568638217.5263429
16,-21.136879921,1568638218.5284808
17,-21.5904712677,1568638219.529247
18,-23.0590105057,1568638220.5308127
19,-21.3128328323,1568638221.5320363
20,-22.0408439636,1568638222.5338497
21,-20.2165842056,1568638223.5359542
22,-22.0087766647,1568638224.5379546
23,-22.0015048981,1568638225.5389433
24,-21.7094421387,1568638226.5405765
25,-20.8730697632,1568638227.5406477
26,-21.2664604187,1568638228.5419323
27,-20.7380056381,1568638229.5432796
28,-20.4948186874,1568638230.5442336
29,-20.4571485519,1568638231.5465221
30,-21.2472677231,1568638232.5482724
31,-23.8624811172,1568638233.5495944
32,-21.5253829956,1568638234.5510867
33,-21.8527317047,1568638235.5522265
34,-24.2903232574,1568638236.5533817
35,-24.5634317398,1568638237.554746
36,-23.5073566437,1568638238.5561876
37,-21.405339241,1568638239.5574415
38,-23.8213539124,1568638240.5586782
39,-21.4381217957,1568638241.5594444
40,-22.0103263855,1568638242.560668
41,-21.1242437363,1568638243.5610113
42,-22.5558280945,1568638244.5629764
43,-21.656870842,1568638245.5642781
44,-21.6318368912,1568638246.5659447
45,-22.8707790375,1568638247.5667272
46,-21.6025114059,1568638248.5685706
47,-19.7701454163,1568638249.569448
48,-21.3352441788,1568638250.5706277
49,-20.6923484802,1568638251.5724788
50,-22.4397182465,1568638252.5740428
51,-23.9976644516,1568638253.5757637
52,-23.2675075531,1568638254.5769143
53,-20.4796791077,1568638255.5786004
54,-20.920753479,1568638256.5796354
55,-21.0871696472,1568638257.5805128
56,-20.4257965088,1568638258.5812187
57,-20.5470323563,1568638259.5825696
58,-21.3844776154,1568638260.5831602
59,-19.9805498123,1568638261.5848727
60,-25.6197452545,1568638262.5859008
61,-21.4616060257,1568638263.5876093
62,-22.6318836212,1568638264.5888174
