# iterator, reward, timestamp 
1,-25.6504573128,1568548196.133154
2,-27.0704908918,1568548201.2420974
3,-24.2761990784,1568548206.3504374
4,-26.9824112562,1568548211.4601798
5,-24.4763144004,1568548216.5704656
6,-27.1825274787,1568548221.6803436
7,-24.8603780993,1568548226.7906475
8,-26.665086235,1568548231.9012105
9,-25.1646545561,1568548237.010269
10,-26.6265111934,1568548242.120165
11,-25.972279322,1568548247.2301974
12,-137.200117111,1568548252.3383527
13,-24.3333665571,1568548257.448607
14,-133.187294006,1568548263.5606036
15,-24.1174515578,1568548268.6708252
16,-28.292149856,1568548273.782145
17,-24.1392310962,1568548278.892259
18,-23.5015856783,1568548280.8921123
19,-23.7097505753,1568548282.8959506
20,-24.6391337286,1568548284.8979623
21,-24.18936082,1568548286.901383
22,-22.289365803,1568548288.9040096
23,-23.8682874689,1568548290.906665
24,-24.3759664807,1568548292.9094844
25,-24.0924472223,1568548294.9116437
26,-24.2741589508,1568548296.9151962
27,-24.0896586825,1568548298.9170654
28,-24.8049666061,1568548300.919618
29,-130.517244339,1568548306.0325627
30,-133.732914925,1568548308.0361984
31,-24.8432396518,1568548313.1420746
32,-28.1738210007,1568548318.2526665
33,-24.4683645541,1568548323.362668
34,-26.4552984054,1568548328.4728801
35,-25.0251008433,1568548333.5823972
36,-27.1990794114,1568548338.6904173
37,-23.3537706003,1568548343.7989674
38,-27.6525982359,1568548348.9099326
39,-25.2199028092,1568548354.0192096
40,-25.3079602929,1568548356.0221636
41,-27.0066166976,1568548361.1315026
42,-25.5613824061,1568548366.2426023
43,-27.5470416808,1568548371.3523576
44,-25.9869876584,1568548376.4644718
45,-29.4780587813,1568548381.5719512
46,-23.1309177696,1568548386.680809
47,-27.7224874147,1568548391.7889392
48,-25.1026813739,1568548396.899
49,-27.7057092683,1568548402.0095336
50,-24.5836660113,1568548407.1151857
51,-24.5483952122,1568548409.1164873
52,-26.3140700228,1568548411.120737
53,-25.6279288214,1568548413.1247168
54,-27.6461806017,1568548418.233622
55,-32.9248905182,1568548423.3426816
56,-35.3574752808,1568548425.3458738
57,-30.7350158691,1568548427.348956
58,-33.0365896225,1568548429.351206
59,-30.6526422501,1568548431.3543582
60,-30.9624671936,1568548433.3573914
61,-26.9345753997,1568548438.4648488
62,-27.5421244093,1568548443.573084
63,-27.3506752879,1568548448.6821818
64,-24.9977900058,1568548453.7919815
65,-27.9025169288,1568548458.900819
66,-25.6791477927,1568548464.011454
67,-26.6713895777,1568548469.1208434
68,-25.2963350047,1568548474.2315397
69,-29.6115421289,1568548479.340395
70,-26.3389314137,1568548484.449287
71,-27.6677121627,1568548489.5577657
72,-25.4163924842,1568548494.6670852
73,-26.7884754188,1568548499.7746365
74,-28.6781787872,1568548504.8858986
75,-27.884658445,1568548509.9951506
76,-29.6003818512,1568548515.105648
77,-29.1797436176,1568548520.2144926
78,-29.9458503723,1568548525.325938
79,-29.2556285858,1568548527.3310502
80,-27.7663363123,1568548532.437452
81,-25.3268072884,1568548537.546585
82,-28.3869115799,1568548542.6564956
83,-35.2325439453,1568548547.7656946
84,-28.057820309,1568548552.8744626
85,-29.2476018104,1568548554.876477
86,-27.8706651963,1568548556.8799138
87,-26.257401798,1568548558.8803751
88,-28.7764072418,1568548563.9869285
89,-27.9059131821,1568548569.0950449
90,-29.0235280991,1568548574.2038786
91,-27.9419971929,1568548579.3150587
92,-24.7861549235,1568548584.4256234
93,-25.9021716588,1568548586.4298747
94,-26.5372954955,1568548591.5372677
95,-25.3369884916,1568548596.648019
96,-27.5658894679,1568548601.7584844
97,-24.4758793992,1568548606.8687046
98,-28.1899525774,1568548611.9795628
99,-27.6698416807,1568548613.9827387
100,-28.2502939785,1568548615.9852283
101,-28.0208403435,1568548617.9882042
102,-24.1020670649,1568548623.0932631
103,-27.9629031743,1568548628.2039568
104,-34.2886447906,1568548633.31362
105,-28.0186609642,1568548638.4240189
106,-32.4413776398,1568548643.5340807
107,-27.911881222,1568548648.6416616
108,-32.4705839157,1568548653.751987
109,-27.9823522217,1568548658.8613048
110,-31.8213701248,1568548663.9727693
111,-27.1472407744,1568548669.0830653
112,-27.7746243025,1568548671.0875444
113,-25.7558226226,1568548676.1944776
114,-28.6488463973,1568548681.305483
115,-26.2756046707,1568548686.4140954
116,-27.6992094245,1568548691.525375
117,-27.8011039198,1568548696.6337721
118,-26.0842173211,1568548701.7434978
119,-26.1372719345,1568548706.8562334
120,-27.3577952945,1568548711.965615
121,-22.006273054,1568548717.0784223
122,-35.4016209165,1568548722.1897006
123,-24.9519122181,1568548727.3011997
124,-24.9089667294,1568548732.4102743
125,-25.1095534283,1568548737.5176876
126,-28.3933616304,1568548742.6253924
127,-28.116853126,1568548744.627559
128,-24.623253043,1568548746.629108
129,-28.2192746357,1568548748.6329572
130,-26.8509814556,1568548750.6359434
131,-28.5918712616,1568548755.7470458
132,-28.7021398544,1568548757.749461
133,-29.5571838745,1568548762.8616178
134,-23.4007858735,1568548767.9719083
135,-28.2476707945,1568548769.9741158
136,-26.2479279515,1568548771.9765282
137,-26.1263261906,1568548773.9791396
138,-23.5630345909,1568548775.9797094
139,-24.1838365156,1568548777.98331
140,-26.8491042697,1568548783.090639
141,-25.5923573779,1568548785.0937817
142,-23.6347047803,1568548790.2007744
143,-25.9987773701,1568548795.3089075
144,-22.3557900568,1568548800.4190283
145,-24.314808469,1568548802.4219792
146,-25.7273083219,1568548807.5281198
