# iterator, reward, timestamp 
1,-25.873254318158725,1568518024.881115
2,-24.739126133461895,1568518026.8831599
3,-24.727673127187913,1568518028.8856993
4,-25.08886231957823,1568518030.8871157
5,-24.737910131493365,1568518033.9916224
6,-88.11452499480907,1568518037.0975335
7,-24.660807730222587,1568518040.2038052
8,-106.7979080878509,1568518043.3103971
9,-104.76725033390164,1568518045.313467
10,-22.446171280734045,1568518048.420421
11,-103.9790005967262,1568518051.5281863
12,-22.539723817075963,1568518054.6356907
13,-22.014068594774542,1568518056.637829
14,-99.61485862731934,1568518059.7447543
15,-23.789858570421067,1568518062.8507807
16,-105.58646467784821,1568518066.9569926
17,-127.32338905334474,1568518071.0637736
18,-100.41103206307189,1568518074.1704438
19,-129.50849533081055,1568518077.2772768
20,-127.36523151397705,1568518079.2802055
21,-21.86327834747185,1568518082.3854618
22,-128.6700963973999,1568518085.4936714
23,-21.628265537407614,1568518088.600456
24,-23.586760048369456,1568518091.706708
25,-22.776281223227766,1568518093.709329
26,-105.68077637230782,1568518096.8168375
27,-23.94027358808464,1568518099.9224532
28,-22.585252832164134,1568518101.9243848
29,-24.502545304970305,1568518103.9269736
30,-104.04323157595148,1568518107.0320055
31,-24.0167892324956,1568518110.1390285
32,-20.776549409155468,1568518113.2454648
33,-24.064848337121465,1568518116.3523617
34,-98.93214702606201,1568518119.457855
35,-23.835902437026885,1568518122.5636342
36,-21.93649261461942,1568518125.669951
37,-21.70129469178058,1568518128.7764652
38,-22.054890511707697,1568518131.8825588
39,-22.096571557692123,1568518134.990109
40,-21.519284091649183,1568518138.0952322
41,-23.830610497907557,1568518141.2016785
42,-20.30562044796431,1568518144.3064568
43,-19.682791258733815,1568518147.4125483
44,-20.040960722082808,1568518150.5196238
45,-24.422769031309787,1568518153.6271675
46,-20.92032340838234,1568518156.733916
47,-24.499304224553605,1568518159.8399339
48,-21.521765286008684,1568518162.9452982
49,-127.59530544281006,1568518172.0558407
50,-19.95684439317317,1568518175.1615255
51,-22.639811506628508,1568518178.265829
52,-21.898872695244062,1568518181.3733368
53,-22.908407949673165,1568518184.4790123
54,-103.57156596767207,1568518187.585423
55,-25.14272748381873,1568518190.6918037
56,-22.71358353774953,1568518193.798186
57,-25.386548388285522,1568518196.9035487
58,-22.183737203738158,1568518200.0087461
59,-27.28142781544565,1568518203.114668
60,-24.75610553281462,1568518205.1177874
61,-25.16787355558886,1568518208.224525
62,-26.042392273774084,1568518211.3309667
63,-25.079960485695732,1568518213.3333406
64,-104.70986366271974,1568518217.4398715
65,-24.985750583242794,1568518220.5467532
66,-101.80544853210449,1568518223.654264
67,-23.83464380317198,1568518226.7613087
68,-21.07286835512246,1568518229.8672729
69,-22.503337609394904,1568518232.9717615
70,-24.889448691559817,1568518234.9743888
71,-23.974481474301633,1568518238.0808
72,-25.885013953216372,1568518241.187939
73,-24.19977046095592,1568518244.2940114
74,-24.669891718747557,1568518247.3993719
75,-106.58472827674146,1568518250.504192
76,-23.31301293619829,1568518253.610682
77,-25.885560600327945,1568518255.6128483
78,-51.42119381933492,1568518258.7189312
79,-106.68797093212032,1568518260.7218165
80,-22.58196960854179,1568518263.8280878
81,-21.952736187373684,1568518266.934666
82,-23.99209746225391,1568518270.0390728
83,-106.54782366183234,1568518275.1485918
84,-23.178040310057153,1568518278.254991
85,-100.45886039733887,1568518281.360933
86,-25.009882958193916,1568518284.4671013
87,-25.084458925627988,1568518286.4690394
88,-24.976027588681237,1568518288.4723713
89,-24.752416723793825,1568518291.5783942
90,-27.08178662421355,1568518294.6847632
91,-26.302897405781973,1568518296.6873465
92,-22.831763228347118,1568518299.7943845
93,-24.879949232729217,1568518302.9014223
94,-22.623495533761577,1568518306.009027
95,-23.580787335850133,1568518309.1153674
96,-23.481884051311336,1568518311.117549
97,-25.121007340633803,1568518313.1189451
98,-23.313285055594307,1568518316.2254634
99,-24.974972248575224,1568518318.2282476
100,-21.31239671074953,1568518320.2312481
101,-23.203404573428763,1568518323.3369174
102,-23.684966590815232,1568518325.3394024
103,-20.896929003054396,1568518328.4459033
104,-22.677775793771882,1568518331.5529234
105,-21.448529015127075,1568518334.6581113
106,-23.704574505104315,1568518337.7674394
107,-21.250673392005282,1568518340.8723962
108,-22.11630747141851,1568518343.9779322
109,-22.16166302544406,1568518347.0851338
110,-22.84533328081118,1568518349.0872574
111,-23.993299175522527,1568518352.192357
112,-22.609775283716733,1568518355.2988133
113,-25.405940793771055,1568518357.3016484
114,-25.70676498329395,1568518360.4083102
115,-23.10889335838381,1568518363.5146291
116,-26.017605936338292,1568518365.5191727
117,-26.454649751652184,1568518368.6246252
118,-22.661525835534846,1568518371.7301848
119,-23.893795395635717,1568518373.7332373
120,-25.97919418782919,1568518376.8396535
121,-19.65757641134621,1568518379.946005
122,-25.50547069620517,1568518383.0526695
123,-25.03902994384429,1568518385.0556746
124,-23.564797628623207,1568518387.0585275
125,-21.02598709517237,1568518390.1658685
126,-24.961840726117444,1568518393.2707176
127,-21.53937498037684,1568518396.377189
128,-24.46338280266349,1568518399.484472
129,-23.068036887580895,1568518401.4870133
130,-22.81073842276737,1568518403.4897153
131,-19.68627371782599,1568518406.596137
132,-23.727708740516352,1568518409.7025075
133,-19.678932593371847,1568518412.808596
134,-23.970327055741905,1568518415.915736
135,-24.378521137118025,1568518417.9182703
136,-23.409489686427527,1568518419.9201853
137,-21.696153508783603,1568518423.0267868
138,-22.610278362880337,1568518426.133541
139,-22.779135846115704,1568518428.1364465
140,-20.329617434861014,1568518431.242007
141,-22.250216966294566,1568518434.3477483
142,-22.05054556341781,1568518437.4548564
143,-12.449277147562894,1568518440.5614042
144,-23.565907003080014,1568518443.667515
145,-23.53533460623981,1568518445.669997
146,-26.08155554847818,1568518448.7766821
147,-24.515542613223232,1568518451.8814144
148,-22.935450495004364,1568518453.88415
149,-22.888650874804355,1568518455.8866765
150,-26.195039359826435,1568518458.9935472
151,-27.187871506146994,1568518460.996165
152,-23.84734984206738,1568518464.102621
153,-25.587023595476634,1568518467.2102928
154,-23.49878402881661,1568518470.3152392
155,-25.900833830017913,1568518473.422691
156,-23.607034092702,1568518476.5273921
157,-27.65395040302079,1568518479.634531
158,-27.269965124390286,1568518481.6383157
159,-27.700622133866435,1568518483.6417906
160,-25.837465514112296,1568518486.750378
161,-25.32037290798001,1568518489.8582036
162,-24.038363167464315,1568518492.963136
163,-26.25909355095215,1568518494.9660535
164,-26.20205990680853,1568518498.0728893
165,-27.003323131896128,1568518500.0757997
166,-24.472345582665184,1568518503.1838484
167,-23.492043341422384,1568518505.1864629
168,-24.164922867755784,1568518507.1885316
169,-22.432467600211854,1568518509.1916065
170,-26.548103331503352,1568518512.2964609
171,-24.207530015341977,1568518514.298598
172,-26.26697605887989,1568518516.3020687
173,-23.035168439658456,1568518518.306071
174,-21.895974137571717,1568518521.4110856
175,-23.622827274909582,1568518524.5171993
176,-24.415301193084154,1568518527.624242
177,-25.968385362949412,1568518530.731069
178,-25.1107164314947,1568518533.8371286
179,-26.50303281321995,1568518536.9440138
180,-26.02340390279814,1568518538.9448178
181,-26.41468175498374,1568518542.0510452
182,-26.824312037080617,1568518545.156931
183,-23.72223930868392,1568518548.2635486
184,-28.013585159587237,1568518551.3697147
185,-26.592299786736486,1568518554.4760046
186,-28.55996838202306,1568518556.4782465
187,-29.203812330492326,1568518559.5850215
188,-30.242262801344875,1568518561.587296
189,-29.778395182158544,1568518563.5910006
190,-26.025436839919678,1568518566.697198
191,-28.413468440781198,1568518569.8050332
192,-28.781604709712497,1568518571.8084903
193,-25.696030223671944,1568518574.9134157
194,-26.140826223350686,1568518576.9163837
195,-28.09084580653641,1568518578.92015
196,-29.732888867215063,1568518582.028117
197,-29.2658679603451,1568518584.0305755
198,-29.538954665493346,1568518586.032618
199,-29.58940183606908,1568518588.0351756
200,-28.792021311337457,1568518590.0376399
201,-25.33153087901531,1568518593.1430607
202,-28.116534913696565,1568518596.248779
203,-24.650709839337036,1568518599.3561163
204,-29.279078719106625,1568518602.462862
205,-34.63742075741006,1568518604.463357
206,-28.41820325693682,1568518606.4657912
207,-27.38756657265745,1568518608.468116
208,-27.51705950962675,1568518610.4710054
209,-24.601435216364973,1568518613.5767412
210,-25.951255415380565,1568518615.579081
211,-29.344079938299483,1568518618.68564
212,-28.583066671163103,1568518620.6888165
213,-25.678755446662247,1568518623.7952778
214,-22.392563453447018,1568518626.9008825
215,-24.554318772452195,1568518630.0071962
216,-29.496787401321214,1568518633.1136162
217,-104.41935062408447,1568518636.2199056
218,-27.594031912867422,1568518639.3270915
219,-106.1393105483295,1568518642.4322615
220,-134.4670057296753,1568518645.5382254
221,-106.8367204167489,1568518649.6458194
222,-28.05901179080581,1568518652.7525125
223,-26.717253161438983,1568518654.754416
224,-27.863450429251237,1568518656.7571213
225,-27.471440822690248,1568518658.7600498
226,-107.50150680541992,1568518661.86681
227,-27.776874758463784,1568518664.9715745
228,-30.982206884383483,1568518666.9744773
229,-27.65984545678711,1568518668.977807
230,-26.741938532822424,1568518670.9809837
231,-27.338632447526088,1568518672.9851267
232,-28.099612412584694,1568518674.9873872
233,-25.729372480853378,1568518678.0947635
234,-32.42592943932789,1568518681.200564
235,-27.34619002929648,1568518684.3071492
236,-27.935708424950853,1568518687.4125874
237,-24.47729883378281,1568518690.5197954
238,-24.84518207308703,1568518692.5240512
239,-22.457819195629654,1568518694.5268774
240,-26.782798479464184,1568518697.6333046
241,-27.22241424495791,1568518699.6364305
242,-108.20880944302861,1568518704.7445197
243,-26.682700196995846,1568518707.8512404
