# iterator, reward, timestamp 
1,131.53982162475586,1568882869.928508
2,130.61630725860596,1568882872.932597
3,127.30979919433594,1568882875.9364417
4,129.46438789367676,1568882880.9421842
5,129.1590929031372,1568882886.9491284
6,128.07703018188477,1568882889.9524553
7,130.95831871032715,1568882896.9593825
8,133.4545612335205,1568882900.9631703
9,132.71558284759521,1568882903.9676754
10,133.6420774459839,1568882906.9715798
11,133.29708576202393,1568882909.9770005
12,131.0749053955078,1568882912.981564
13,135.1935863494873,1568882915.9857574
14,133.8881254196167,1568882918.9884822
15,134.62495803833008,1568882922.9942372
16,135.11884212493896,1568882925.9969928
17,134.5062255859375,1568882932.0060906
18,134.46569442749023,1568882935.0108304
19,133.628249168396,1568882938.0149522
20,133.75389575958252,1568882941.0194657
21,135.93196868896484,1568882946.026588
22,135.89394092559814,1568882949.0314572
23,135.65552234649658,1568882953.0368204
24,137.06350326538086,1568882956.040996
25,135.4959011077881,1568882959.0454116
26,135.88905334472656,1568882962.0500274
27,134.3529224395752,1568882965.053048
28,137.0871067047119,1568882969.0573866
29,135.8581781387329,1568882973.0619547
30,137.03560829162598,1568882976.0649703
