# iterator, reward, timestamp 
1,-19.6382999420166,1568859031.531346
2,-19.551634788513184,1568859034.5362828
3,-19.948244094848633,1568859037.5417998
4,-10.6581449508667,1568859040.552362
5,-18.582463264465332,1568859043.5565798
6,-18.992900848388672,1568859046.5620148
7,-19.301414489746094,1568859049.568913
8,-18.316149711608887,1568859052.573551
9,-18.186092376708984,1568859055.579241
10,-20.020723342895508,1568859058.5863101
11,-18.246054649353027,1568859061.5920796
12,-19.202351570129395,1568859064.5979638
13,-20.24376392364502,1568859067.606941
14,-18.727421760559082,1568859070.6128445
15,-16.66557788848877,1568859073.6185367
16,-23.6208438873291,1568859076.6270201
17,-16.927242279052734,1568859079.6326663
18,-17.62533187866211,1568859082.6379263
19,-16.161203384399414,1568859085.6473346
20,-19.609451293945312,1568859088.65188
21,-18.894433975219727,1568859091.6575134
22,-20.495891571044922,1568859094.6623664
23,-19.595742225646973,1568859097.6691673
24,-18.515586853027344,1568859100.674076
25,-18.61894130706787,1568859103.6802778
26,-19.728779792785645,1568859106.686072
27,-20.776867866516113,1568859109.695573
28,-26.674509048461914,1568859112.6999793
29,-18.746614456176758,1568859115.7092834
30,-20.067572593688965,1568859118.7136774
31,-18.932700157165527,1568859121.7193568
32,-17.71724224090576,1568859124.722693
33,-18.161296844482422,1568859127.7282968
34,-17.37391948699951,1568859130.737397
35,-21.233677864074707,1568859133.742086
36,-18.93329620361328,1568859136.7473552
37,-19.872426986694336,1568859139.7547708
38,-17.331242561340332,1568859142.7622364
39,-16.02160930633545,1568859145.769135
40,-16.762375831604004,1568859148.7743263
41,-18.259525299072266,1568859151.7808282
42,-17.827510833740234,1568859154.7870646
43,-19.98722553253174,1568859157.793011
44,-17.847537994384766,1568859160.8000915
45,-18.76389980316162,1568859163.8042297
46,-21.089792251586914,1568859166.8115911
47,-22.367119789123535,1568859169.8220618
48,-21.860122680664062,1568859172.8276746
49,-20.969033241271973,1568859175.8304322
50,-26.657581329345703,1568859178.8371797
51,-28.977274894714355,1568859181.846386
52,-22.702813148498535,1568859184.8509376
53,-26.04663372039795,1568859187.8542233
54,-23.721814155578613,1568859190.8574939
55,-23.46515655517578,1568859193.8625262
56,-23.120641708374023,1568859196.8670006
57,-26.374101638793945,1568859199.872202
58,-24.980545043945312,1568859202.875138
59,-23.848533630371094,1568859205.878775
60,-25.011658668518066,1568859208.88247
61,-23.04387092590332,1568859211.8862276
62,-26.642322540283203,1568859214.8906677
63,-22.568345069885254,1568859217.894815
64,-23.78690242767334,1568859220.900808
65,-23.096203804016113,1568859223.9053924
66,-22.753119468688965,1568859226.9096656
67,-24.53899383544922,1568859229.9136624
68,-23.294806480407715,1568859232.9192693
69,-22.983670234680176,1568859235.9242826
70,-24.019718170166016,1568859238.9286203
71,-26.63731575012207,1568859241.9345188
72,-23.739337921142578,1568859244.9393787
73,-24.683713912963867,1568859247.9440267
74,-22.91131019592285,1568859250.9484313
75,-22.385239601135254,1568859253.9538267
76,-22.166848182678223,1568859256.9579852
77,-24.03116226196289,1568859259.9615517
78,-22.082805633544922,1568859262.9662936
79,-23.455262184143066,1568859265.970199
80,-22.645235061645508,1568859268.9784348
81,-26.784420013427734,1568859271.9819038
82,-24.312376976013184,1568859274.985728
83,-26.041388511657715,1568859277.989485
84,-21.90554141998291,1568859280.9931955
85,-22.029876708984375,1568859283.9966073
86,-23.91040325164795,1568859287.000966
87,-22.875189781188965,1568859290.0043867
88,-22.350549697875977,1568859293.0091565
89,-26.28636360168457,1568859296.012789
90,-23.20396900177002,1568859299.017113
91,-24.668455123901367,1568859302.0212567
92,-23.5060453414917,1568859305.024705
93,-22.719264030456543,1568859308.0290902
94,-24.263381958007812,1568859311.033502
95,-25.990605354309082,1568859314.0375948
96,-22.090673446655273,1568859317.0414007
97,-26.134729385375977,1568859320.0456002
98,-23.187994956970215,1568859323.0507588
99,-22.636771202087402,1568859326.0555801
100,-22.95982837677002,1568859329.0616724
101,-23.839354515075684,1568859332.0658786
102,-22.6285457611084,1568859335.0697
103,-22.33123779296875,1568859338.074895
104,-22.869467735290527,1568859341.0787568
105,-21.07250690460205,1568859344.0831923
106,-23.174762725830078,1568859347.0869668
107,-22.26579189300537,1568859350.091223
108,-21.746158599853516,1568859353.0954847
109,-18.828749656677246,1568859356.1074119
110,-23.073911666870117,1568859359.1074216
111,-18.630266189575195,1568859362.1104088
112,-21.893024444580078,1568859365.1131868
113,-21.38841152191162,1568859368.1163273
114,-22.068142890930176,1568859371.120367
115,-22.746801376342773,1568859374.124968
116,-22.948622703552246,1568859377.1289978
117,-21.21591567993164,1568859380.133197
118,-24.831771850585938,1568859383.1391497
119,-23.03779125213623,1568859386.1431615
120,-22.87602424621582,1568859389.147858
121,-22.904157638549805,1568859392.1521485
122,-26.720523834228516,1568859395.1557112
123,-22.69160747528076,1568859398.1610625
124,-22.442102432250977,1568859401.1662078
125,-23.334980010986328,1568859404.1707344
126,-22.198915481567383,1568859407.1756883
127,-22.505521774291992,1568859410.180048
128,-21.49057388305664,1568859413.184128
129,-26.247262954711914,1568859416.1874905
130,-28.247594833374023,1568859419.1924868
131,-23.43738079071045,1568859422.197376
132,-23.531198501586914,1568859425.2003143
133,-22.87113666534424,1568859428.205074
134,-22.068023681640625,1568859431.2099147
135,-21.221280097961426,1568859434.213359
136,-22.263407707214355,1568859437.2182176
137,-23.576855659484863,1568859440.221565
138,-23.131251335144043,1568859443.22542
139,-22.565603256225586,1568859446.2303443
140,-21.807312965393066,1568859449.2349184
141,-28.305411338806152,1568859452.2406178
142,-21.891236305236816,1568859455.2449598
143,-23.999810218811035,1568859458.249447
144,-23.01466464996338,1568859461.2533755
145,-22.967100143432617,1568859464.257252
146,-24.91903305053711,1568859467.2614822
147,-30.560731887817383,1568859469.2652504
148,-24.33156967163086,1568859472.2675445
149,-22.679686546325684,1568859475.274192
150,-21.564960479736328,1568859478.2764392
151,-20.233631134033203,1568859481.2811575
152,-21.164894104003906,1568859484.285984
153,-22.8654146194458,1568859487.2896788
154,-20.93982696533203,1568859490.2946885
155,-24.49965476989746,1568859493.299098
156,-22.525668144226074,1568859496.301763
157,-23.0257511138916,1568859499.3056445
