# iterator, reward, timestamp 
1,-39.4981782221,1569034058.91719
2,-67.2576140548,1569034062.921978
3,-67.6703453064,1569034069.0328374
4,-68.0030584335,1569034073.0386982
5,-66.0465955734,1569034076.0435238
6,-47.1861768129,1569034079.1497076
7,-97.5946187973,1569034084.2571332
8,-67.164160989,1569034088.362588
9,-64.8558139801,1569034092.4697285
10,-48.2683548684,1569034095.5751703
11,-98.4069108963,1569034103.6869783
12,-67.0648882894,1569034106.7932193
13,-66.1914348602,1569034111.901643
14,-59.7303658,1569034118.010972
15,-65.0434494019,1569034124.1226566
16,-64.2729997635,1569034128.1276004
17,-69.1530810475,1569034142.2472026
18,-67.4891564567,1569034145.2511592
19,-96.6248512268,1569034148.3571844
20,-96.5057611465,1569034153.3633802
21,-78.8901471159,1569034158.471466
22,-78.5314434442,1569034162.4750738
23,-66.6615962982,1569034167.583238
24,-67.2927522479,1569034174.691669
25,-65.9853219986,1569034178.7991195
26,-66.2988424301,1569034181.8030853
27,-48.5906730122,1569034184.9107196
28,-59.5084227175,1569034187.9137537
29,-65.2415752411,1569034194.0231342
30,-67.8937761972,1569034206.1385427
31,-69.4858153597,1569034216.1482592
32,-97.0029830933,1569034219.254508
33,-67.0358357232,1569034222.360873
34,-65.4480457306,1569034227.4691272
35,-56.6789310945,1569034232.5773888
36,-95.6497192383,1569034235.6831129
37,-81.7601298784,1569034242.792878
38,-80.2614376677,1569034247.7992706
39,-63.4609460831,1569034252.9066088
40,-67.1018362045,1569034257.9133778
41,-68.1308282013,1569034263.0226793
42,-68.4540092363,1569034268.028603
43,-64.3908977509,1569034271.1350088
44,-52.8028865231,1569034276.243111
45,-96.7940092087,1569034282.3522277
46,-96.9680547714,1569034292.365622
47,-65.5068688555,1569034295.4721208
48,-91.8776988983,1569034299.5795887
49,-78.851683837,1569034302.6852353
50,-64.3215179443,1569034306.7924402
51,-67.2606161737,1569034313.9030871
52,-66.4320917825,1569034318.908786
53,-66.0315752029,1569034323.0153852
54,-62.7851486206,1569034328.020174
55,-46.6568170166,1569034331.1268785
56,-64.3065716264,1569034335.1325514
57,-64.1446113586,1569034338.2388763
58,-64.1371567315,1569034345.3485353
59,-78.9768170298,1569034350.3531408
60,-94.486951828,1569034353.4584692
61,-91.3997888565,1569034357.4645898
62,-64.3718989366,1569034362.571621
63,-64.3025636673,1569034369.6810396
64,-64.9744272232,1569034373.6849709
65,-67.5689944374,1569034376.790267
66,-68.7382444266,1569034383.7987044
67,-64.2039775848,1569034387.9050117
68,-47.9301425526,1569034391.0111504
69,-63.7872219086,1569034394.1178336
70,-51.5626870012,1569034398.2241862
71,-64.3824338913,1569034401.3305461
72,-65.2927160263,1569034404.3349905
73,-64.7413730621,1569034407.339592
74,-66.1787692197,1569034412.4476702
75,-94.0197706223,1569034416.5543358
76,-78.3431205704,1569034420.659746
