# iterator, reward, timestamp 
1,68.5341656208,1569055690.8988113
2,54.0819168091,1569055696.0063553
3,67.751288414,1569055701.1149116
4,60.6218576431,1569055706.222072
5,98.1874465942,1569055713.3318083
6,97.9808568954,1569055716.33539
7,98.5679626465,1569055722.3421195
8,54.4352531433,1569055726.4475863
9,67.5823688507,1569055730.55468
10,68.2203769684,1569055735.5613868
11,55.0384521484,1569055738.6678102
12,97.5947380066,1569055741.7738905
13,54.6978712082,1569055748.8835034
14,55.2744865417,1569055756.8901155
15,94.9728488922,1569055764.0001264
16,80.2540779114,1569055768.1071758
17,98.0614423752,1569055778.21762
18,82.1040272713,1569055783.3249354
19,81.546664238,1569055790.3316255
20,68.5405731201,1569055793.4376938
21,47.1056699753,1569055796.5424986
22,69.2749023438,1569055800.5456579
23,97.2353219986,1569055804.6519043
24,54.7769069672,1569055808.757839
25,55.6288957596,1569055816.7692473
26,68.5660839081,1569055822.8799782
27,55.0210475922,1569055826.987034
28,55.4109811783,1569055829.991012
29,67.0750141144,1569055835.0996647
30,68.6473846436,1569055842.1069078
31,43.5371398926,1569055845.2127388
32,67.3004388809,1569055848.3181813
33,67.3401355743,1569055853.323528
34,71.5200901031,1569055860.4325159
35,80.9626579285,1569055864.437358
36,67.5721168518,1569055868.5448546
37,55.791258812,1569055871.6502647
38,66.6116476059,1569055878.7600014
39,66.2766695023,1569055881.7641847
40,46.3761091232,1569055884.8702931
41,99.09760952,1569055890.9800663
42,98.2278585434,1569055893.9850173
43,55.0185441971,1569055899.094259
44,95.4015254974,1569055902.2004013
45,81.7739963531,1569055906.30669
46,95.9709882736,1569055918.4220223
47,94.6640968323,1569055922.4261076
48,11.5529298782,1569055928.5360458
49,55.5171966553,1569055934.5423994
50,99.2082357407,1569055943.6564791
51,54.0482997894,1569055946.7615263
52,67.9150819778,1569055950.8678055
53,57.026386261,1569055953.9737713
54,56.0873746872,1569055957.9772077
55,65.8496618271,1569055962.0854704
56,45.3472137451,1569055965.1908383
57,66.5887594223,1569055968.2981493
58,42.6670312881,1569055971.4037263
59,64.85247612,1569055975.4076211
60,79.7992944717,1569055978.410749
61,65.558552742,1569055981.5168333
62,46.7883348465,1569055984.6219354
63,66.8911933899,1569055987.7269568
64,65.9694671631,1569055991.7314324
65,56.4665794373,1569056004.8600676
66,68.0322647095,1569056008.9658816
67,50.7463216782,1569056013.0729234
68,67.6358938217,1569056018.1804898
69,65.5078887939,1569056022.1858056
70,49.0845441818,1569056026.293145
71,96.5923070908,1569056029.400413
72,53.8475513458,1569056034.5075831
73,96.0739850998,1569056038.613814
74,81.3266634941,1569056042.720931
75,67.2973394394,1569056045.8270812
76,62.21139431,1569056051.9368231
77,81.6904306412,1569056055.942324
78,67.8097009659,1569056063.0521514
79,66.5445327759,1569056069.0575066
80,55.9083223343,1569056073.165069
81,54.6875,1569056077.1690378
82,67.3347711563,1569056082.2778087
83,43.74563694,1569056085.3848307
84,96.6308116913,1569056095.5009856
85,54.3830990791,1569056104.612214
86,52.9510974884,1569056107.6157584
87,96.0125923157,1569056111.7223983
88,95.6993103027,1569056115.726829
89,50.0624775887,1569056120.8354917
90,52.6582598686,1569056128.8442354
91,66.1588907242,1569056131.9500198
92,54.2281866074,1569056138.0596755
93,67.9461956024,1569056144.1697202
94,45.7156300545,1569056147.2760282
95,65.621972084,1569056150.381307
96,65.304517746,1569056154.3874586
97,40.542781353,1569056157.493608
98,66.5836334229,1569056160.6006255
99,54.0319681168,1569056164.7084446
100,65.580368042,1569056167.8141952
101,66.3249492645,1569056174.821938
102,54.3168783188,1569056180.9319308
103,67.3928260803,1569056188.0444653
104,48.5992431641,1569056192.153035
105,98.6588001251,1569056195.2580419
106,79.7011256218,1569056201.366583
107,68.4859752655,1569056210.4822247
108,41.4663553238,1569056213.588745
109,71.3495612144,1569056218.5945115
110,78.46981287,1569056221.5993178
111,65.2076005936,1569056224.706545
112,56.8526983261,1569056229.8142867
113,63.5478496552,1569056232.920927
114,64.0876293182,1569056235.9230003
115,53.9683699608,1569056241.0322223
116,97.4539518356,1569056247.142553
117,53.5115599632,1569056255.2548766
118,9.5306634903,1569056258.2599049
119,52.3221492767,1569056261.2634134
120,52.8693199158,1569056265.269974
121,54.6497106552,1569056271.2785566
