# iterator, reward, timestamp 
1,-44.50812901201871,1570397463.0351737
2,-63.86466761664623,1570397470.1448512
3,-59.182842727142635,1570397474.2508569
4,-62.50749847633486,1570397481.3619452
5,-63.85846820743658,1570397485.4698236
6,-63.896708603312035,1570397491.4759955
7,-73.11203411603485,1570397498.588882
8,-65.05030210059009,1570397517.7130961
9,-74.19636983540197,1570397520.871127
10,-67.31020521017828,1570397524.9250858
11,-77.41250356417476,1570397536.04095
12,-72.51970496142559,1570397541.149769
13,-73.61155843505723,1570397546.255825
14,-73.34007689263643,1570397549.2606423
15,-65.38974434196136,1570397555.369254
16,-74.75810883697072,1570397558.477789
17,-70.13515305734634,1570397562.5833843
18,-86.8522744922135,1570397566.6891932
19,-73.08301129121524,1570397577.803502
20,-65.96211569759139,1570397581.9094455
21,-82.24101889710126,1570397586.0151958
22,-84.7002258500246,1570397591.1236286
23,-86.81042395183547,1570397604.1343544
24,-88.3176670116222,1570397607.2435126
25,-71.68300530354401,1570397610.3477957
26,-81.22038526329554,1570397619.4638224
27,-63.6823505823304,1570397625.5732667
28,-73.42059255853451,1570397630.6820924
29,-63.616638303812536,1570397639.7950375
30,-81.9772137505823,1570397645.9051828
31,-64.12519472224496,1570397651.0151584
32,-53.45872848221953,1570397654.120737
33,-63.46741244549301,1570397657.226975
34,-73.39224022698771,1570397661.3356483
35,-72.22430730339181,1570397665.3386476
36,-89.28377276137495,1570397669.4457705
37,-81.27847309041634,1570397672.553038
38,-53.921635873942265,1570397679.6655717
39,-52.420218145714415,1570397684.774621
40,-53.0572840236987,1570397687.7788472
41,-63.966839769411294,1570397697.8926802
42,-73.80783980889433,1570397701.0018795
43,-64.87373143564955,1570397705.1080513
44,-62.02452247803294,1570397710.2141697
45,-65.66307039660667,1570397716.322859
46,-50.0436233514869,1570397720.4294658
47,-65.13441129931313,1570397723.5375545
48,-64.73707481588421,1570397726.5384154
49,-52.60118055556815,1570397730.6458838
50,-43.005524509566,1570397734.7545662
51,-43.34917305503361,1570397738.8620827
52,-47.5433353987171,1570397742.9688594
53,-79.36019267672275,1570397765.0957606
54,-84.46137871112268,1570397770.2031863
55,-94.36194253620309,1570397775.311326
56,-93.58255469298284,1570397780.3134887
57,-78.44405590154017,1570397784.421768
58,-89.88077776728244,1570397794.5364654
59,-71.57662974731211,1570397797.6429882
60,-88.96148111616172,1570397800.748742
61,-102.63955593109131,1570397842.8989398
62,-92.42050288152271,1570397848.0069666
63,-78.07731734588968,1570397853.1171787
64,-77.14106106641793,1570397857.2250926
65,-78.38883749955606,1570397870.3519382
66,-79.23908456699802,1570397882.372107
67,-88.9265420801701,1570397887.4784665
68,-80.08470391768388,1570397891.585095
69,-72.57044315338135,1570397894.6914012
70,-72.37432197343223,1570397900.7978742
71,-72.48870921743053,1570397904.9042075
72,-71.78743120416,1570397910.013649
73,-73.51354896685802,1570397924.1305737
74,-73.79342438978207,1570397935.1571937
75,-74.25307852072278,1570397939.2638843
76,-74.35291445216508,1570397944.2725804
77,-73.85036170427215,1570397948.3780973
78,-61.06262361477941,1570397956.4909966
79,-52.70544552714013,1570397966.6062357
80,-53.45903357486886,1570397971.613592
81,-63.839542494979426,1570397977.7200885
82,-65.30141841746942,1570397980.7231054
83,-81.37091615349196,1570397985.831913
84,-97.07395170300236,1570397994.945104
85,-80.31535608595804,1570398000.0553434
86,-53.6841378393971,1570398005.1664944
87,-81.35092323419035,1570398010.2718124
88,-55.06672570470913,1570398017.3816156
89,-61.804383575411215,1570398022.4909034
90,-65.1284606789573,1570398025.5962565
91,-54.59547312335204,1570398028.7020988
92,-54.195185994688366,1570398032.8091166
93,-82.9390510918286,1570398035.9155753
94,-97.25891748253285,1570398044.034402
95,-85.38506487009668,1570398048.1412222
96,-92.8482607780554,1570398055.2504597
97,-83.21001977576749,1570398064.364514
98,-51.78079143950632,1570398074.477998
99,-51.25738698695311,1570398078.4825134
100,-56.3928982845813,1570398083.5903578
101,-53.23204641118489,1570398093.7051053
102,-63.40314746858698,1570398097.8130891
103,-63.88893866257019,1570398102.9204876
104,-54.84483770350968,1570398106.0249987
105,-68.24344850801747,1570398110.133577
106,-81.35695899869467,1570398114.239225
107,-71.67410886344929,1570398117.3455503
108,-73.36117336462829,1570398121.452125
109,-83.92942679650304,1570398127.5624385
110,-77.01154665437562,1570398132.670097
111,-73.07592230352303,1570398137.7797148
112,-70.51071541100505,1570398148.8934758
113,-65.42704061806674,1570398154.001942
114,-49.9850605433132,1570398157.1066566
115,-65.54547133710741,1570398161.2163372
116,-55.132697391261964,1570398166.325034
117,-76.4457332937417,1570398174.438327
118,-89.02083824792699,1570398180.5499115
119,-72.82944597792759,1570398192.6643817
120,-64.59151869047338,1570398198.7720978
121,-71.61751466244534,1570398203.8823314
122,-80.76452522449186,1570398207.9898822
123,-71.61323133604881,1570398211.0973845
124,-78.78384317327628,1570398215.2045827
125,-73.83805088409133,1570398238.3355033
126,-60.91019941830495,1570398244.4493313
127,-66.71553238794189,1570398252.5610352
128,-50.6147503081737,1570398255.6675014
129,-62.95123940440257,1570398260.7746143
130,-61.70171287200934,1570398264.881894
131,-66.36086979200653,1570398268.9894638
132,-66.14046538551699,1570398271.9925034
133,-74.78084711533859,1570398284.1094115
134,-64.01915946134864,1570398289.2175388
135,-70.06944549559988,1570398294.3265827
136,-83.19178981727437,1570398300.439667
137,-91.30640205888774,1570398306.546818
138,-82.30001583103915,1570398310.654684
139,-54.81653717077674,1570398314.7599463
140,-84.46773688318773,1570398318.866674
141,-73.80531861650752,1570398324.975168
142,-75.99113614516502,1570398328.0800004
143,-79.66712374114503,1570398332.1844854
144,-62.34222069858926,1570398336.2932532
145,-79.77892450923962,1570398347.4073174
146,-74.94955083708511,1570398351.5116065
147,-85.00376343220873,1570398359.6222715
148,-59.03526269855159,1570398366.732385
149,-58.66835644023142,1570398369.736052
150,-54.61513414749811,1570398374.8426886
151,-58.68958530057058,1570398378.9494793
152,-67.03027131875844,1570398384.0606437
153,-44.86038166055965,1570398388.1975749
154,-63.355536099427695,1570398391.27191
155,-59.41830972473,1570398395.3795109
156,-66.50815591729481,1570398400.485843
157,-70.49090552302907,1570398403.5959308
158,-56.51593208312988,1570398410.7071037
159,-55.62031269073486,1570398413.7115114
160,-58.36837752857506,1570398417.8193183
161,-53.12929746269446,1570398421.9268894
162,-81.49284161245205,1570398425.033637
163,-80.80927785819031,1570398428.038538
164,-68.95467652846348,1570398436.1506
165,-73.6181559831206,1570398440.1557267
166,-64.3863935888631,1570398446.2663105
167,-48.675603390740044,1570398450.3712018
168,-64.31663724361691,1570398457.4816165
169,-63.18431314074977,1570398460.5873725
170,-52.72824076606435,1570398464.69699
171,-64.02737668737373,1570398472.8080704
172,-71.62171910742994,1570398476.9176216
173,-52.75712460153518,1570398483.0255294
174,-60.49521533810702,1570398486.1339579
175,-70.1941200534714,1570398490.2389317
176,-83.24756622903901,1570398497.3480687
177,-68.44001651474575,1570398501.4545798
178,-82.49780030531123,1570398511.5696855
179,-81.63848240344038,1570398520.6779873
180,-63.882280915437576,1570398531.7963116
181,-70.00852017787247,1570398540.9091694
182,-65.50249458375595,1570398547.0188103
183,-83.5904074059671,1570398555.1345594
184,-75.17614652296207,1570398565.2472632
185,-91.03095888686535,1570398571.3582728
186,-80.3722567484594,1570398575.4647582
187,-71.79405743372494,1570398579.5778255
188,-62.917121573892906,1570398586.687532
189,-70.55775504683211,1570398592.8028817
190,-63.05388412158,1570398596.9102845
191,-57.42438055848726,1570398601.0179143
192,-64.21621459596086,1570398608.1279027
193,-51.24253488077599,1570398613.2395406
194,-62.06888386043219,1570398616.3472762
195,-79.27456626202984,1570398620.4533293
196,-87.39946624240083,1570398629.5684052
197,-80.32143893296568,1570398633.6757922
198,-74.15224324465072,1570398644.7894166
199,-74.39023520844256,1570398648.8956997
200,-66.22260344972223,1570398653.0030897
201,-65.03909027281153,1570398656.007388
202,-76.61382626150075,1570398662.1154242
203,-59.8220005423918,1570398666.221145
204,-64.44698997181354,1570398675.3342743
205,-64.91623326144646,1570398681.3394108
206,-89.62134872685883,1570398686.4463837
207,-52.461404762493494,1570398689.5545454
208,-65.05230416993909,1570398693.663339
209,-70.20330429077148,1570398698.7708921
210,-67.67517107154697,1570398701.8779244
211,-64.09425316647528,1570398705.9825516
212,-61.79303640416996,1570398710.090247
213,-58.51626396179199,1570398714.1983542
214,-70.70955163108907,1570398723.3114197
215,-71.08000372623323,1570398731.3248928
216,-60.696819884301796,1570398736.4353704
217,-54.8655714891092,1570398743.5449455
218,-53.22989504905339,1570398747.6505592
219,-82.20355977289333,1570398751.7576737
220,-53.28589573037881,1570398755.8648438
221,-90.12822867010247,1570398759.9743438
222,-80.52160854707546,1570398764.0817866
223,-72.50726236669746,1570398773.1919038
224,-79.88481023876163,1570398777.3000276
225,-89.5160650976635,1570398783.4070091
226,-75.65055603962259,1570398789.516744
227,-77.43555157676225,1570398797.6303551
228,-76.47019169290697,1570398813.6464078
229,-95.47674031650934,1570398821.7588277
230,-80.05657401945696,1570398826.8678284
231,-76.22274640433622,1570398829.9735146
232,-73.12696527626481,1570398835.0856771
233,-80.92434201867677,1570398839.1913462
234,-88.05433068490613,1570398844.3008666
235,-104.41279411315918,1570398871.4359312
236,-89.77681222172373,1570398877.5477264
237,-89.05798649317084,1570398889.6649313
238,-75.54487003061041,1570398897.777909
239,-71.89301020044566,1570398905.8862462
240,-73.59153566678471,1570398911.9884603
241,-69.265895707213,1570398922.111137
242,-63.9840874979483,1570398926.2183578
243,-82.68903569988467,1570398937.3347244
244,-88.99613997293488,1570398941.444307
245,-79.1191454357016,1570398944.551186
246,-76.35521788109813,1570398948.5544722
247,-68.64428345714418,1570398951.660593
248,-81.1074713105156,1570398954.769403
249,-73.32479953765869,1570398957.8769665
250,-61.2029815072909,1570398961.9828866
251,-67.6959753036499,1570398969.0931401
252,-61.791918326345154,1570398972.1992023
253,-57.21363209490537,1570398976.2056682
254,-67.46387977866442,1570398980.3117478
255,-65.22311096120193,1570398991.3269541
256,-60.37112956769576,1570398994.4329472
257,-53.76384558465792,1570399010.5562267
258,-63.41820038040354,1570399013.663594
259,-61.99554276215763,1570399016.7696714
260,-50.44634440702669,1570399019.8764246
261,-43.68246347535519,1570399022.9839578
262,-68.69882886614992,1570399027.0919077
263,-63.169551285310014,1570399030.1957655
264,-65.24284719962458,1570399034.305298
265,-71.43056548623771,1570399040.413441
266,-83.5424287517304,1570399045.525048
267,-66.8954574809583,1570399060.6477597
268,-67.06676601387021,1570399063.754655
269,-54.921712218980986,1570399068.862047
270,-64.95677216185382,1570399074.9730008
271,-59.57417196692743,1570399081.083699
272,-63.408467496359414,1570399087.195571
273,-63.43501260952601,1570399090.3034925
274,-65.45188127216355,1570399093.406858
275,-72.5838854987251,1570399097.514914
276,-72.93493630291445,1570399106.6289093
277,-74.87336394097328,1570399111.7382529
278,-64.36359493636941,1570399119.849638
279,-64.1954738691705,1570399127.9599435
280,-72.80201310936391,1570399139.0732648
281,-63.085738273942916,1570399142.181251
282,-73.94995624342177,1570399154.297159
283,-72.86567060779728,1570399163.3058949
284,-66.14204581193985,1570399171.4211385
285,-84.9313932471927,1570399179.534418
286,-92.95087062958402,1570399197.664626
287,-94.92568519158452,1570399206.677501
288,-80.97773671857084,1570399212.7875586
289,-68.93335726759209,1570399216.8938053
290,-60.33275509696292,1570399219.9996574
291,-60.055758048436296,1570399226.002829
292,-66.70483483228018,1570399229.110489
293,-63.783558053445645,1570399244.2302873
294,-50.881972683285184,1570399247.3387518
295,-65.06047595904619,1570399250.446593
296,-52.349136782794986,1570399259.5575233
297,-60.721705635312276,1570399263.693327
298,-60.729955877266036,1570399266.666695
299,-55.00152570723903,1570399270.7739427
300,-56.11196979282147,1570399274.8815467
301,-91.2664606069845,1570399277.992212
302,-52.66357190919128,1570399284.1042578
303,-62.432002708999555,1570399291.2133057
304,-52.69771277765537,1570399297.3232517
305,-52.72493936030642,1570399301.4294581
306,-81.50036202433017,1570399306.5384092
