# iterator, reward, timestamp 
1,-22.178709507,1568834987.6630023
2,-22.2783088684,1568834990.666992
3,-22.9476690292,1568834993.6703858
4,-23.0815410614,1568834996.6743407
5,-22.9930877686,1568834999.6768756
6,-20.8702087402,1568835002.6792915
7,-21.9035148621,1568835005.6821063
8,-22.3838090897,1568835008.6859438
9,-23.5214233398,1568835011.6893766
10,-23.5568284988,1568835014.692436
11,-23.7345695496,1568835017.6957169
12,-22.1081972122,1568835020.6991847
13,-23.7715244293,1568835023.7022114
14,-23.0631828308,1568835026.7045107
15,-21.1658477783,1568835029.7096398
16,-21.777510643,1568835032.7149737
17,-23.4401226044,1568835035.7188206
18,-19.0567970276,1568835038.7249084
19,-24.5292186737,1568835041.7305274
20,-19.0796852112,1568835044.7345726
21,-24.5803594589,1568835047.7406602
22,-22.3335027695,1568835050.7439754
23,-19.2376375198,1568835053.7480707
24,-20.2956199646,1568835056.7521634
25,-19.7809934616,1568835059.7568476
26,-20.0899839401,1568835062.7610564
27,-21.138548851,1568835065.765946
28,-22.3692655563,1568835068.771856
29,-19.1019773483,1568835071.7751522
30,-22.8793621063,1568835074.7798963
31,-19.6253061295,1568835077.7838814
32,-18.6727046967,1568835080.7891533
33,-18.6108350754,1568835083.794316
34,-24.4381427765,1568835086.8001494
35,-22.3808288574,1568835089.8042743
36,-19.0969705582,1568835092.8095477
37,-20.9432840347,1568835095.8137636
38,-20.7241773605,1568835098.8187678
39,-20.5373764038,1568835101.824068
40,-19.5091962814,1568835104.8291972
41,-21.0076570511,1568835107.833166
42,-18.9796686172,1568835110.83778
43,-20.3782320023,1568835113.8428018
44,-18.462896347,1568835116.8472586
45,-22.4088430405,1568835120.8540165
46,-23.6513614655,1568835123.8597922
47,-19.674539566,1568835126.8638487
48,-19.7674036026,1568835129.869182
49,-19.9474096298,1568835132.872394
50,-19.550204277,1568835135.877582
51,-19.7566747665,1568835138.8825135
52,-19.5389986038,1568835141.8860183
53,-21.2308168411,1568835144.890379
54,-19.0446376801,1568835147.8947341
55,-21.5249061584,1568835150.8997796
56,-18.6728239059,1568835153.9045525
57,-20.3864574432,1568835156.908767
58,-19.5696353912,1568835159.9129803
59,-18.7944173813,1568835163.9198751
60,-25.2935886383,1568835166.9253967
61,-21.3290452957,1568835169.9298153
62,-20.533323288,1568835172.9344268
63,-20.4464197159,1568835175.938799
64,-18.6616182327,1568835178.9439352
65,-20.8529233932,1568835181.9486458
66,-19.7290182114,1568835184.9533677
67,-20.6536054611,1568835187.958568
68,-20.2590227127,1568835190.9628892
69,-21.9750404358,1568835193.9680984
70,-18.8391208649,1568835196.9739022
71,-17.8298950195,1568835199.9781544
72,-20.138502121,1568835202.9822779
73,-22.2584009171,1568835206.9865794
74,-21.777510643,1568835210.9932559
75,-23.8891839981,1568835213.997924
76,-19.7727680206,1568835217.0024471
77,-22.5806236267,1568835220.0067084
78,-19.7257995605,1568835223.0122004
79,-20.3154087067,1568835226.0166442
80,-20.4342603683,1568835229.0220778
81,-19.1209316254,1568835232.025576
82,-18.9467668533,1568835235.0303457
83,-20.3279256821,1568835238.0341215
84,-24.4698524475,1568835241.0402067
85,-19.6373462677,1568835244.044668
86,-21.4240550995,1568835247.0492315
87,-21.8524932861,1568835250.053787
88,-24.6388912201,1568835253.0579662
89,-20.6775665283,1568835256.063014
90,-21.049618721,1568835259.0678372
91,-21.6414928436,1568835262.071266
92,-18.6446905136,1568835265.0759444
93,-20.2008485794,1568835268.0813851
94,-21.0602283478,1568835271.0852306
95,-18.6486244202,1568835274.089755
96,-19.5155143738,1568835277.094359
97,-21.8124389648,1568835280.099218
98,-18.2727575302,1568835283.1029356
99,-19.5755958557,1568835286.1079147
100,-19.3605422974,1568835289.1121185
101,-19.0868377686,1568835293.1184075
102,-21.8147039413,1568835296.1221616
103,-19.6114778519,1568835299.1268475
104,-24.6489048004,1568835302.1313632
