# iterator, reward, timestamp 
1,-1334.63657319,1568373817.9221737
2,-1535.58815681,1568373821.0319471
3,-1174.23104654,1568373825.1388946
4,-1542.96681684,1568373828.2450025
5,-1163.49977753,1568373833.353832
6,-1478.22266205,1568373837.461863
7,-1172.20657366,1568373842.5707479
8,-1423.54253112,1568373846.6804116
9,-1147.66275894,1568373851.7892318
10,-1432.29224753,1568373855.8971035
11,-1151.58872606,1568373861.0081193
12,-1440.26048913,1568373865.1155553
13,-1654.9765688,1568373867.1179252
14,-1168.52067002,1568373871.2273543
15,-1541.56546004,1568373874.3344152
16,-2024.88577366,1568373878.441978
17,-1656.97689933,1568373882.5509236
18,-1201.10401463,1568373886.6630871
19,-651.403069496,1568373889.7773628
20,-1238.89157103,1568373893.884225
21,-819.500746374,1568373897.9924338
22,-354.409820998,1568373901.0992703
23,-1088.129282,1568373904.206855
24,-1237.39178093,1568373908.313527
25,-918.390889323,1568373912.4203758
26,-460.853558261,1568373915.5266082
27,-346.404208766,1568373918.6330209
28,-264.661294648,1568373922.7417343
29,-322.507074852,1568373926.8565571
30,-144.322515929,1568373929.963305
31,-291.749691938,1568373933.069433
32,-214.368324453,1568373936.1752381
33,-262.906166134,1568373939.2819502
34,-198.253714197,1568373942.3883357
35,-239.167317648,1568373945.4939697
36,-195.568157005,1568373948.600525
37,-224.26917101,1568373951.7081208
38,-632.357597351,1568373954.8146718
39,-1658.153525,1568373958.922377
40,-1194.28698612,1568373962.0320585
41,-881.588339806,1568373965.139803
42,-1242.20171834,1568373972.2531013
43,-910.400043834,1568373976.3607597
44,-554.709081631,1568373980.4694955
45,-1084.56492424,1568373983.5772603
46,-1236.7001605,1568373986.684522
47,-639.441599802,1568373990.7949815
48,-822.495341301,1568373993.9014225
49,-1656.95112187,1568374001.0140872
50,-2029.35755253,1568374010.1263278
51,-1658.84765992,1568374017.2390797
52,-1191.02121989,1568374020.344204
53,-864.212017096,1568374024.4522715
54,-862.103461861,1568374027.5607164
55,-608.396649361,1568374030.6676502
56,-1236.81337488,1568374034.777035
57,-641.886014347,1568374038.8832808
58,-370.144875119,1568374041.9887562
59,-623.412929155,1568374043.9937272
60,-880.091209723,1568374045.9967039
61,-1391.15571976,1568374050.111562
62,-1241.20252406,1568374053.218452
