# iterator, reward, timestamp 
1,675.673961639,1568374323.50102
2,612.471501033,1568374327.6073153
3,500.30430158,1568374330.7122035
4,270.688414574,1568374333.8177245
5,2026.09395981,1568374338.9262402
6,2025.74634552,1568374340.9294012
7,1360.62208811,1568374349.0408149
8,1360.60686906,1568374351.0421734
9,686.603665352,1568374356.1483424
10,678.31714948,1568374358.1512175
11,1317.33727455,1568374361.2560413
12,1360.82776388,1568374363.2591424
13,693.227529526,1568374367.36569
14,676.957607269,1568374371.4723215
15,1023.00194899,1568374376.5783126
16,1518.74673367,1568374380.6848009
17,1023.58690898,1568374384.7916634
18,686.413963636,1568374387.8963504
19,831.45403862,1568374392.0022066
20,1139.63389397,1568374395.1066642
21,1520.09379864,1568374397.1086721
22,1022.13946978,1568374400.2139804
23,722.976764043,1568374403.3193524
24,884.296298027,1568374406.4240701
25,1360.48666636,1568374413.5338542
26,2030.76481819,1568374419.6413653
27,1360.70175966,1568374423.7471154
28,921.481251717,1568374426.8527677
29,859.516342481,1568374428.8555944
30,404.327630997,1568374431.9616847
31,733.202974002,1568374437.0700014
32,359.148621559,1568374440.1742718
33,713.865041733,1568374443.2784767
34,822.399655978,1568374447.3849509
35,1128.85729472,1568374449.3867106
36,746.075352033,1568374454.4949203
37,643.062114716,1568374456.4975777
38,400.240937869,1568374460.6048992
39,946.576277415,1568374464.7106643
40,758.510152499,1568374466.7122192
41,729.060689608,1568374470.8198087
42,689.031600952,1568374475.925601
43,372.716426849,1568374479.0299773
44,1024.35421944,1568374484.1370444
45,659.59695975,1568374488.2465055
46,873.25266997,1568374493.3550067
47,644.524137179,1568374495.3565228
48,609.739700953,1568374499.4636219
49,691.196203232,1568374504.5710094
50,629.067182541,1568374508.6780677
51,1023.3275493,1568374513.784934
52,756.102442741,1568374518.8918161
53,631.343126297,1568374521.9978302
54,511.417746544,1568374524.0004926
55,797.366221746,1568374526.003162
56,781.913757324,1568374529.1078026
57,683.789213498,1568374533.2141223
58,615.266482035,1568374536.3190804
59,492.894212405,1568374539.4249861
60,752.024173737,1568374543.532275
61,987.500747045,1568374548.6416225
62,381.683349609,1568374552.7467802
63,686.369458834,1568374557.8559132
64,1327.68007119,1568374560.9611723
65,910.94994545,1568374564.066014
66,859.983960787,1568374566.0685234
67,1421.09131813,1568374569.173736
68,1023.13840389,1568374574.2809634
69,1023.45979214,1568374576.2827609
70,628.816604614,1568374579.3880844
71,652.567625046,1568374582.4939625
72,675.808707873,1568374585.5991573
73,583.603064219,1568374589.7051895
74,419.933954875,1568374593.8123646
75,476.049979528,1568374596.918326
76,217.264970144,1568374600.0227284
77,318.578918775,1568374603.1258528
78,372.512976329,1568374606.2323809
79,356.74615701,1568374610.338318
80,510.162432988,1568374614.444199
81,416.359941165,1568374618.5510004
82,406.142552694,1568374621.6561077
83,358.001510302,1568374624.7610133
84,339.493076007,1568374628.8662689
85,455.421169599,1568374631.9724832
86,214.938362439,1568374635.0777433
87,317.349632581,1568374638.182144
88,370.161016782,1568374641.2863262
89,355.262994766,1568374645.3936458
90,511.415362358,1568374649.4994774
91,414.47130839,1568374653.6063452
92,405.005176862,1568374656.7111442
93,356.071233749,1568374659.8164327
94,338.807066282,1568374663.9228363
95,452.768127124,1568374667.0277443
96,214.871366819,1568374670.1338062
97,316.906054815,1568374673.2404006
98,366.727550824,1568374676.3454504
99,350.648442904,1568374680.452431
100,510.239601135,1568374684.5582983
101,415.020108223,1568374688.664905
102,403.763612111,1568374691.7704036
103,339.705705643,1568374695.877058
104,409.990787506,1568374698.9824052
105,276.763995488,1568374702.0870366
106,260.383844376,1568374705.191686
107,319.346427917,1568374708.2969153
108,366.316596667,1568374711.4020507
109,315.175930659,1568374714.5073113
110,345.267534256,1568374717.6127748
111,312.034130096,1568374720.7191231
112,366.098284721,1568374724.8252273
113,287.221908569,1568374728.930833
114,384.38975811,1568374732.0360312
115,228.575706482,1568374735.1412506
116,405.221025149,1568374738.245905
117,318.255782127,1568374741.3503737
118,361.241141955,1568374744.455972
119,314.852714539,1568374747.5624287
120,343.416770299,1568374750.6679213
121,311.864336332,1568374753.7723162
122,363.499840101,1568374757.8780813
123,290.36351045,1568374761.982881
124,382.551352183,1568374765.0869827
125,227.848211924,1568374768.1935027
126,407.58963426,1568374771.2989902
127,316.728790601,1568374774.4035423
128,361.300150553,1568374777.5097044
129,314.276218414,1568374780.613402
130,346.30159537,1568374783.719091
131,310.894091924,1568374786.8240693
132,355.882366498,1568374790.9313715
133,286.856293678,1568374795.0378237
134,381.197611491,1568374798.1438181
135,227.186242739,1568374801.2484188
136,402.442852656,1568374804.3540695
137,318.447232246,1568374807.4603968
138,358.117222786,1568374810.565166
139,313.858310382,1568374813.6705866
140,341.882586479,1568374816.7750788
141,309.297680855,1568374819.8799129
142,356.132547061,1568374823.9866047
143,471.508304278,1568374827.0921977
144,220.717390378,1568374830.1982276
145,321.546157201,1568374833.303605
146,378.145575523,1568374836.410602
147,316.119194031,1568374839.5160034
148,360.834360123,1568374842.6220927
149,310.819824537,1568374845.7276435
150,341.429313024,1568374848.8322043
151,305.409669876,1568374852.938978
152,478.651086489,1568374857.0447893
153,467.64532725,1568374860.150797
154,217.2443072,1568374863.2554429
155,320.302526156,1568374866.3598666
156,374.37470754,1568374869.4662955
157,316.769003868,1568374872.5722642
158,356.642285983,1568374875.6769724
159,313.917279243,1568374878.7823873
160,338.941891988,1568374881.887385
161,303.663372993,1568374885.9944375
162,478.300571442,1568374890.101121
163,465.596079826,1568374893.2064226
164,214.325348536,1568374896.312293
165,320.295532544,1568374899.4168224
166,375.45867761,1568374902.5218756
167,356.900493304,1568374906.6279354
168,509.947737058,1568374910.7344227
169,418.692866961,1568374914.8412144
170,408.332665761,1568374917.9461727
171,356.30106926,1568374921.0525084
172,341.631213824,1568374925.1594558
173,458.69855086,1568374928.2625453
174,217.174609502,1568374931.3673086
175,318.776766459,1568374934.4720948
176,370.822072029,1568374937.5780742
177,355.797688166,1568374941.6844761
178,512.041568756,1568374945.7905009
179,416.790008545,1568374949.8950844
180,405.581831932,1568374953.0001009
181,357.751925786,1568374956.1055386
182,344.608902931,1568374960.2114558
183,453.969478607,1568374963.3157432
184,213.317473729,1568374966.4209373
